Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2514","Maize and products","2012","2012","kcal/capita/day","111.32","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2514","Maize and products","2013","2013","kcal/capita/day","106.06","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2514","Maize and products","2014","2014","kcal/capita/day","172.47","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2514","Maize and products","2015","2015","kcal/capita/day","127.9","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2514","Maize and products","2016","2016","kcal/capita/day","134.21","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2514","Maize and products","2017","2017","kcal/capita/day","129.24","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2514","Maize and products","2018","2018","kcal/capita/day","123.79","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2514","Maize and products","2019","2019","kcal/capita/day","110.12","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2514","Maize and products","2020","2020","kcal/capita/day","74.88","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2515","Rye and products","2010","2010","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2515","Rye and products","2011","2011","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2515","Rye and products","2012","2012","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2515","Rye and products","2013","2013","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2515","Rye and products","2014","2014","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2515","Rye and products","2015","2015","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2515","Rye and products","2016","2016","kcal/capita/day","0.04","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2515","Rye and products","2017","2017","kcal/capita/day","0.24","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2515","Rye and products","2018","2018","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2515","Rye and products","2019","2019","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2515","Rye and products","2020","2020","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2516","Oats","2010","2010","kcal/capita/day","0.17","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2516","Oats","2011","2011","kcal/capita/day","0.16","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2516","Oats","2012","2012","kcal/capita/day","0.45","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2516","Oats","2013","2013","kcal/capita/day","0.27","E","Estimated value"
