Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2517","Millet and products","2011","2011","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2517","Millet and products","2012","2012","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2517","Millet and products","2013","2013","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2517","Millet and products","2014","2014","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2517","Millet and products","2015","2015","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2517","Millet and products","2016","2016","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2517","Millet and products","2017","2017","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2517","Millet and products","2018","2018","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2517","Millet and products","2019","2019","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2517","Millet and products","2020","2020","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2518","Sorghum and products","2010","2010","1000 tonnes","23","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2518","Sorghum and products","2011","2011","1000 tonnes","19","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2518","Sorghum and products","2012","2012","1000 tonnes","21","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2518","Sorghum and products","2013","2013","1000 tonnes","20","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2518","Sorghum and products","2014","2014","1000 tonnes","16","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2518","Sorghum and products","2015","2015","1000 tonnes","10","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2518","Sorghum and products","2016","2016","1000 tonnes","8","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2518","Sorghum and products","2017","2017","1000 tonnes","8","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2518","Sorghum and products","2018","2018","1000 tonnes","7","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2518","Sorghum and products","2019","2019","1000 tonnes","11","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2518","Sorghum and products","2020","2020","1000 tonnes","12","I","Imputed value"
"FBS","Food Balances (2010-)","887","Yemen","5123","Losses","S2520","Cereals, Other","2014","2014","1000 tonnes","0","I","Imputed value"
