yearMonth,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
June 2014,Consumer Price Indices,887,Yemen,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,88.953478,A,Official figure,base year is 2015
July 2014,Consumer Price Indices,887,Yemen,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,89.124688,A,Official figure,base year is 2015
August 2014,Consumer Price Indices,887,Yemen,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,91.343476,A,Official figure,base year is 2015
September 2014,Consumer Price Indices,887,Yemen,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,87.091522,A,Official figure,base year is 2015
October 2014,Consumer Price Indices,887,Yemen,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,88.591059,A,Official figure,base year is 2015
November 2014,Consumer Price Indices,887,Yemen,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,89.659367,A,Official figure,base year is 2015
December 2014,Consumer Price Indices,887,Yemen,2014,2014,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,90.671337,A,Official figure,base year is 2015
January 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,92.125918,I,Imputed value,base year is 2015
February 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,93.580499,I,Imputed value,base year is 2015
March 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,95.035079,I,Imputed value,base year is 2015
April 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,96.48966,I,Imputed value,base year is 2015
May 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,97.944241,I,Imputed value,base year is 2015
June 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,99.398821,I,Imputed value,base year is 2015
July 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,100.853402,I,Imputed value,base year is 2015
August 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,102.307983,I,Imputed value,base year is 2015
September 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,103.762564,I,Imputed value,base year is 2015
October 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,105.217144,I,Imputed value,base year is 2015
November 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,106.671725,I,Imputed value,base year is 2015
December 2015,Consumer Price Indices,887,Yemen,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,108.126306,I,Imputed value,base year is 2015
January 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,109.580886,I,Imputed value,base year is 2015
February 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,111.035467,I,Imputed value,base year is 2015
March 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,112.490048,I,Imputed value,base year is 2015
April 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,113.944629,I,Imputed value,base year is 2015
May 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,115.399209,I,Imputed value,base year is 2015
June 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,116.85379,I,Imputed value,base year is 2015
July 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,118.308371,I,Imputed value,base year is 2015
August 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,119.762952,I,Imputed value,base year is 2015
September 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,121.217532,I,Imputed value,base year is 2015
October 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,122.672113,A,Official figure,base year is 2015
November 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,122.839106,A,Official figure,base year is 2015
December 2016,Consumer Price Indices,887,Yemen,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,121.903092,A,Official figure,base year is 2015
January 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,121.941937,A,Official figure,base year is 2015
February 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,124.258803,A,Official figure,base year is 2015
March 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,124.603045,A,Official figure,base year is 2015
April 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,124.993206,I,Imputed value,base year is 2015
May 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,125.383368,A,Official figure,base year is 2015
June 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,125.776661,A,Official figure,base year is 2015
July 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,126.305562,F,Forecast value,base year is 2015
August 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,125.904485,F,Forecast value,base year is 2015
September 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,125.551404,F,Forecast value,base year is 2015
October 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,125.823712,F,Forecast value,base year is 2015
November 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,126.43619,F,Forecast value,base year is 2015
December 2017,Consumer Price Indices,887,Yemen,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,128.044919,F,Forecast value,base year is 2015
January 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,128.940933,F,Forecast value,base year is 2015
February 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,129.368455,F,Forecast value,base year is 2015
March 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,131.232162,F,Forecast value,base year is 2015
April 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,131.341278,F,Forecast value,base year is 2015
May 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,130.47118,F,Forecast value,base year is 2015
June 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,130.365997,F,Forecast value,base year is 2015
July 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,130.108392,F,Forecast value,base year is 2015
August 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,131.684555,F,Forecast value,base year is 2015
September 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,132.494177,F,Forecast value,base year is 2015
October 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,132.758429,F,Forecast value,base year is 2015
November 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,132.829229,F,Forecast value,base year is 2015
December 2018,Consumer Price Indices,887,Yemen,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,134.901926,F,Forecast value,base year is 2015
January 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,135.23223,F,Forecast value,base year is 2015
February 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,135.370762,F,Forecast value,base year is 2015
March 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,136.135313,F,Forecast value,base year is 2015
April 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,136.15548,F,Forecast value,base year is 2015
May 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,135.598257,F,Forecast value,base year is 2015
June 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,136.695163,F,Forecast value,base year is 2015
July 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,139.036003,F,Forecast value,base year is 2015
August 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,139.854641,F,Forecast value,base year is 2015
September 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,140.052871,F,Forecast value,base year is 2015
October 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,141.067015,F,Forecast value,base year is 2015
November 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,142.555402,F,Forecast value,base year is 2015
December 2019,Consumer Price Indices,887,Yemen,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,143.908187,F,Forecast value,base year is 2015
January 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,144.754336,F,Forecast value,base year is 2015
February 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,145.779996,F,Forecast value,base year is 2015
March 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,148.019266,F,Forecast value,base year is 2015
April 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,148.566504,F,Forecast value,base year is 2015
May 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,149.302658,F,Forecast value,base year is 2015
June 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,147.879799,F,Forecast value,base year is 2015
July 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,148.238773,F,Forecast value,base year is 2015
August 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,149.317983,F,Forecast value,base year is 2015
September 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,150.710044,F,Forecast value,base year is 2015
October 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,150.444776,F,Forecast value,base year is 2015
November 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,152.025852,F,Forecast value,base year is 2015
December 2020,Consumer Price Indices,887,Yemen,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,152.999508,F,Forecast value,base year is 2015
