state_name,county_name,lon,lat,nutr_ret_high,suit_irrig_high_soy,AEZ_1,AEZ_2,AEZ_3,AEZ_4,AEZ_5,AEZ_6,AEZ_7,AEZ_8,AEZ_9,AEZ_10,AEZ_11,AEZ_12,AEZ_13,AEZ_14,AEZ_15,AEZ_16,AEZ_17,AEZ_18,AEZ_19,AEZ_20,AEZ_21,SQH_1,SQH_2,SQH_3,SQH_4,SQH_5,SQH_6,SQH_7,SQH_8,SQH_9,SQH_10,SQL_1,SQL_2,SQL_3,SQL_4,SQL_5,SQL_6,SQL_7,SQL_8,SQL_9,SQL_10
KANSAS,CHEYENNE,-101.7575491,39.7955799,10,10000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
KANSAS,DECATUR,-100.472769,39.7940527,10,8536,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
KANSAS,GRAHAM,-99.8980624,39.34062,10,7778,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
KANSAS,NORTON,-99.9100033,39.7944702,10,7778,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
KANSAS,RAWLINS,-101.0994722,39.7904797,10,10000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
KANSAS,SHERIDAN,-100.457645,39.3530598,10,8332,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
KANSAS,SHERMAN,-101.7492408,39.3412127,10,7945,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
KANSAS,THOMAS,-101.0810229,39.3529613,10,8036,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
KANSAS,GOVE,-100.5073968,38.9030073,10,3333,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
KANSAS,GREELEY,-101.8185007,38.4570355,10,7941,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
KANSAS,LANE,-100.4776682,38.4651663,10,7965,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
