state_name,county_name,lon,lat
ILLINOIS,WHITE,-88.1577725,38.0632329
INDIANA,BENTON,-87.3235164,40.6034281
INDIANA,JASPER,-87.1066598,41.0321808
INDIANA,LAKE,-87.3692227,41.4193829
INDIANA,LA PORTE,-86.7225227,41.6105983
INDIANA,NEWTON,-87.3966953,40.939576
INDIANA,PORTER,-87.0724971,41.4457032
INDIANA,PULASKI,-86.6990692,41.031393
INDIANA,STARKE,-86.6457565,41.2753164
INDIANA,WHITE,-86.8713913,40.7422434
INDIANA,CARROLL,-86.5693296,40.5802239
INDIANA,CASS,-86.3449159,40.7808235
INDIANA,ELKHART,-85.8590603,41.6012796
INDIANA,FULTON,-86.2875206,41.0421416
INDIANA,KOSCIUSKO,-85.8529731,41.2351957
INDIANA,MARSHALL,-86.2809625,41.322843
INDIANA,MIAMI,-86.1059443,40.6144919
INDIANA,ST. JOSEPH,-86.2787334,41.5941578
INDIANA,WABASH,-85.7833563,40.8065352
INDIANA,ADAMS,-84.9347295,40.7371667
INDIANA,ALLEN,-85.0562084,41.0975573
INDIANA,DE KALB,-85.814309,41.5280047
INDIANA,HUNTINGTON,-85.5018494,40.8008286
INDIANA,LAGRANGE,-85.4216948,41.6372578
INDIANA,NOBLE,-85.4193348,41.3990708
INDIANA,STEUBEN,-85.0023642,41.6414101
INDIANA,WELLS,-85.2116102,40.7013353
INDIANA,WHITLEY,-85.5035187,41.1238216
INDIANA,CLAY,-87.1025862,39.3864958
INDIANA,FOUNTAIN,-87.2497418,40.125252
INDIANA,MONTGOMERY,-86.9007083,40.0361447
INDIANA,OWEN,-86.8508562,39.2984518
INDIANA,PARKE,-87.2158436,39.7686321
INDIANA,PUTNAM,-86.8374032,39.6666195
INDIANA,TIPPECANOE,-86.8879689,40.3916066
INDIANA,VERMILLION,-87.4635672,39.8763626
INDIANA,VIGO,-87.3974269,39.4174652
INDIANA,WARREN,-87.3564255,40.3424546
INDIANA,BARTHOLOMEW,-85.8204601,39.1914156
INDIANA,BOONE,-86.4650842,40.0459913
INDIANA,CLINTON,-86.4692735,40.2992769
INDIANA,DECATUR,-85.4943058,39.2862128
INDIANA,GRANT,-85.6540606,40.5114735
INDIANA,HAMILTON,-86.0498885,40.0749813
INDIANA,HANCOCK,-85.7874738,39.8127873
INDIANA,HENDRICKS,-86.5173641,39.7565309
INDIANA,HOWARD,-86.1350343,40.4787061
INDIANA,JOHNSON,-86.1079903,39.4891804
INDIANA,MADISON,-85.7260804,40.1624531
INDIANA,MARION,-85.6591442,40.5583739
INDIANA,MORGAN,-86.4556794,39.4665575
INDIANA,RUSH,-85.4731911,39.6220357
INDIANA,SHELBY,-85.8190596,39.493485
INDIANA,TIPTON,-86.058442,40.2899154
INDIANA,BLACKFORD,-85.3305529,40.4692826
INDIANA,DELAWARE,-85.2071816,39.1478313
INDIANA,FAYETTE,-85.179378,39.619235
INDIANA,HENRY,-85.4043542,39.9297608
INDIANA,JAY,-85.0212356,40.4370864
INDIANA,RANDOLPH,-85.011566,40.1560108
INDIANA,UNION,-84.9292376,39.6196086
INDIANA,WAYNE,-85.0198586,39.8638778
INDIANA,DAVIESS,-87.0813484,38.6776099
INDIANA,DUBOIS,-86.8870278,38.3644324
INDIANA,GIBSON,-87.5775949,38.3079744
INDIANA,GREENE,-86.9958489,39.0227107
INDIANA,KNOX,-87.3811461,38.687009
INDIANA,MARTIN,-86.8022436,38.6705579
INDIANA,PIKE,-87.214144,38.4159433
