year,state_name,county_name,yield,lon,lat
2000,KANSAS,WABAUNSEE,38.0,-96.1991241,38.9468399
2000,KANSAS,WALLACE,28.0,-101.7565099,38.9073846
2000,KANSAS,WASHINGTON,38.0,-97.0917391,39.7887478
2000,KANSAS,WICHITA,32.0,-97.3375448,37.6922361
2000,KANSAS,WILSON,42.0,-95.7452639,37.5692118
2000,KANSAS,WOODSON,43.0,-95.7517113,37.8811369
2000,KANSAS,WYANDOTTE,42.0,-94.767624,39.1090458
2000,MONTANA,BEAVERHEAD,15.0,-112.9537553,45.1708403
2000,MONTANA,BIG HORN,37.0,-107.5152896,45.4608548
2000,MONTANA,BLAINE,34.0,-108.9664413,48.4023938
2000,MONTANA,BROADWATER,23.0,-111.4969303,46.3252827
2000,MONTANA,CARBON,30.0,-109.1434792,45.2050058
2000,MONTANA,CARTER,27.0,-104.5596687,45.4812219
2000,MONTANA,CASCADE,34.0,-111.3281242,47.3271465
2000,MONTANA,CHOUTEAU,34.0,-110.367651,47.8835499
2000,MONTANA,CUSTER,24.0,-105.5692958,46.2426088
2000,MONTANA,DAWSON,37.0,-104.9259088,47.2416708
2000,MONTANA,FALLON,31.0,-104.4366483,46.3291957
2000,MONTANA,FERGUS,32.0,-109.2175566,47.2128617
2000,MONTANA,FLATHEAD,73.0,-113.972144,48.3840879
2000,MONTANA,GALLATIN,45.0,-111.1967693,45.4868491
2000,MONTANA,GARFIELD,26.0,-106.9487371,47.2403675
2000,MONTANA,GLACIER,38.0,-112.9467116,48.6966449
2000,MONTANA,GOLDEN VALLEY,22.0,-109.1714312,46.3040364
2000,MONTANA,HILL,40.0,-110.2107103,48.6655784
2000,MONTANA,JUDITH BASIN,38.0,-110.2261158,47.0159821
2000,MONTANA,LAKE,60.0,-114.1204325,47.7142864
2000,MONTANA,LEWIS AND CLARK,18.0,-112.4768049,47.2117026
2000,MONTANA,LIBERTY,29.0,-111.0465825,48.5608235
2000,MONTANA,MADISON,36.0,-111.91520431645114,45.2844765
2000,MONTANA,MCCONE,30.0,-105.8467942,47.5823259
2000,MONTANA,MEAGHER,28.0,-110.8988278,46.6305891
2000,MONTANA,MISSOULA,38.0,-113.995267,46.8701049
2000,MONTANA,MUSSELSHELL,26.0,-108.4473635,46.4728903
2000,MONTANA,PARK,28.0,-110.52981,45.5027347
2000,MONTANA,PETROLEUM,16.0,-108.2769626,47.0606518
2000,MONTANA,PHILLIPS,35.0,-107.9275256,48.3541037
2000,MONTANA,PONDERA,39.0,-112.1206742,48.2443094
2000,MONTANA,POWDER RIVER,39.0,-105.5982213,45.3655661
2000,MONTANA,PRAIRIE,26.0,-105.3390398,46.8103971
2000,MONTANA,RAVALLI,35.0,-114.1139453,46.0757223
2000,MONTANA,RICHLAND,26.0,-104.559421,47.8314138
2000,MONTANA,ROOSEVELT,38.0,-104.9709901,48.3069516
2000,MONTANA,ROSEBUD,23.0,-106.6296053,46.3894251
2000,MONTANA,SHERIDAN,41.0,-104.5154683,48.7625919
2000,MONTANA,STILLWATER,20.0,-109.3579352,45.6540259
