year,state_name,county_name,yield
2000,NORTH DAKOTA,BURKE,101.8
2000,NORTH DAKOTA,BURLEIGH,100.7
2000,NORTH DAKOTA,CASS,123.19999999999999
2000,NORTH DAKOTA,CAVALIER,64.2
2000,NORTH DAKOTA,DICKEY,126.2
2000,NORTH DAKOTA,DIVIDE,109.5
2000,NORTH DAKOTA,DUNN,88.1
2000,NORTH DAKOTA,EDDY,82.0
2000,NORTH DAKOTA,EMMONS,118.5
2000,NORTH DAKOTA,FOSTER,102.0
2000,NORTH DAKOTA,GOLDEN VALLEY,85.8
2000,NORTH DAKOTA,GRAND FORKS,95.3
2000,NORTH DAKOTA,GRANT,108.6
2000,NORTH DAKOTA,GRIGGS,97.0
2000,NORTH DAKOTA,HETTINGER,125.6
2000,NORTH DAKOTA,KIDDER,98.0
2000,NORTH DAKOTA,LA MOURE,116.1
2000,NORTH DAKOTA,LOGAN,117.3
2000,NORTH DAKOTA,MCHENRY,97.0
2000,NORTH DAKOTA,MCINTOSH,120.6
2000,NORTH DAKOTA,MCKENZIE,89.0
2000,NORTH DAKOTA,MCLEAN,86.8
2000,NORTH DAKOTA,MERCER,59.4
2000,NORTH DAKOTA,MORTON,119.3
2000,NORTH DAKOTA,MOUNTRAIL,55.5
2000,NORTH DAKOTA,NELSON,78.7
2000,NORTH DAKOTA,OLIVER,55.7
2000,NORTH DAKOTA,PEMBINA,82.7
2000,NORTH DAKOTA,PIERCE,56.2
2000,NORTH DAKOTA,RAMSEY,94.4
2000,NORTH DAKOTA,RANSOM,96.4
2000,NORTH DAKOTA,RENVILLE,58.400000000000006
2000,NORTH DAKOTA,RICHLAND,71.0
2000,NORTH DAKOTA,ROLETTE,118.6
2000,NORTH DAKOTA,SARGENT,88.6
2000,NORTH DAKOTA,SHERIDAN,53.6
2000,NORTH DAKOTA,SIOUX,98.9
2000,NORTH DAKOTA,SLOPE,81.4
2000,NORTH DAKOTA,STARK,109.1
2000,NORTH DAKOTA,STEELE,113.4
2000,NORTH DAKOTA,STUTSMAN,106.5
2000,NORTH DAKOTA,TOWNER,111.30000000000001
2000,NORTH DAKOTA,TRAILL,124.80000000000001
2000,NORTH DAKOTA,WALSH,67.9
2000,NORTH DAKOTA,WARD,121.19999999999999
2000,NORTH DAKOTA,WELLS,52.9
2000,NORTH DAKOTA,WILLIAMS,58.5
2000,OKLAHOMA,ADAIR,30.0
2000,OKLAHOMA,ALFALFA,38.0
2000,OKLAHOMA,ATOKA,25.0
2000,OKLAHOMA,BEAVER,27.0
2000,OKLAHOMA,BECKHAM,30.0
2000,OKLAHOMA,BLAINE,34.0
2000,OKLAHOMA,BRYAN,32.5
2000,OKLAHOMA,CADDO,34.5
2000,OKLAHOMA,CANADIAN,37.0
2000,OKLAHOMA,CARTER,25.0
2000,OKLAHOMA,CHEROKEE,30.0
2000,OKLAHOMA,CHOCTAW,27.5
2000,OKLAHOMA,CIMARRON,33.5
2000,OKLAHOMA,CLEVELAND,33.0
2000,OKLAHOMA,COAL,22.5
2000,OKLAHOMA,COMANCHE,32.5
2000,OKLAHOMA,COTTON,30.5
2000,OKLAHOMA,CRAIG,36.5
