,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20170101,-6.85,-12.77,5.92,0.45,0.0,9.07
20170102,-10.93,-16.17,0.54,0.45,0.0,21.5
20170103,-12.49,-18.87,0.08,0.45,0.0,18.4
20170104,-11.38,-23.49,0.05,0.45,0.0,20.24
20170105,-7.38,-18.27,0.08,0.45,0.0,30.29
20170106,-5.64,-13.74,0.3,0.45,0.0,25.08
20170107,-6.45,-17.24,0.4,0.45,0.0,29.45
20170108,-11.46,-17.64,4.03,0.45,0.0,23.52
20170109,-9.41,-18.98,4.87,0.45,0.0,14.99
20170110,-18.74,-26.82,1.58,0.45,0.0,17.31
20170111,-16.56,-30.27,0.01,0.45,0.0,33.9
20170112,-9.1,-21.96,0.04,0.45,0.0,29.42
20170113,-5.17,-14.19,0.0,0.45,0.0,31.73
20170114,-2.77,-16.26,0.0,0.45,0.0,35.45
20170115,-2.1,-11.03,0.02,0.45,0.0,30.91
20170116,-1.88,-12.98,0.0,0.45,0.0,32.01
20170117,1.34,-4.8,0.0,0.45,0.0,36.09
20170118,2.94,-1.56,0.0,0.46,0.0,30.51
20170119,3.27,0.25,0.01,0.48,0.0,17.2
20170120,2.94,-5.26,0.0,0.48,0.0,38.48
20170121,0.59,-8.12,0.01,0.48,0.0,35.63
20170122,0.45,-8.33,0.36,0.47,0.0,36.83
20170123,-2.7,-9.51,2.26,0.47,0.0,22.62
20170124,-3.24,-12.01,0.06,0.47,0.0,37.89
20170125,-0.63,-12.7,0.0,0.47,0.0,37.18
20170126,0.19,-13.61,0.0,0.46,0.0,38.3
20170127,1.67,-8.75,0.0,0.46,0.0,41.22
20170128,3.56,-3.72,0.01,0.46,0.0,38.09
20170129,4.86,-3.52,0.0,0.47,0.0,38.28
20170130,4.49,-3.25,0.05,0.47,0.0,37.36
20170131,-3.7,-12.03,1.21,0.47,0.0,22.59
20170201,-7.77,-16.3,0.04,0.47,0.0,26.66
20170202,-7.73,-16.2,0.02,0.46,0.0,41.41
20170203,-2.88,-18.2,1.84,0.46,0.0,30.45
20170204,-10.27,-13.02,2.78,0.46,0.0,36.98
20170205,2.46,-12.64,0.92,0.46,0.0,26.26
20170206,-8.04,-14.38,3.02,0.46,0.0,20.92
20170207,-12.33,-20.97,1.16,0.46,0.0,25.62
20170208,-11.23,-21.04,0.2,0.46,0.0,27.62
20170209,6.6,-10.88,0.75,0.47,0.0,42.18
20170210,8.54,0.02,0.1,0.48,0.0,54.78
20170211,3.96,-2.77,0.16,0.48,0.0,49.6
20170212,6.94,-4.09,0.0,0.48,0.0,56.26
20170213,7.16,-4.33,0.0,0.48,0.0,57.04
20170214,11.91,-1.61,0.0,0.47,0.0,57.73
20170215,14.76,-0.45,0.01,0.47,0.0,52.48
20170216,17.78,2.48,0.0,0.47,0.0,53.57
20170217,12.7,0.86,0.19,0.47,0.0,61.01
20170218,13.86,0.33,0.05,0.46,0.0,53.59
20170219,11.15,1.33,0.54,0.46,0.0,36.95
20170220,10.04,-2.27,0.41,0.46,0.0,55.52
20170221,5.93,-1.19,3.41,0.47,0.0,31.08
20170222,3.62,-3.89,2.32,0.47,0.0,35.29
20170223,-0.48,-4.37,0.58,0.47,0.0,28.81
20170224,0.5,-5.7,0.3,0.47,0.0,45.55
20170225,0.43,-7.94,0.1,0.47,0.0,64.6
20170226,-2.73,-7.64,2.26,0.47,0.0,39.58
20170227,-0.15,-9.42,0.8,0.47,0.0,65.22
20170228,2.02,-8.65,0.41,0.47,0.0,60.15
20170301,4.65,-9.1,2.35,0.47,0.0,49.07
20170302,4.62,-3.17,0.8,0.47,0.0,34.59
20170303,10.33,0.92,0.04,0.47,0.0,55.34
20170304,10.66,-0.77,0.73,0.48,0.0,62.72
20170305,1.16,-5.45,1.25,0.48,0.0,23.05
