,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20040101,15.89,7.3,0.98,0.72,0.03,11.31
20040102,19.74,10.53,0.1,0.72,0.21,49.45
20040103,16.5,4.58,3.4,0.71,0.12,45.26
20040104,4.04,-4.74,4.6,0.72,0.0,15.52
20040105,-3.1,-9.49,0.01,0.72,0.0,34.19
20040106,-5.16,-12.5,0.0,0.72,0.0,46.41
20040107,1.15,-9.27,0.0,0.72,0.0,22.75
20040108,6.17,-2.93,0.0,0.72,0.0,33.05
20040109,2.17,-3.65,0.0,0.72,0.0,56.84
20040110,4.26,-6.0,0.0,0.71,0.0,55.08
20040111,11.64,-0.86,0.0,0.71,0.02,56.01
20040112,10.28,-0.88,0.0,0.71,0.01,48.58
20040113,11.33,1.29,0.01,0.71,0.03,55.42
20040114,12.39,-0.66,0.0,0.71,0.03,53.81
20040115,11.08,-3.89,0.02,0.71,0.04,46.8
20040116,8.39,4.96,15.29,0.72,0.0,15.38
20040117,8.25,0.9,31.69,0.77,-0.0,12.09
20040118,1.37,-7.24,1.09,0.77,0.0,61.44
20040119,-0.78,-8.15,0.0,0.77,0.0,64.92
20040120,2.54,-4.49,0.66,0.77,0.0,28.26
20040121,7.85,-2.73,0.0,0.76,0.0,61.52
20040122,3.26,-3.13,0.01,0.76,0.0,65.69
20040123,11.03,-3.16,0.0,0.76,0.01,55.73
20040124,8.59,1.87,1.71,0.76,0.0,16.13
20040125,5.15,-0.87,4.35,0.77,0.0,20.38
20040126,-0.9,-8.99,2.19,0.76,0.0,18.91
20040127,-3.71,-11.62,0.0,0.76,0.0,65.11
20040128,6.14,-8.08,0.08,0.76,0.0,66.81
20040129,-0.21,-11.28,0.06,0.76,0.0,17.8
20040130,-3.27,-13.2,0.0,0.76,0.0,67.01
20040131,5.15,-8.92,0.02,0.76,0.0,33.96
20040201,3.51,0.8,2.7,0.76,0.0,22.69
20040202,1.73,-5.06,4.14,0.77,0.0,42.96
20040203,2.34,-7.69,0.0,0.77,0.0,71.95
20040204,1.89,-1.37,5.2,0.77,0.0,18.24
20040205,3.37,-3.53,6.13,0.77,0.0,14.2
20040206,-1.66,-8.1,0.15,0.77,0.0,25.41
20040207,-2.7,-12.68,0.0,0.77,0.0,76.24
20040208,4.14,-11.88,0.54,0.77,0.0,50.26
20040209,6.07,-1.58,2.7,0.77,0.0,51.92
20040210,7.94,-3.59,0.09,0.77,0.01,78.32
20040211,7.26,-2.78,0.04,0.77,0.0,38.87
20040212,-1.14,-7.46,0.0,0.77,0.0,82.55
20040213,2.58,-9.55,0.04,0.77,0.0,76.58
20040214,6.83,-2.98,0.01,0.77,0.01,40.96
20040215,5.14,-5.03,0.0,0.77,0.0,65.47
20040216,4.52,-2.6,0.05,0.77,0.0,53.72
20040217,9.51,-1.26,0.01,0.77,0.03,78.27
20040218,13.55,-1.14,0.0,0.76,0.08,76.45
20040219,17.81,6.58,0.29,0.76,0.2,79.11
20040220,11.48,0.73,0.05,0.76,0.08,77.52
20040221,11.31,-3.32,0.0,0.75,0.1,88.3
20040222,16.52,0.69,0.0,0.75,0.18,77.32
20040223,11.86,3.25,1.62,0.75,0.04,24.98
20040224,8.45,-0.47,0.01,0.75,0.03,53.63
20040225,8.23,-1.67,0.0,0.74,0.01,71.78
20040226,11.16,-4.47,0.0,0.74,0.12,95.04
20040227,15.03,-2.43,0.0,0.74,0.2,92.18
20040228,13.11,2.4,0.0,0.73,0.1,57.16
20040229,13.36,5.75,6.14,0.74,0.05,38.66
20040301,13.51,3.4,0.0,0.74,0.2,98.47
20040302,11.82,-1.33,0.83,0.73,0.15,77.44
20040303,15.33,6.15,37.55,0.77,0.07,15.41
20040304,18.68,7.29,52.43,0.83,0.02,29.03
20040305,11.52,3.99,0.28,0.84,0.07,45.59
20040306,14.37,-0.28,0.11,0.84,0.22,100.87
20040307,12.8,1.68,0.0,0.83,0.2,106.35
20040308,19.33,-0.21,0.0,0.82,0.31,99.3
20040309,12.61,2.3,0.0,0.81,0.19,99.57
20040310,15.79,0.71,0.06,0.8,0.26,100.24
20040311,13.18,1.01,0.19,0.8,0.25,106.29
20040312,13.92,-2.71,0.23,0.8,0.25,105.24
20040313,11.14,4.78,3.01,0.8,0.03,32.23
20040314,13.76,4.47,0.93,0.8,0.25,104.25
20040315,11.8,2.21,3.72,0.8,0.0,24.77
20040316,8.74,-0.18,0.09,0.8,0.06,82.91
20040317,19.36,1.32,0.39,0.8,0.35,107.99
20040318,20.47,7.94,0.0,0.79,0.56,112.05
20040319,21.58,7.2,0.02,0.79,0.32,64.15
20040320,20.41,6.73,0.0,0.78,0.59,69.52
20040321,10.21,0.35,0.0,0.77,0.16,116.78
20040322,14.23,-1.78,0.0,0.77,0.32,104.34
20040323,20.24,5.29,0.02,0.77,0.57,106.3
20040324,19.23,12.4,0.12,0.76,0.32,25.62
20040325,22.73,14.98,1.74,0.76,0.54,32.95
20040326,22.38,17.55,5.88,0.77,0.3,60.33
20040327,22.73,16.86,26.84,0.77,0.61,45.73
20040328,17.55,9.54,25.11,0.82,0.25,83.04
20040329,16.48,5.13,3.26,0.82,0.36,104.7
20040330,12.28,2.36,0.0,0.81,0.33,118.56
20040331,12.37,-1.31,0.0,0.8,0.31,125.84
20040401,16.34,2.14,0.0,0.8,0.55,125.41
20040402,18.13,2.9,0.0,0.8,0.67,127.23
20040403,18.9,3.3,0.0,0.79,0.72,118.13
20040404,17.5,0.8,0.0,0.78,0.67,126.84
20040405,17.39,4.08,0.0,0.77,0.38,76.19
20040406,20.13,6.7,0.07,0.77,0.61,85.95
20040407,19.37,10.8,11.02,0.78,0.33,83.02
20040408,18.37,7.48,0.0,0.78,0.74,130.9
20040409,17.99,5.15,4.46,0.77,0.34,36.55
20040410,10.95,3.31,17.82,0.8,0.03,28.19
20040411,12.24,0.21,0.09,0.8,0.27,106.32
20040412,11.53,3.4,0.84,0.79,0.13,100.92
20040413,14.5,-0.18,0.0,0.79,0.52,107.73
20040414,19.37,2.41,0.0,0.78,0.83,135.46
20040415,23.15,9.02,0.0,0.77,1.11,132.69
20040416,26.01,13.1,0.0,0.77,1.28,135.21
20040417,25.2,15.33,0.48,0.76,1.24,96.91
20040418,22.39,16.53,9.11,0.76,0.94,71.8
20040419,22.69,16.78,5.36,0.77,0.49,54.27
20040420,22.63,16.41,15.33,0.77,0.74,66.31
20040421,22.98,12.51,6.11,0.77,1.1,131.67
20040422,22.97,15.5,17.69,0.8,0.57,72.13
20040423,19.4,11.6,44.58,0.82,0.23,26.74
20040424,20.42,10.43,10.38,0.86,0.23,67.52
20040425,19.5,7.05,0.0,0.85,1.03,137.63
20040426,21.3,8.05,0.03,0.84,1.32,137.93
20040427,23.45,6.26,0.02,0.83,1.42,145.35
20040428,24.15,12.91,0.01,0.81,1.47,125.3
20040429,22.69,15.03,3.94,0.81,0.82,65.86
20040430,21.46,13.12,15.43,0.82,0.23,101.27
20040501,15.63,6.44,15.1,0.84,0.34,59.42
20040502,18.08,3.79,1.35,0.84,0.91,127.95
