,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20040101,1.1,-10.69,0.25,0.41,0.0,29.55
20040102,-6.47,-16.52,1.35,0.41,0.0,21.2
20040103,-16.67,-20.8,0.14,0.41,0.0,30.53
20040104,-19.48,-24.24,0.04,0.41,0.0,28.5
20040105,-16.85,-29.2,0.03,0.41,0.0,28.38
20040106,-11.14,-19.11,0.01,0.41,0.0,30.67
20040107,-4.35,-18.57,0.18,0.41,0.0,30.42
20040108,-2.88,-9.66,0.82,0.41,0.0,33.09
20040109,-2.42,-9.29,0.05,0.41,0.0,37.99
20040110,3.68,-5.02,0.07,0.41,0.0,35.96
20040111,0.69,-4.18,0.18,0.42,0.0,29.98
20040112,2.5,-6.64,0.03,0.42,0.0,39.09
20040113,4.03,-7.57,0.07,0.42,0.0,30.29
20040114,1.69,-6.85,0.02,0.42,0.0,30.88
20040115,6.12,-2.09,0.0,0.42,0.0,37.0
20040116,3.11,-1.96,0.08,0.43,0.0,30.71
20040117,-1.3,-16.24,0.03,0.43,0.0,34.28
20040118,-9.94,-19.14,0.0,0.42,0.0,34.81
20040119,-1.99,-12.17,0.01,0.42,0.0,34.26
20040120,1.33,-11.69,0.04,0.42,0.0,36.05
20040121,-1.74,-15.91,0.05,0.42,0.0,35.45
20040122,2.31,-15.71,0.44,0.42,0.0,37.2
20040123,-0.12,-12.38,0.07,0.42,0.0,30.71
20040124,-11.99,-13.96,3.78,0.42,0.0,38.4
20040125,-13.43,-19.06,1.82,0.42,0.0,38.54
20040126,-18.31,-22.65,0.12,0.42,0.0,49.33
20040127,-18.59,-28.6,1.08,0.42,0.0,47.7
20040128,-22.68,-29.45,1.67,0.42,0.0,40.19
20040129,-18.64,-28.15,0.6,0.42,0.0,38.82
20040130,-15.43,-21.09,1.89,0.42,0.0,25.23
20040131,-6.14,-18.31,0.07,0.42,0.0,42.98
20040201,-3.9,-18.68,0.1,0.42,0.0,48.34
20040202,-6.69,-19.6,0.04,0.42,0.0,54.28
20040203,-7.29,-18.64,0.04,0.42,0.0,52.59
20040204,-5.1,-17.09,0.1,0.42,0.0,44.64
20040205,-10.97,-15.62,0.19,0.42,0.0,40.91
20040206,-10.33,-19.07,0.03,0.42,0.0,50.98
20040207,-1.37,-17.68,0.09,0.42,0.0,44.5
20040208,-1.58,-7.37,0.1,0.42,0.0,53.52
20040209,-5.95,-12.64,0.12,0.42,0.0,39.4
20040210,2.44,-11.98,1.18,0.42,0.0,52.77
20040211,-11.24,-16.35,1.24,0.42,0.0,45.98
20040212,-1.57,-17.81,0.0,0.42,0.0,48.14
20040213,1.75,-8.46,0.04,0.42,0.0,63.6
20040214,-4.12,-12.68,0.08,0.42,0.0,37.66
20040215,0.77,-14.09,0.01,0.42,0.0,62.45
20040216,4.31,-6.31,0.05,0.43,0.0,64.84
20040217,4.3,-5.81,0.01,0.43,0.0,38.58
20040218,8.69,-3.09,0.03,0.43,0.0,51.3
