,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20220101,-8.27,-12.78,5.21,0.37,0.0,18.46
20220102,3.55,-13.27,0.0,0.37,0.0,53.52
20220103,8.91,-5.51,0.04,0.37,0.0,53.62
20220104,14.42,-4.04,0.03,0.38,0.01,44.52
20220105,2.19,-10.86,1.53,0.38,0.0,45.37
20220106,-9.29,-14.15,0.56,0.38,0.0,36.37
20220107,1.56,-11.84,0.0,0.38,0.0,54.16
20220108,6.9,-5.53,0.0,0.38,0.0,42.16
20220109,2.01,-4.99,0.0,0.38,0.0,55.73
20220110,10.33,-4.25,0.0,0.38,0.0,52.87
20220111,12.46,-1.83,0.0,0.38,0.0,51.64
20220112,12.44,-0.86,0.0,0.38,0.0,50.67
20220113,13.87,0.36,0.0,0.38,0.01,51.16
20220114,9.98,-5.82,0.01,0.38,0.0,41.69
20220115,1.15,-7.33,0.01,0.38,0.0,59.61
20220116,11.65,-4.09,0.0,0.38,0.0,56.32
20220117,14.31,-2.67,0.0,0.38,0.01,59.12
20220118,14.63,1.79,0.0,0.38,0.01,51.7
20220119,0.77,-8.22,0.02,0.38,0.0,37.59
20220120,-2.45,-8.84,0.0,0.38,0.0,50.04
20220121,3.9,-9.63,0.0,0.38,0.0,44.82
20220122,7.9,-0.92,0.0,0.38,0.0,63.29
20220123,12.22,-0.95,0.0,0.38,0.01,60.39
20220124,10.76,-0.79,0.01,0.38,0.01,61.38
20220125,-1.35,-7.27,10.45,0.38,0.0,11.02
20220126,1.94,-9.76,0.13,0.38,0.0,45.52
20220127,1.83,-5.73,0.22,0.38,0.0,29.56
20220128,5.36,-6.19,0.0,0.38,0.0,65.78
20220129,12.48,-2.03,0.01,0.39,0.01,63.55
20220130,10.09,-4.27,0.0,0.39,0.01,66.16
20220131,14.37,-1.56,0.0,0.39,0.02,64.71
20220201,2.04,-5.7,0.22,0.39,0.0,49.69
20220202,-6.12,-10.74,2.68,0.39,0.0,24.78
20220203,-6.57,-13.93,0.17,0.39,0.0,65.55
20220204,5.14,-12.3,0.0,0.39,0.0,72.72
20220205,11.4,-6.02,0.02,0.39,0.01,72.95
20220206,6.8,-1.97,0.0,0.39,0.0,71.2
20220207,11.98,-2.15,0.0,0.39,0.01,73.76
20220208,13.22,-0.32,0.0,0.39,0.02,74.09
20220209,13.62,-2.05,0.07,0.38,0.02,73.97
20220210,14.54,-0.83,0.0,0.38,0.02,76.43
20220211,10.4,-3.1,0.0,0.38,0.01,62.68
20220212,7.14,-7.54,0.0,0.38,0.0,79.2
20220213,13.52,-4.54,0.0,0.38,0.01,79.18
20220214,12.9,-3.42,0.0,0.38,0.02,80.8
20220215,16.03,-2.17,0.0,0.38,0.02,50.84
20220216,7.48,-4.53,0.01,0.38,0.01,75.12
20220217,1.44,-6.06,0.04,0.38,0.0,82.46
20220218,13.17,-4.45,0.0,0.38,0.02,84.42
20220219,13.99,-4.45,0.0,0.38,0.01,85.88
20220220,20.33,0.78,0.0,0.38,0.05,84.32
20220221,16.78,-11.01,0.0,0.38,0.03,67.69
20220222,-7.25,-12.94,0.0,0.38,0.0,83.16
20220223,-9.02,-15.95,0.0,0.38,0.0,86.71
20220224,-6.64,-14.17,0.0,0.38,0.0,85.79
20220225,0.63,-12.89,0.0,0.38,0.0,88.87
20220226,6.2,-9.1,0.0,0.38,0.0,91.25
20220227,13.03,-2.96,0.0,0.38,0.01,93.48
20220228,14.64,-0.88,0.0,0.37,0.01,80.53
20220301,22.56,0.71,0.0,0.37,0.05,97.45
20220302,25.64,2.3,0.0,0.37,0.06,95.58
20220303,23.12,-0.12,0.0,0.37,0.04,87.01
20220304,22.94,6.28,0.02,0.37,0.02,44.62
20220305,11.46,-3.35,0.01,0.37,0.01,66.13
20220306,3.14,-5.38,0.47,0.37,0.0,88.95
20220307,3.41,-6.67,0.0,0.37,0.0,100.6
20220308,5.22,-5.38,0.25,0.37,0.0,61.0
20220309,2.12,-6.85,4.96,0.37,0.0,54.8
20220310,-4.92,-8.6,1.13,0.37,0.0,48.91
20220311,2.39,-7.91,0.0,0.37,0.0,92.01
20220312,13.94,-7.35,0.04,0.38,0.01,101.29
20220313,21.12,-0.58,0.0,0.38,0.06,107.13
20220314,12.57,0.22,0.0,0.38,0.01,75.64
20220315,18.94,-2.97,0.0,0.38,0.06,110.16
20220316,21.77,0.98,0.12,0.38,0.06,88.9
20220317,9.97,1.1,3.91,0.38,0.0,32.86
20220318,12.97,-0.98,0.01,0.38,0.03,96.68
20220319,18.76,0.04,0.0,0.38,0.09,112.66
20220320,22.68,2.94,0.0,0.38,0.07,73.04
20220321,13.38,0.8,7.75,0.38,0.0,49.0
20220322,10.73,0.66,2.38,0.39,0.02,106.03
20220323,9.28,-0.88,0.0,0.39,0.01,86.76
20220324,18.69,-3.31,0.0,0.38,0.1,116.86
20220325,14.23,3.51,0.0,0.38,0.07,115.89
20220326,21.44,1.08,0.0,0.38,0.14,115.16
20220327,17.24,-0.01,0.0,0.38,0.08,105.55
20220328,20.19,1.76,0.0,0.38,0.1,109.93
20220329,23.92,5.19,0.0,0.38,0.17,114.09
20220330,10.02,-0.05,0.18,0.38,0.01,104.79
20220331,15.51,-0.67,0.02,0.38,0.05,124.77
20220401,20.83,1.35,0.0,0.37,0.05,65.84
20220402,19.54,-0.1,0.0,0.37,0.08,113.68
20220403,17.91,3.38,0.0,0.37,0.04,101.46
20220404,18.59,4.26,0.0,0.37,0.05,85.91
20220405,22.94,5.0,0.0,0.37,0.07,121.38
20220406,14.4,2.64,0.0,0.36,0.02,109.3
20220407,14.07,2.37,0.0,0.36,0.02,123.49
20220408,15.43,-0.59,0.0,0.36,0.02,131.14
20220409,29.79,0.78,0.0,0.36,0.09,121.08
20220410,20.85,7.64,0.0,0.36,0.04,130.52
20220411,21.07,4.4,0.0,0.36,0.04,132.84
20220412,32.22,6.07,0.0,0.35,0.07,117.09
20220413,9.64,0.07,0.0,0.35,0.0,110.16
20220414,18.73,-2.93,0.0,0.35,0.02,131.78
20220415,18.43,4.05,0.0,0.35,0.01,135.8
20220416,14.17,-0.38,0.0,0.35,0.01,129.02
20220417,22.56,0.76,0.0,0.35,0.02,132.38
20220418,16.19,2.96,0.0,0.35,0.01,129.54
20220419,26.31,4.03,0.0,0.35,0.02,119.77
20220420,25.42,12.15,0.0,0.35,0.02,137.91
20220421,27.41,9.63,0.1,0.35,0.01,91.61
20220422,32.54,16.9,6.79,0.35,0.02,137.49
20220423,26.7,9.58,0.26,0.36,0.08,136.12
20220424,20.95,6.09,0.0,0.36,0.04,141.07
20220425,17.11,2.75,0.0,0.35,0.02,111.83
20220426,24.48,3.37,0.0,0.35,0.04,135.48
20220427,31.25,11.33,1.1,0.35,0.04,93.54
20220428,30.14,13.69,0.15,0.35,0.05,134.56
20220429,30.52,11.2,4.23,0.35,0.05,118.2
20220430,22.3,8.63,0.0,0.36,0.05,147.82
20220501,24.3,6.13,5.44,0.36,0.05,117.94
20220502,15.7,3.18,8.95,0.38,0.02,39.78
20220503,17.9,3.22,0.0,0.38,0.2,108.88
20220504,10.19,5.58,1.32,0.38,0.01,36.45
20220505,15.27,5.64,0.98,0.38,0.06,64.95
20220506,29.32,5.12,0.0,0.38,0.45,143.3
20220507,31.89,9.71,0.0,0.38,0.4,132.07
20220508,29.2,13.55,0.0,0.37,0.37,140.89
20220509,36.76,16.43,0.0,0.37,0.41,145.99
20220510,31.68,11.47,0.0,0.36,0.19,154.2
20220511,33.88,19.55,0.08,0.36,0.15,133.74
20220512,35.08,14.75,0.79,0.36,0.13,96.19
20220513,27.98,10.31,0.0,0.35,0.1,153.1
20220514,32.48,12.45,0.57,0.35,0.07,127.98
20220515,28.72,14.35,0.7,0.35,0.06,152.49
20220516,30.55,13.4,0.0,0.35,0.06,143.63
20220517,34.57,16.82,2.27,0.35,0.08,142.55
20220518,32.33,16.29,2.73,0.35,0.08,147.61
20220519,36.47,17.08,2.58,0.36,0.15,137.43
20220520,22.91,9.56,0.02,0.35,0.05,144.13
20220521,14.98,6.43,0.36,0.35,0.01,75.84
20220522,20.76,7.75,0.02,0.35,0.03,107.23
20220523,15.49,8.85,2.99,0.35,0.01,54.84
20220524,13.9,8.35,14.25,0.38,0.02,36.24
20220525,17.39,7.58,1.24,0.38,0.08,75.06
20220526,27.45,6.64,0.0,0.38,0.6,159.43
20220527,34.57,11.84,0.0,0.38,0.79,155.2
20220528,38.48,14.32,0.0,0.37,0.62,141.27
20220529,35.39,18.7,0.0,0.37,0.34,127.45
20220530,31.15,17.4,0.08,0.36,0.2,158.71
20220531,28.62,12.44,0.0,0.36,0.12,152.56
20220601,21.15,12.04,1.71,0.36,0.04,96.21
20220602,24.9,10.31,0.0,0.36,0.07,117.88
20220603,23.19,12.12,8.04,0.36,0.04,124.13
20220604,31.81,14.55,4.4,0.38,0.36,154.27
20220605,29.2,17.35,1.48,0.38,0.27,68.29
20220606,33.71,17.78,10.25,0.38,0.6,150.89
20220607,29.68,17.12,0.96,0.38,0.72,153.3
20220608,27.27,15.51,0.33,0.38,0.66,149.83
20220609,30.3,14.62,0.57,0.38,0.39,92.73
20220610,33.53,18.82,0.15,0.38,0.68,124.87
20220611,40.62,19.58,0.09,0.37,0.62,160.24
20220612,38.98,22.76,1.04,0.36,0.35,131.05
20220613,40.77,26.53,0.0,0.36,0.36,152.74
20220614,37.02,23.71,0.35,0.35,0.16,159.04
20220615,33.31,20.01,0.0,0.35,0.09,161.88
20220616,40.61,20.15,0.42,0.35,0.08,158.37
20220617,39.77,21.76,0.0,0.34,0.06,152.55
20220618,37.84,22.7,0.0,0.34,0.03,155.99
20220619,37.49,24.06,0.82,0.34,0.02,147.95
20220620,38.2,23.5,0.09,0.34,0.02,150.93
20220621,31.57,21.26,1.42,0.34,0.01,115.75
20220622,31.01,19.59,0.8,0.34,0.01,65.9
20220623,39.46,21.12,0.86,0.34,0.02,127.66
20220624,41.02,25.08,0.3,0.34,0.02,158.66
