,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20010101,3.08,-5.42,0.0,0.41,0.0,33.56
20010102,6.5,-5.38,0.0,0.41,0.0,55.16
20010103,12.4,-2.83,0.0,0.41,0.01,63.15
20010104,15.05,-0.07,0.04,0.4,0.02,58.73
20010105,14.44,-0.75,0.0,0.4,0.02,63.71
20010106,15.77,0.13,0.0,0.4,0.03,58.46
20010107,7.97,-3.49,0.0,0.4,0.0,57.0
20010108,12.26,-3.6,0.0,0.4,0.01,63.41
20010109,10.53,-2.53,1.06,0.4,0.01,58.39
20010110,5.8,-1.55,1.81,0.4,0.0,19.16
20010111,14.37,-1.27,0.0,0.4,0.04,65.12
20010112,14.15,-2.39,0.02,0.4,0.03,62.29
20010113,12.55,-1.34,0.08,0.4,0.02,63.45
20010114,9.87,-3.76,0.0,0.4,0.01,66.88
20010115,4.94,-4.95,0.62,0.4,0.0,55.07
20010116,0.9,-4.97,4.26,0.4,0.0,14.28
20010117,0.08,-6.72,0.61,0.4,0.0,23.27
20010118,2.76,-6.63,0.02,0.4,0.0,51.88
20010119,3.37,-5.79,0.19,0.4,0.0,59.66
20010120,6.39,-5.73,0.01,0.4,0.0,60.11
20010121,6.72,-2.87,0.0,0.4,0.0,70.16
20010122,11.83,-3.2,0.0,0.4,0.01,66.79
20010123,4.79,-3.27,0.01,0.4,0.0,32.8
20010124,6.93,-3.95,0.04,0.4,0.0,60.76
20010125,5.98,-3.71,0.85,0.4,0.0,16.66
20010126,8.87,-3.07,0.13,0.4,0.01,68.12
20010127,-2.81,-6.24,13.44,0.4,0.0,9.73
20010128,0.77,-7.72,6.56,0.4,0.0,25.73
20010129,4.64,-8.38,0.13,0.41,0.0,64.73
20010130,6.42,-4.77,0.05,0.42,0.0,76.61
20010131,4.45,-5.35,0.64,0.42,0.0,76.12
20010201,4.59,-5.11,0.01,0.42,0.0,80.06
20010202,11.38,-4.47,0.0,0.42,0.01,82.09
20010203,12.55,-2.11,0.2,0.42,0.02,62.87
20010204,10.07,-2.76,0.0,0.42,0.03,77.48
20010205,21.4,-2.14,0.0,0.41,0.1,79.75
20010206,10.35,-0.27,0.0,0.41,0.03,43.81
20010207,19.73,0.49,0.0,0.41,0.1,77.86
20010208,14.78,-7.73,5.83,0.41,0.01,30.47
20010209,1.76,-9.01,0.26,0.41,0.0,70.48
20010210,9.5,-8.38,0.0,0.41,0.01,87.12
20010211,15.51,-2.34,0.69,0.41,0.03,80.77
20010212,14.83,-2.74,0.0,0.41,0.05,87.83
20010213,19.11,1.08,0.06,0.41,0.08,63.41
20010214,15.05,0.37,0.09,0.41,0.04,46.15
20010215,12.94,-4.77,0.0,0.41,0.05,87.38
20010216,3.57,-5.77,0.73,0.41,0.0,57.28
20010217,13.92,-5.24,0.03,0.41,0.03,89.02
20010218,17.41,-0.28,0.0,0.41,0.05,77.62
20010219,20.64,3.15,0.0,0.4,0.13,90.52
20010220,18.83,3.03,0.0,0.4,0.09,66.36
20010221,16.37,-0.8,0.0,0.4,0.04,60.91
20010222,18.15,-3.0,0.16,0.4,0.08,75.27
20010223,15.77,6.47,1.52,0.4,0.02,35.88
20010224,12.32,1.59,0.36,0.4,0.02,77.59
20010225,16.09,-2.31,0.0,0.4,0.05,80.74
20010226,18.12,4.02,0.51,0.4,0.07,46.99
20010227,5.48,-7.33,3.04,0.4,0.0,25.84
20010228,0.2,-7.95,7.33,0.4,0.0,28.79
20010301,12.72,-3.35,0.01,0.41,0.03,71.92
20010302,10.03,-0.07,0.27,0.41,0.02,64.48
20010303,15.55,-0.76,0.34,0.41,0.11,93.44
20010304,14.16,0.28,0.03,0.41,0.08,103.38
20010305,20.3,-0.77,0.0,0.41,0.14,97.88
20010306,17.48,4.12,0.43,0.41,0.08,68.35
20010307,13.62,1.61,3.78,0.41,0.05,52.83
20010308,6.33,0.71,11.92,0.42,0.0,30.48
20010309,16.73,0.55,0.12,0.43,0.11,89.58
20010310,19.49,3.31,0.29,0.42,0.18,98.91
20010311,12.53,0.46,0.25,0.42,0.06,83.27
20010312,17.15,-2.72,0.08,0.41,0.13,108.46
20010313,19.05,-0.5,0.0,0.41,0.17,114.66
20010314,20.4,1.87,0.16,0.41,0.2,113.48
20010315,8.64,-2.92,0.14,0.41,0.01,113.52
20010316,9.72,-4.77,0.07,0.41,0.02,97.23
20010317,4.24,-1.27,8.73,0.41,0.0,20.34
20010318,9.12,-1.6,1.66,0.42,0.02,55.66
20010319,14.05,-2.27,0.0,0.42,0.11,117.63
20010320,22.15,-1.49,0.04,0.41,0.3,121.42
20010321,26.78,6.06,0.01,0.41,0.39,120.27
20010322,21.08,5.81,1.81,0.41,0.21,107.91
20010323,19.76,4.65,3.42,0.41,0.16,99.8
20010324,7.92,-0.1,0.9,0.41,0.02,37.55
20010325,15.01,-0.47,0.73,0.41,0.08,40.55
20010326,6.65,-2.29,0.85,0.41,0.0,26.15
20010327,13.2,-0.97,0.43,0.41,0.06,37.62
20010328,15.17,0.54,0.38,0.41,0.09,52.93
