,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20000101,-3.69,-7.94,2.24,0.45,0.0,16.7
20000102,-2.27,-12.0,1.08,0.45,0.0,25.5
20000103,-5.92,-11.67,3.02,0.45,0.0,18.7
20000104,0.48,-6.09,3.61,0.45,0.0,24.0
20000105,-0.9,-9.1,0.42,0.45,0.0,25.7
20000106,-4.47,-11.13,0.5,0.45,0.0,15.2
20000107,-0.92,-8.81,0.93,0.45,0.0,17.4
20000108,0.05,-7.67,2.46,0.45,0.0,26.7
20000109,-1.7,-8.69,3.47,0.45,0.0,23.3
20000110,-5.81,-10.51,4.05,0.45,0.0,25.3
20000111,-3.63,-11.36,1.84,0.45,0.0,27.3
20000112,-5.8,-11.53,2.65,0.45,0.0,30.2
20000113,-2.45,-6.33,4.2,0.45,0.0,18.6
20000114,-1.27,-7.16,4.03,0.45,0.0,13.5
20000115,-2.85,-10.15,0.88,0.45,0.0,32.8
20000116,-1.75,-8.31,9.27,0.45,0.0,17.8
20000117,-1.92,-11.23,0.45,0.45,0.0,33.0
20000118,-3.54,-15.5,0.5,0.45,0.0,36.3
20000119,-7.41,-18.13,0.03,0.45,0.0,37.5
20000120,-4.36,-15.73,1.52,0.45,0.0,34.9
20000121,-3.41,-10.52,0.6,0.45,0.0,32.4
20000122,-2.23,-11.57,0.2,0.45,0.0,35.9
20000123,-3.26,-12.42,0.31,0.45,0.0,34.1
20000124,-3.28,-14.26,0.3,0.45,0.0,40.5
20000125,-1.24,-7.61,1.24,0.45,0.0,36.0
20000126,-0.88,-9.3,0.84,0.45,0.0,38.3
20000127,-1.2,-12.85,0.19,0.45,0.0,40.4
20000128,-4.18,-12.48,0.37,0.45,0.0,39.7
20000129,-5.72,-14.7,0.17,0.45,0.0,41.8
20000130,-5.29,-16.7,0.37,0.45,0.0,44.0
20000131,-3.06,-10.54,3.29,0.45,0.0,38.3
20000201,0.12,-4.37,8.73,0.45,0.0,16.7
20000202,0.37,-8.39,0.93,0.45,0.0,40.6
20000203,-1.12,-11.06,0.31,0.46,0.0,46.6
20000204,-2.72,-12.95,0.18,0.46,0.0,39.4
20000205,-0.49,-12.44,0.61,0.45,0.0,35.0
20000206,0.15,-4.98,0.73,0.46,0.0,28.5
20000207,-0.17,-4.6,0.96,0.46,0.0,26.4
20000208,-0.38,-3.45,3.77,0.46,0.0,25.0
20000209,-0.17,-8.56,0.41,0.47,0.0,51.1
20000210,-1.21,-11.31,0.2,0.47,0.0,53.7
20000211,-1.85,-12.5,0.18,0.47,0.0,49.5
20000212,-2.73,-13.49,0.36,0.46,0.0,43.6
20000213,-2.35,-11.88,0.4,0.46,0.0,45.5
20000214,-5.19,-11.1,4.56,0.46,0.0,27.0
20000215,-0.89,-9.69,1.04,0.46,0.0,56.5
20000216,-1.24,-12.99,0.31,0.46,0.0,57.8
20000217,-2.18,-14.53,0.18,0.47,0.0,62.6
20000218,-1.25,-12.66,0.13,0.47,0.0,57.1
20000219,-2.11,-11.31,0.18,0.47,0.0,63.6
20000220,0.3,-10.91,0.15,0.47,0.0,59.2
20000221,1.15,-4.35,1.82,0.47,0.0,29.7
20000222,0.69,-1.41,8.6,0.48,0.0,27.6
20000223,1.77,-8.83,2.81,0.49,0.0,45.4
20000224,1.4,-10.72,0.42,0.49,0.0,67.8
20000225,0.6,-10.2,2.2,0.49,0.0,65.0
20000226,0.98,-6.32,2.44,0.49,0.0,60.4
20000227,2.12,-3.31,4.5,0.49,0.0,58.7
20000228,2.32,-4.27,0.86,0.49,0.0,56.1
20000229,1.35,-3.27,2.94,0.49,0.0,50.7
20000301,1.44,-3.07,0.73,0.49,0.0,55.5
20000302,2.06,-2.83,1.39,0.49,0.0,46.3
20000303,2.57,-4.45,2.8,0.5,0.01,43.0
20000304,1.37,-4.7,7.42,0.5,0.0,46.8
20000305,2.95,-6.44,0.37,0.51,0.02,75.6
20000306,1.57,-7.02,2.58,0.51,0.01,56.8
20000307,2.2,-8.47,0.27,0.5,0.02,63.1
20000308,3.18,-4.54,1.35,0.5,0.02,66.7
20000309,4.4,-4.28,1.01,0.5,0.03,67.9
20000310,4.76,-6.27,1.35,0.5,0.04,76.5
20000311,3.99,-4.0,1.59,0.5,0.06,68.8
20000312,3.4,-5.03,0.9,0.5,0.05,64.5
20000313,4.65,-4.65,3.8,0.5,0.04,78.3
20000314,3.57,-5.85,2.78,0.5,0.05,75.4
20000315,4.92,-7.28,0.71,0.5,0.09,89.2
20000316,4.12,-4.58,5.37,0.5,0.02,47.2
20000317,2.97,-5.18,1.34,0.5,0.03,64.5
20000318,1.15,-2.72,4.34,0.5,0.01,47.0
20000319,2.81,-5.47,0.7,0.5,0.05,83.3
20000320,4.35,-7.77,0.55,0.5,0.09,79.1
20000321,8.35,-2.45,0.63,0.5,0.12,102.5
20000322,4.48,-2.39,3.3,0.51,0.02,47.3
20000323,4.84,-4.66,0.56,0.51,0.08,86.3
20000324,6.34,-4.17,0.03,0.5,0.12,101.2
20000325,6.83,-4.09,0.15,0.5,0.09,69.6
20000326,8.36,-4.45,0.18,0.51,0.17,102.0
20000327,7.92,-1.88,0.28,0.51,0.13,79.3
20000328,6.17,-2.75,0.7,0.51,0.12,84.9
20000329,6.8,-4.62,0.16,0.51,0.15,108.7
20000330,8.24,-4.27,0.01,0.51,0.2,100.0
20000331,11.26,-3.01,0.14,0.52,0.26,111.7
20000401,12.38,-0.88,0.04,0.52,0.26,104.5
20000402,12.99,-1.09,0.05,0.52,0.3,117.8
20000403,12.94,1.09,0.06,0.53,0.22,115.6
20000404,7.91,-4.22,0.38,0.53,0.14,78.3
20000405,5.3,-3.94,0.26,0.53,0.11,96.8
20000406,5.52,-3.88,0.36,0.52,0.14,97.8
20000407,9.97,-6.13,0.01,0.52,0.24,121.7
20000408,16.46,-2.01,0.2,0.52,0.39,123.2
20000409,16.56,0.94,0.04,0.52,0.48,124.0
20000410,18.02,-0.4,0.03,0.52,0.51,127.1
20000411,15.68,2.11,0.0,0.51,0.3,119.7
20000412,16.23,2.35,0.48,0.51,0.39,99.5
20000413,13.12,2.15,5.05,0.51,0.17,63.2
20000414,6.6,-1.61,3.9,0.52,0.04,66.3
20000415,9.41,2.1,1.68,0.52,0.11,75.7
20000416,9.94,0.84,1.28,0.52,0.14,79.4
20000417,15.3,-0.84,0.04,0.52,0.43,120.7
20000418,17.64,1.77,0.09,0.52,0.54,130.9
20000419,16.35,-0.61,0.05,0.51,0.55,137.1
20000420,15.51,0.94,0.09,0.51,0.41,109.7
20000421,17.07,3.15,0.28,0.51,0.46,98.7
20000422,12.59,0.27,0.52,0.5,0.39,121.5
20000423,8.25,-1.24,0.47,0.5,0.24,108.7
20000424,9.55,-3.63,0.05,0.5,0.33,131.5
20000425,7.77,-1.13,1.18,0.5,0.15,87.5
20000426,12.79,-1.59,0.28,0.5,0.39,127.0
20000427,18.58,1.76,3.01,0.5,0.45,85.5
20000428,8.5,0.24,1.44,0.5,0.26,103.9
20000429,11.62,-2.1,0.24,0.5,0.42,139.2
20000430,16.08,1.99,0.11,0.5,0.44,107.3
20000501,16.3,4.68,0.93,0.5,0.5,124.2
20000502,15.29,3.4,0.95,0.49,0.55,116.4
20000503,11.83,1.34,2.0,0.49,0.28,74.2
20000504,10.45,0.48,0.51,0.49,0.34,118.7
20000505,9.67,0.06,1.22,0.49,0.29,100.2
20000506,10.3,-1.1,0.28,0.49,0.37,112.1
20000507,13.33,-2.75,0.17,0.49,0.53,143.7
20000508,13.63,0.01,0.51,0.49,0.45,115.8
20000509,10.42,2.08,2.99,0.49,0.18,87.0
20000510,6.58,0.09,1.79,0.49,0.17,98.2
20000511,5.82,-0.31,3.07,0.5,0.08,65.5
20000512,11.63,-0.14,0.38,0.5,0.4,123.2
20000513,16.2,0.1,0.07,0.49,0.69,141.9
