,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20050101,19.35,8.9,0.0,0.51,0.07,29.7
20050102,12.69,7.15,0.16,0.51,0.02,24.94
20050103,15.19,3.49,0.53,0.51,0.06,32.39
20050104,7.34,-0.7,17.64,0.53,0.0,12.37
20050105,-1.9,-12.68,10.71,0.54,0.0,30.8
20050106,0.15,-12.68,0.02,0.54,0.0,31.17
20050107,6.51,-5.32,0.49,0.54,0.0,64.58
20050108,8.72,-5.49,1.08,0.55,0.0,63.98
20050109,18.19,2.47,0.09,0.55,0.05,52.3
20050110,11.65,5.88,0.01,0.55,0.0,33.38
20050111,9.28,1.02,0.01,0.55,0.0,29.41
20050112,16.4,0.41,0.11,0.54,0.11,55.11
20050113,10.33,-2.49,0.0,0.54,0.04,67.82
20050114,2.84,-5.91,0.09,0.53,0.0,50.88
20050115,1.07,-6.84,0.35,0.53,0.0,37.39
20050116,0.62,-6.63,0.0,0.53,0.0,44.72
20050117,3.07,-5.6,0.06,0.53,0.0,66.74
20050118,10.93,-4.52,0.02,0.53,0.01,63.16
20050119,15.97,-0.31,0.01,0.53,0.07,69.52
20050120,21.24,2.87,0.04,0.53,0.16,70.8
20050121,19.37,7.21,0.0,0.52,0.12,48.65
20050122,7.89,-6.15,0.0,0.52,0.0,67.75
20050123,8.73,-6.36,0.01,0.52,0.0,73.53
20050124,14.85,-1.78,0.05,0.52,0.04,64.25
20050125,20.33,3.81,0.04,0.52,0.17,74.95
20050126,13.53,3.22,0.0,0.52,0.05,57.99
20050127,7.65,1.75,2.63,0.52,0.0,20.03
20050128,4.09,-0.3,8.92,0.53,0.0,21.84
20050129,9.55,-2.31,0.32,0.54,0.04,74.05
20050130,2.82,-2.96,3.86,0.54,0.0,14.25
20050131,7.21,-3.46,0.44,0.54,0.01,39.92
20050201,3.27,-1.91,1.35,0.54,0.0,18.8
20050202,8.26,-3.27,0.02,0.54,0.02,52.79
20050203,13.75,-2.37,0.06,0.54,0.11,76.59
