,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20130101,8.79,0.82,0.96,0.63,0.0,39.32
20130102,3.97,-0.92,0.0,0.63,0.0,39.91
20130103,10.05,-3.09,0.13,0.63,0.01,45.78
20130104,10.48,0.26,1.44,0.63,0.01,40.71
20130105,12.62,2.12,0.47,0.63,0.02,62.94
20130106,14.18,-1.43,0.8,0.63,0.02,69.23
20130107,12.1,-1.79,0.0,0.62,0.01,51.64
20130108,11.57,5.31,51.32,0.66,0.0,14.16
20130109,15.69,8.03,42.19,0.75,0.01,9.78
20130110,15.48,7.86,0.52,0.75,0.24,39.09
20130111,20.17,5.7,0.01,0.73,0.34,57.42
20130112,22.09,2.08,2.36,0.72,0.1,23.01
20130113,7.54,-1.95,0.3,0.71,0.01,70.4
20130114,7.13,-3.84,0.27,0.71,0.0,61.27
20130115,3.51,-2.61,2.88,0.7,0.0,22.2
20130116,8.59,-5.13,0.0,0.7,0.04,70.72
20130117,15.18,-1.31,0.0,0.7,0.17,76.09
20130118,15.7,-1.16,0.0,0.7,0.19,75.64
20130119,16.41,2.5,0.0,0.7,0.12,60.7
20130120,20.0,3.6,0.0,0.7,0.31,76.56
20130121,14.85,4.62,0.0,0.7,0.17,76.95
20130122,19.19,3.78,0.0,0.7,0.22,68.95
20130123,21.98,7.78,0.0,0.69,0.36,75.12
20130124,25.56,9.41,0.0,0.69,0.46,71.31
20130125,19.87,8.92,0.0,0.69,0.31,54.12
20130126,16.07,7.65,0.17,0.69,0.14,30.88
20130127,22.67,11.12,0.01,0.69,0.22,48.25
20130128,25.55,16.99,0.01,0.68,0.41,40.52
20130129,24.8,8.62,5.81,0.69,0.22,43.44
20130130,12.01,4.13,0.02,0.69,0.12,85.84
20130131,19.29,-0.39,0.0,0.69,0.36,84.39
20130201,15.73,0.51,0.0,0.68,0.19,86.15
20130202,20.09,6.7,0.0,0.68,0.36,83.08
20130203,19.8,4.86,0.0,0.68,0.4,83.98
20130204,21.08,10.44,0.62,0.68,0.17,59.62
20130205,22.15,9.63,0.06,0.67,0.43,72.17
20130206,22.85,11.4,1.78,0.67,0.32,64.6
20130207,25.66,12.07,0.15,0.67,0.53,83.07
20130208,17.98,6.35,0.0,0.67,0.35,90.01
20130209,15.83,6.98,7.51,0.67,0.07,23.55
20130210,19.41,12.62,7.43,0.7,0.36,57.05
20130211,15.88,7.8,6.28,0.7,0.18,35.28
20130212,15.68,4.68,9.33,0.71,0.12,62.31
20130213,14.1,0.62,0.0,0.71,0.28,95.51
20130214,19.58,1.02,0.0,0.7,0.5,94.96
20130215,12.41,1.95,0.0,0.7,0.16,64.85
20130216,14.52,-1.73,0.0,0.7,0.29,98.1
20130217,20.11,2.24,0.0,0.69,0.52,98.1
