,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20030101,5.09,-4.01,0.28,0.47,0.0,17.66
20030102,6.35,-3.69,0.03,0.47,0.0,37.74
20030103,12.04,-3.02,0.0,0.47,0.03,55.31
20030104,15.55,0.43,0.0,0.47,0.09,53.29
20030105,11.61,-1.31,0.0,0.46,0.03,27.27
20030106,4.05,-3.8,0.0,0.46,0.0,17.32
20030107,13.01,-4.36,0.0,0.46,0.04,56.5
20030108,17.58,-0.05,0.0,0.46,0.11,56.61
20030109,9.64,-2.19,0.0,0.46,0.02,58.06
20030110,2.85,-5.41,0.0,0.46,0.0,58.74
20030111,3.51,-5.27,0.01,0.46,0.0,50.2
20030112,7.52,-1.72,0.0,0.46,0.0,55.44
20030113,11.09,-2.32,0.0,0.46,0.02,41.35
20030114,4.68,-3.95,0.05,0.46,0.0,54.88
20030115,4.46,-4.33,2.18,0.46,0.0,14.16
20030116,0.08,-5.74,0.02,0.46,0.0,37.77
20030117,1.26,-5.84,0.0,0.46,0.0,57.02
20030118,4.52,-3.98,0.1,0.46,0.0,52.07
20030119,13.23,-3.35,0.0,0.46,0.03,62.35
20030120,14.08,-1.87,0.0,0.46,0.06,58.34
20030121,2.88,-5.13,0.0,0.46,0.0,62.72
20030122,-0.54,-8.92,0.0,0.45,0.0,28.12
20030123,-7.47,-13.14,0.0,0.45,0.0,48.23
20030124,-1.18,-11.65,0.0,0.45,0.0,45.43
20030125,6.41,-6.67,0.02,0.45,0.0,51.38
20030126,-1.77,-8.3,0.0,0.45,0.0,59.23
20030127,9.38,-7.49,0.01,0.45,0.0,61.03
20030128,10.13,-0.01,0.0,0.45,0.02,57.62
20030129,6.66,-3.8,0.01,0.45,0.0,40.44
20030130,10.74,-4.54,0.0,0.45,0.02,48.3
20030131,12.33,1.2,0.0,0.45,0.07,69.1
20030201,19.61,-0.43,0.0,0.45,0.15,53.09
20030202,20.51,3.61,0.0,0.45,0.18,46.85
20030203,4.33,-4.53,0.0,0.45,0.0,26.62
20030204,6.51,-5.53,0.0,0.45,0.01,53.82
20030205,7.67,-3.88,0.3,0.45,0.0,34.34
20030206,1.13,-7.82,3.57,0.45,0.0,30.9
20030207,1.01,-8.92,0.0,0.45,0.0,68.93
20030208,6.48,-6.0,0.0,0.45,0.0,71.16
20030209,4.69,-2.38,3.24,0.45,0.0,35.02
20030210,11.75,-3.75,0.01,0.46,0.05,76.95
20030211,12.74,-3.06,0.35,0.46,0.1,69.5
20030212,13.56,-4.01,0.01,0.46,0.1,79.36
20030213,11.07,2.12,7.86,0.46,0.01,25.54
20030214,20.72,5.49,1.34,0.48,0.15,52.1
20030215,4.76,-3.6,0.0,0.47,0.0,13.88
20030216,5.99,-4.75,0.0,0.47,0.0,82.35
20030217,10.14,-5.36,0.01,0.47,0.05,74.76
20030218,8.73,0.62,7.98,0.47,0.0,20.05
20030219,13.73,0.47,0.96,0.48,0.17,83.59
20030220,13.23,-2.12,0.0,0.48,0.17,80.74
20030221,13.72,2.33,0.53,0.48,0.15,33.9
20030222,8.55,-1.15,0.0,0.47,0.05,49.8
20030223,-1.54,-14.31,15.02,0.47,0.0,15.32
20030224,-8.92,-15.27,0.33,0.47,0.0,22.09
20030225,-5.34,-13.33,0.96,0.47,0.0,27.61
20030226,-0.43,-8.6,0.77,0.47,0.0,30.03
20030227,1.07,-5.39,2.56,0.48,0.0,22.71
20030228,2.12,-5.45,0.14,0.48,0.0,20.87
20030301,4.3,-5.4,0.36,0.49,0.0,37.3
20030302,4.26,-3.14,0.0,0.48,0.0,64.45
20030303,12.51,-3.75,0.0,0.48,0.07,75.55
20030304,11.98,-7.02,0.02,0.48,0.02,20.3
20030305,0.33,-7.53,0.0,0.48,0.0,33.63
20030306,8.7,-6.42,0.0,0.48,0.02,98.55
20030307,14.94,-1.43,0.01,0.48,0.19,99.31
20030308,14.83,-3.5,0.0,0.47,0.26,94.45
20030309,5.16,-6.51,0.0,0.47,0.0,101.59
20030310,7.8,-5.41,0.0,0.47,0.07,92.08
20030311,12.77,-2.07,1.76,0.47,0.01,25.34
20030312,23.85,5.51,0.25,0.47,0.59,50.41
20030313,18.17,3.92,0.01,0.46,0.45,87.91
20030314,21.94,1.62,0.0,0.46,0.58,90.89
20030315,25.43,4.22,0.0,0.45,0.84,99.91
20030316,24.51,11.89,1.62,0.45,0.63,86.25
20030317,22.35,11.93,16.92,0.47,0.28,65.52
20030318,15.36,8.84,33.15,0.51,0.02,25.33
20030319,11.58,6.64,24.63,0.58,0.01,22.26
20030320,10.94,3.26,0.79,0.58,0.06,30.27
20030321,15.12,-0.57,0.0,0.56,0.67,110.67
20030322,18.94,5.62,0.02,0.55,0.73,101.14
20030323,22.73,3.64,0.0,0.53,1.09,110.12
20030324,22.5,7.84,0.02,0.52,1.09,112.55
20030325,15.34,6.33,1.61,0.51,0.38,99.15
20030326,20.23,2.76,0.0,0.5,0.96,117.71
20030327,18.73,4.05,0.49,0.49,0.56,72.59
20030328,11.14,3.1,0.15,0.49,0.22,80.87
20030329,8.8,-3.21,0.0,0.48,0.11,114.63
20030330,13.98,-4.52,0.0,0.48,0.45,121.18
20030331,24.31,1.84,0.0,0.48,1.22,121.03
20030401,25.87,8.25,0.0,0.47,1.49,125.56
20030402,28.26,11.75,0.0,0.46,1.72,122.51
20030403,25.26,16.26,0.08,0.45,0.91,75.34
20030404,16.4,5.28,0.04,0.45,0.49,96.77
20030405,13.65,1.01,0.53,0.45,0.29,78.26
20030406,21.85,3.63,4.16,0.46,0.68,50.78
20030407,13.58,-0.2,0.0,0.46,0.37,122.95
20030408,9.01,-1.39,0.0,0.45,0.05,82.46
20030409,17.08,-4.27,0.0,0.45,0.73,132.28
20030410,22.35,0.44,0.0,0.45,1.04,131.91
20030411,25.52,3.7,0.0,0.45,1.45,132.16
20030412,25.8,7.04,0.0,0.44,1.58,128.2
20030413,27.91,8.37,0.0,0.44,1.53,121.8
20030414,29.06,15.06,1.03,0.43,1.71,131.52
20030415,22.37,16.78,9.93,0.43,0.49,57.91
20030416,21.39,9.23,0.37,0.45,0.87,97.19
20030417,20.07,5.76,0.0,0.45,0.88,114.89
20030418,28.02,8.99,1.76,0.44,1.73,123.49
20030419,20.32,11.08,35.07,0.49,0.66,64.12
20030420,20.08,5.83,0.0,0.5,1.28,120.66
20030421,21.55,5.2,0.11,0.49,1.53,138.14
20030422,22.09,6.97,1.58,0.48,1.04,119.29
20030423,20.43,8.6,28.17,0.5,0.35,19.03
20030424,20.58,10.95,4.24,0.53,1.29,90.8
20030425,18.65,9.09,0.0,0.52,0.96,66.18
20030426,21.97,6.23,0.0,0.51,1.46,139.77
20030427,27.34,10.37,0.02,0.49,1.88,100.76
20030428,25.86,12.72,0.01,0.48,1.38,116.38
20030429,27.92,12.59,0.23,0.48,1.98,129.08
20030430,29.2,16.42,2.71,0.47,2.13,128.7
20030501,20.25,11.57,3.1,0.48,0.69,57.3
20030502,21.6,9.65,0.04,0.47,0.85,116.41
20030503,23.6,9.76,0.01,0.47,1.02,77.56
20030504,30.3,15.94,0.09,0.46,2.57,134.4
20030505,27.52,10.23,0.0,0.45,2.19,150.52
20030506,26.25,12.85,0.01,0.45,1.49,101.57
20030507,24.91,9.15,0.02,0.44,1.44,130.56
20030508,32.55,15.12,0.96,0.43,1.98,91.6
20030509,29.07,10.96,0.61,0.43,1.96,141.3
20030510,27.15,11.68,0.71,0.42,1.83,144.55
20030511,22.99,7.96,0.0,0.42,1.25,154.59
20030512,26.99,9.19,0.02,0.41,1.72,152.02
20030513,29.0,14.07,3.05,0.41,0.87,65.76
20030514,28.82,18.24,1.76,0.41,1.4,114.2
20030515,24.94,15.77,7.49,0.42,0.52,63.06
20030516,23.91,12.68,50.24,0.51,0.51,33.04
20030517,24.5,9.65,0.01,0.52,1.92,98.29
20030518,27.73,14.69,0.1,0.51,2.13,125.51
20030519,27.18,13.04,4.02,0.49,1.45,43.3
20030520,20.25,10.42,0.18,0.48,1.28,142.56
