,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20010101,-7.31,-18.44,0.0,0.39,0.0,42.63
20010102,1.91,-15.04,0.02,0.39,0.0,37.97
20010103,3.79,-4.75,0.0,0.39,0.0,42.94
20010104,8.92,-2.23,0.0,0.39,0.0,39.33
20010105,6.36,-1.54,0.0,0.39,0.0,39.38
20010106,9.26,-1.0,0.0,0.39,0.0,42.76
20010107,3.7,-3.56,0.01,0.39,0.01,33.48
20010108,5.4,-3.73,0.0,0.39,0.0,40.34
20010109,8.63,-4.63,0.0,0.39,0.01,43.55
20010110,9.32,-1.75,0.0,0.39,0.0,39.91
20010111,3.79,-2.85,0.04,0.39,0.0,32.22
20010112,6.73,-3.38,0.04,0.39,0.0,33.24
20010113,1.69,-2.3,11.84,0.39,0.01,22.13
20010114,-1.77,-4.81,1.88,0.39,0.01,22.9
20010115,-2.24,-7.41,0.08,0.39,0.01,20.31
20010116,-3.1,-8.59,0.2,0.39,0.0,28.56
20010117,1.71,-12.8,0.05,0.39,0.0,49.4
20010118,-0.13,-13.57,0.49,0.39,0.0,26.2
20010119,-9.14,-16.84,0.01,0.39,0.0,52.27
20010120,0.94,-16.67,0.0,0.39,0.0,54.21
20010121,0.18,-8.65,0.04,0.39,0.0,52.78
20010122,3.4,-7.33,0.01,0.4,0.0,43.75
20010123,4.43,-7.32,0.22,0.4,0.0,54.88
20010124,-4.85,-13.02,0.04,0.4,0.0,52.86
20010125,1.51,-12.04,0.31,0.4,0.0,37.98
20010126,-1.19,-10.85,0.26,0.4,0.0,41.49
20010127,4.46,-12.48,0.04,0.4,0.0,55.59
20010128,2.79,-5.51,3.12,0.4,0.0,48.95
20010129,-1.81,-5.81,16.08,0.4,0.0,14.63
20010130,0.04,-3.39,4.73,0.4,0.0,41.49
20010131,0.54,-11.3,0.13,0.4,0.0,60.22
20010201,-7.12,-24.11,0.19,0.4,0.0,61.66
20010202,1.05,-24.11,0.1,0.41,0.0,56.12
20010203,4.48,-2.94,1.32,0.41,0.0,53.89
20010204,2.85,-3.45,0.56,0.42,0.0,52.12
20010205,3.79,-6.24,0.03,0.43,0.0,55.02
20010206,3.23,-8.95,0.13,0.43,0.0,62.45
20010207,-1.53,-6.91,1.88,0.42,0.01,35.16
20010208,-6.67,-12.76,1.18,0.42,0.0,88.99
20010209,-9.6,-15.84,0.22,0.42,0.0,70.09
20010210,-3.07,-16.63,0.06,0.41,0.0,66.53
20010211,-1.72,-12.77,0.33,0.41,0.0,66.3
20010212,-1.51,-9.56,0.01,0.41,0.0,69.24
20010213,0.01,-11.88,0.27,0.41,0.0,59.24
20010214,-11.38,-14.22,1.73,0.41,0.0,72.63
20010215,0.01,-16.04,0.01,0.41,0.0,73.2
20010216,-8.5,-16.56,0.04,0.41,0.0,76.12
20010217,-4.77,-16.95,0.0,0.41,0.0,65.27
20010218,5.75,-12.58,0.0,0.41,0.0,74.04
20010219,1.48,-6.62,0.06,0.41,0.0,78.36
20010220,-1.9,-11.48,0.04,0.41,0.0,78.34
20010221,-4.86,-12.97,0.08,0.41,0.0,75.54
20010222,3.79,-8.78,0.02,0.41,0.0,80.87
20010223,-2.1,-9.77,3.18,0.41,0.0,38.37
20010224,0.29,-7.42,9.83,0.41,0.0,29.1
20010225,-1.28,-9.34,0.42,0.41,0.0,82.78
20010226,-5.95,-12.95,0.27,0.41,0.0,87.57
20010227,-9.13,-16.55,0.12,0.41,0.0,84.77
20010228,2.8,-15.78,0.0,0.41,0.0,90.29
20010301,4.28,-9.97,0.62,0.42,0.0,87.67
20010302,7.01,-4.55,0.0,0.43,0.0,97.53
20010303,9.48,-3.02,0.0,0.43,0.01,89.86
20010304,4.45,-4.57,0.0,0.43,0.0,91.91
20010305,2.92,-4.42,0.0,0.43,0.0,91.91
20010306,6.8,-3.37,0.0,0.42,0.01,64.96
20010307,8.49,-3.47,0.0,0.42,0.01,81.16
20010308,5.36,-5.44,0.0,0.42,0.01,55.32
20010309,9.75,-5.38,0.0,0.42,0.02,59.32
20010310,4.94,-5.74,0.7,0.42,0.01,66.91
20010311,0.55,-6.75,2.15,0.41,0.0,66.86
20010312,8.17,-3.39,0.36,0.42,0.01,94.61
20010313,11.95,-0.25,0.03,0.42,0.03,90.52
20010314,16.93,-0.42,0.02,0.41,0.11,94.06
20010315,6.34,-3.41,0.03,0.41,0.01,77.96
20010316,7.89,-4.39,0.0,0.41,0.02,95.79
20010317,11.01,-4.43,0.0,0.41,0.05,97.3
20010318,8.86,-2.5,0.13,0.41,0.01,64.0
20010319,15.0,-1.38,0.0,0.41,0.11,97.41
20010320,17.27,-1.23,0.0,0.41,0.12,93.9
20010321,13.98,-1.28,0.88,0.41,0.07,43.23
20010322,11.97,-1.36,1.63,0.41,0.03,48.89
20010323,3.99,-6.5,4.04,0.41,0.0,59.77
20010324,2.37,-7.67,0.0,0.41,0.0,110.34
20010325,-1.15,-7.3,0.1,0.41,0.0,102.82
20010326,2.35,-8.57,0.0,0.41,0.01,107.78
20010327,8.71,-4.69,0.36,0.41,0.01,93.75
20010328,10.1,-1.48,0.14,0.41,0.02,58.23
20010329,12.78,-0.5,0.65,0.41,0.08,58.86
20010330,18.37,-0.51,4.57,0.41,0.16,108.72
20010331,8.62,-3.52,0.36,0.41,0.01,119.35
20010401,12.89,-2.34,0.15,0.41,0.06,89.73
20010402,12.49,-1.67,1.65,0.41,0.04,107.4
20010403,11.29,-0.14,3.52,0.42,0.02,69.98
20010404,13.36,1.92,0.68,0.42,0.03,29.19
20010405,12.37,3.66,0.19,0.42,0.03,43.89
20010406,16.36,3.55,20.99,0.43,0.04,24.24
20010407,15.51,1.28,4.35,0.46,0.06,42.23
20010408,17.1,-1.18,0.27,0.45,0.24,112.38
20010409,20.02,0.46,0.1,0.45,0.35,122.47
20010410,17.05,1.07,11.98,0.45,0.15,64.58
20010411,7.87,2.32,26.81,0.48,0.0,26.72
20010412,12.9,1.22,0.36,0.49,0.13,87.38
20010413,16.18,0.37,0.18,0.48,0.21,72.43
20010414,16.46,0.85,0.03,0.47,0.08,73.84
20010415,11.08,-1.7,0.0,0.46,0.13,119.36
20010416,5.69,-4.94,0.0,0.46,0.0,115.71
20010417,10.24,-5.58,0.0,0.45,0.15,129.3
20010418,20.76,-1.06,0.04,0.45,0.34,113.52
20010419,20.62,5.68,0.48,0.45,0.19,70.13
20010420,19.52,6.99,6.91,0.45,0.22,80.11
20010421,11.37,4.5,2.91,0.46,0.06,58.47
20010422,5.92,-0.17,50.23,0.51,0.0,13.55
20010423,8.42,-0.96,3.59,0.54,0.03,102.37
20010424,20.23,0.9,0.0,0.52,0.51,127.85
20010425,24.51,3.59,0.0,0.51,0.87,135.12
20010426,27.31,8.39,0.0,0.49,1.11,137.1
20010427,27.36,8.58,0.0,0.48,1.1,137.78
20010428,29.62,11.44,0.0,0.47,1.38,137.4
20010429,28.13,12.9,0.45,0.46,1.23,108.09
20010430,23.88,12.98,4.65,0.46,0.72,106.2
20010501,25.37,10.53,3.02,0.46,0.95,132.54
20010502,18.65,9.1,2.28,0.46,0.44,74.9
20010503,13.91,8.32,2.6,0.46,0.07,43.02
20010504,15.78,7.75,6.31,0.46,0.15,48.08
20010505,22.05,10.03,20.48,0.5,0.36,51.57
20010506,18.08,6.74,6.68,0.51,0.34,67.88
20010507,19.76,4.8,0.0,0.5,0.82,132.71
20010508,25.23,6.14,0.11,0.48,1.23,145.05
20010509,27.37,11.16,0.21,0.48,1.02,108.48
20010510,21.64,11.01,0.38,0.47,0.78,92.59
20010511,20.15,7.69,0.03,0.46,0.86,148.23
20010512,25.94,7.99,3.28,0.46,0.72,92.08
20010513,31.8,12.6,0.15,0.46,1.59,145.14
20010514,33.58,18.31,0.0,0.45,2.19,151.09
20010515,31.8,16.74,0.04,0.44,1.68,121.64
20010516,25.11,15.75,0.11,0.44,0.87,110.63
20010517,24.68,13.08,0.01,0.44,1.17,136.91
20010518,26.83,12.37,0.02,0.43,1.46,143.34
20010519,24.33,13.5,2.87,0.43,0.52,90.41
20010520,24.54,9.08,4.04,0.44,0.49,41.47
20010521,16.33,8.07,0.21,0.44,0.52,81.83
20010522,18.93,6.12,0.08,0.43,0.75,132.01
20010523,14.21,6.3,0.49,0.43,0.28,61.48
20010524,16.04,7.15,0.32,0.43,0.42,75.27
20010525,20.73,5.73,0.0,0.43,0.84,131.48
20010526,22.27,9.06,0.02,0.42,0.9,104.49
20010527,27.45,10.08,0.17,0.42,1.66,148.23
20010528,25.11,11.39,2.25,0.41,1.16,144.45
20010529,17.69,12.89,4.64,0.42,0.21,55.55
20010530,14.86,12.35,12.77,0.45,0.04,56.89
20010531,20.84,11.62,1.99,0.45,0.83,109.84
20010601,21.5,10.3,0.01,0.45,1.24,126.07
20010602,22.76,7.93,0.0,0.44,1.37,138.38
20010603,20.78,11.73,2.38,0.44,0.72,107.38
20010604,16.48,10.62,6.32,0.44,0.3,93.64
20010605,22.18,9.93,1.31,0.45,0.93,84.91
20010606,26.83,10.55,0.79,0.44,1.62,116.47
20010607,26.41,9.98,0.12,0.43,1.72,124.52
20010608,27.81,13.43,0.0,0.42,2.0,157.54
20010609,30.27,16.95,7.53,0.42,1.68,120.48
20010610,32.44,19.08,0.72,0.42,2.41,160.3
20010611,32.35,18.25,0.46,0.41,2.02,115.52
20010612,29.69,16.46,2.65,0.41,1.3,61.94
20010613,30.28,17.18,2.9,0.41,1.38,110.82
20010614,25.1,14.39,7.36,0.42,1.02,82.33
20010615,27.3,11.4,0.81,0.41,1.68,140.27
20010616,29.02,13.07,0.02,0.41,2.02,161.71
20010617,32.55,15.28,0.19,0.4,1.58,122.39
20010618,32.8,13.79,0.03,0.4,1.87,144.77
20010619,24.45,11.51,0.28,0.39,1.09,146.77
20010620,24.44,13.25,0.92,0.39,0.68,120.76
20010621,24.26,12.18,0.01,0.39,0.95,152.86
20010622,27.24,11.05,0.01,0.38,1.15,161.38
20010623,33.49,13.96,0.05,0.38,1.3,160.56
20010624,37.93,18.58,0.04,0.38,1.49,156.34
