,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20010101,14.21,-2.74,0.0,0.43,0.0,58.95
20010102,3.74,-2.34,0.43,0.43,0.0,24.48
20010103,13.09,-2.42,0.0,0.43,0.0,69.03
20010104,17.68,-0.99,0.0,0.43,0.0,68.21
20010105,15.23,2.15,0.11,0.43,0.0,72.7
20010106,22.38,5.51,0.53,0.43,0.01,53.85
20010107,12.59,1.55,0.01,0.43,0.01,55.16
20010108,13.37,0.23,0.01,0.43,0.0,67.49
20010109,11.78,0.69,1.85,0.43,0.0,48.21
20010110,10.76,1.02,4.91,0.44,0.01,29.91
20010111,16.22,1.4,0.0,0.44,0.01,74.71
20010112,15.8,2.4,0.02,0.44,0.01,40.67
20010113,12.76,1.11,0.1,0.44,0.01,75.73
20010114,15.16,-1.48,0.13,0.43,0.0,76.27
20010115,18.32,0.5,0.01,0.43,0.0,58.91
20010116,17.72,1.94,0.2,0.43,0.0,37.7
20010117,5.64,-2.45,1.53,0.43,0.01,13.52
20010118,2.15,-3.7,3.01,0.43,0.0,27.78
20010119,6.69,-5.68,0.0,0.43,0.0,77.16
20010120,12.83,-3.02,0.19,0.44,0.0,57.78
20010121,11.23,-2.81,0.0,0.44,0.0,79.52
20010122,11.93,-1.14,0.02,0.44,0.0,73.17
20010123,17.66,2.27,0.04,0.43,0.0,72.58
20010124,15.51,-0.79,0.0,0.43,0.0,71.94
20010125,19.12,3.36,0.0,0.43,0.0,70.07
20010126,18.92,2.27,0.01,0.43,0.0,78.99
20010127,19.04,6.02,2.72,0.43,0.01,11.7
20010128,10.46,-1.27,4.86,0.44,0.01,18.05
20010129,11.01,-1.08,0.05,0.44,0.01,81.32
20010130,11.94,0.36,0.04,0.44,0.01,57.48
20010131,11.04,-4.07,0.0,0.44,0.0,80.66
20010201,11.64,-2.13,0.0,0.44,0.0,83.22
20010202,14.13,-4.61,0.0,0.44,0.0,85.83
20010203,18.16,0.15,0.0,0.44,0.0,85.36
20010204,14.13,0.08,0.0,0.43,0.0,83.91
20010205,21.91,1.49,0.0,0.43,0.0,88.39
20010206,24.33,7.67,0.0,0.43,0.0,84.64
20010207,21.98,9.64,0.14,0.43,0.0,67.8
20010208,22.55,4.64,0.32,0.42,0.0,48.01
20010209,13.3,-0.46,0.0,0.42,0.0,92.96
20010210,16.01,-2.9,0.03,0.42,0.01,77.84
20010211,21.02,2.91,0.07,0.42,0.0,63.84
20010212,22.87,7.97,4.05,0.42,0.0,58.69
20010213,21.04,8.98,3.35,0.43,0.01,36.05
20010214,18.33,11.34,1.87,0.43,0.01,23.09
20010215,16.02,3.98,2.83,0.44,0.0,82.38
20010216,14.11,0.74,0.0,0.44,0.0,92.52
20010217,13.98,-0.89,0.08,0.44,0.0,80.84
20010218,21.64,1.91,0.0,0.43,0.01,82.14
20010219,25.76,8.28,0.0,0.43,0.0,83.37
20010220,25.87,9.29,0.0,0.43,0.0,94.52
20010221,23.8,7.62,0.03,0.43,0.0,91.47
20010222,23.94,5.98,1.79,0.42,0.01,40.18
20010223,22.95,10.23,0.71,0.43,0.0,66.09
20010224,13.65,4.87,0.2,0.42,0.0,101.54
20010225,20.51,4.4,0.0,0.42,0.0,90.73
20010226,22.75,6.44,0.17,0.42,0.0,67.02
20010227,20.53,7.94,0.81,0.42,0.01,57.16
20010228,14.22,1.69,2.44,0.42,0.01,31.73
20010301,18.28,1.89,0.54,0.42,0.0,62.66
20010302,11.59,5.51,5.46,0.43,0.0,34.31
20010303,17.25,3.4,0.08,0.43,0.0,93.78
20010304,17.17,2.83,0.24,0.43,0.01,111.34
20010305,21.8,2.71,0.0,0.43,0.0,103.45
20010306,24.02,8.96,0.02,0.43,0.01,86.77
20010307,24.85,7.83,0.53,0.42,0.01,107.09
20010308,16.38,6.4,0.72,0.42,0.01,75.83
20010309,19.23,4.77,0.28,0.42,0.01,91.26
20010310,23.11,5.59,0.0,0.42,0.01,106.1
20010311,18.51,5.81,0.21,0.42,0.0,107.6
20010312,19.03,3.65,0.83,0.42,0.0,117.19
20010313,21.13,6.9,0.25,0.41,0.0,91.48
20010314,21.69,7.01,0.29,0.41,0.01,111.98
20010315,17.37,2.58,0.02,0.41,0.0,122.74
20010316,17.55,-1.02,0.12,0.41,0.0,115.96
20010317,19.37,5.4,0.77,0.41,0.01,90.77
20010318,16.41,4.23,0.5,0.41,0.0,75.89
20010319,17.08,1.65,0.04,0.41,0.0,115.93
20010320,24.71,4.08,0.0,0.41,0.0,123.65
20010321,29.31,8.07,0.0,0.41,0.0,123.83
20010322,29.16,11.9,0.0,0.4,0.0,123.56
20010323,27.9,9.4,0.0,0.4,0.0,124.62
20010324,17.31,5.12,0.1,0.4,0.01,42.8
20010325,21.76,4.19,0.01,0.4,0.01,82.05
20010326,24.04,5.9,0.32,0.4,0.01,33.04
20010327,23.28,8.04,0.79,0.39,0.01,45.36
20010328,23.28,6.7,0.13,0.39,0.0,82.13
20010329,25.18,7.94,0.2,0.39,0.0,119.67
20010330,24.68,7.19,0.07,0.39,0.0,123.7
20010331,23.29,9.38,0.0,0.38,0.0,133.22
20010401,30.67,9.51,0.0,0.38,0.0,124.71
20010402,29.28,13.33,0.01,0.38,0.0,118.73
20010403,31.69,15.12,0.03,0.38,0.0,126.27
20010404,31.99,12.32,0.0,0.38,0.0,107.06
20010405,33.83,13.57,0.0,0.38,0.0,96.58
20010406,28.65,9.33,0.03,0.37,0.0,84.99
20010407,27.95,6.45,0.0,0.37,0.0,139.16
20010408,31.01,10.58,0.0,0.37,0.0,139.44
20010409,31.95,10.75,0.0,0.37,0.0,96.23
20010410,27.8,9.91,0.13,0.37,0.0,54.73
20010411,21.52,4.77,0.0,0.36,0.0,140.18
20010412,25.97,10.16,0.0,0.36,0.0,136.28
20010413,24.43,12.25,0.0,0.36,0.0,96.24
20010414,31.48,14.69,0.31,0.36,0.0,98.26
20010415,29.87,10.54,0.0,0.36,0.0,143.84
20010416,33.37,10.45,0.53,0.36,0.0,131.66
20010417,17.94,6.89,0.75,0.36,0.0,38.84
20010418,27.84,6.54,0.09,0.36,0.0,128.24
20010419,32.61,14.76,0.0,0.36,0.0,122.54
20010420,33.41,16.98,0.05,0.35,0.0,104.75
20010421,33.8,17.14,0.03,0.35,0.0,90.56
20010422,24.58,11.3,0.0,0.35,0.0,148.43
20010423,24.12,8.05,1.36,0.35,0.0,150.12
20010424,25.17,7.76,0.02,0.35,0.0,149.08
20010425,26.09,9.7,0.0,0.35,0.0,145.98
20010426,28.04,11.11,0.0,0.35,0.0,108.46
20010427,29.09,12.44,0.2,0.35,0.0,145.68
20010428,29.53,12.49,1.37,0.35,0.0,146.41
20010429,30.64,13.01,5.11,0.36,0.0,127.84
20010430,31.78,15.92,1.6,0.36,0.0,136.13
20010501,34.4,15.46,0.13,0.36,0.0,148.62
20010502,30.99,17.82,0.03,0.36,0.0,99.39
20010503,32.0,15.56,0.58,0.35,0.0,117.08
20010504,24.79,15.39,2.04,0.36,0.0,104.5
20010505,26.37,9.8,0.0,0.36,0.0,153.99
20010506,30.2,11.9,0.93,0.36,0.0,154.07
20010507,31.15,13.62,0.1,0.35,0.0,146.68
20010508,30.08,14.94,1.31,0.35,0.0,128.21
20010509,32.12,14.81,0.2,0.35,0.0,147.05
20010510,34.09,16.73,0.34,0.35,0.0,137.01
20010511,34.5,18.67,4.69,0.35,0.0,139.05
20010512,28.76,15.76,2.98,0.36,0.0,100.85
20010513,27.95,14.76,0.66,0.36,0.0,139.74
20010514,29.94,16.26,0.04,0.36,0.0,123.16
20010515,33.76,17.56,0.0,0.36,0.0,153.9
20010516,35.83,18.06,0.0,0.35,0.0,152.57
20010517,37.37,18.44,0.0,0.35,0.0,155.44
20010518,37.19,20.4,0.0,0.35,0.0,144.98
20010519,32.05,19.11,0.43,0.35,0.0,115.27
20010520,32.47,17.51,0.29,0.35,0.0,152.93
20010521,23.28,10.67,0.02,0.35,0.0,131.41
20010522,30.37,10.12,0.0,0.35,0.0,158.16
20010523,35.85,15.11,0.0,0.35,0.0,158.8
20010524,35.49,17.47,0.0,0.34,0.0,157.74
20010525,36.43,16.71,0.36,0.34,0.0,152.1
20010526,38.82,18.88,0.07,0.34,0.0,150.96
20010527,39.98,21.39,0.04,0.34,0.0,151.68
20010528,40.14,22.6,0.57,0.34,0.0,137.77
20010529,38.37,21.01,0.65,0.34,0.0,132.12
20010530,38.4,19.2,0.02,0.34,0.0,156.91
20010531,36.34,18.98,0.66,0.34,0.0,153.7
20010601,40.14,21.59,0.07,0.34,0.0,138.94
20010602,40.72,21.4,0.0,0.34,0.0,158.27
20010603,38.19,21.87,0.0,0.34,0.0,151.0
20010604,38.69,21.49,0.31,0.34,0.0,150.05
20010605,38.51,19.85,0.04,0.34,0.0,159.27
20010606,39.12,19.57,0.29,0.34,0.0,159.0
20010607,31.01,23.32,0.64,0.34,0.0,146.12
20010608,33.23,19.48,0.15,0.34,0.0,141.73
20010609,33.32,19.57,0.28,0.34,0.0,150.51
20010610,39.35,21.98,0.03,0.34,0.0,158.97
20010611,41.44,23.61,0.1,0.34,0.0,155.12
20010612,39.4,24.98,0.61,0.34,0.0,128.06
20010613,38.05,23.43,0.0,0.34,0.0,158.48
20010614,36.32,21.44,0.11,0.34,0.0,162.85
20010615,36.05,18.23,1.07,0.34,0.0,159.64
20010616,35.1,19.91,0.03,0.34,0.0,161.33
20010617,34.23,18.83,0.88,0.34,0.0,133.11
20010618,36.01,19.89,1.69,0.35,0.0,149.68
20010619,36.8,21.35,0.63,0.35,0.0,158.28
20010620,35.73,20.21,0.22,0.35,0.0,161.25
20010621,35.78,20.66,0.03,0.34,0.0,158.34
20010622,36.43,20.16,0.97,0.34,0.0,161.3
20010623,37.69,22.13,0.62,0.34,0.0,136.27
20010624,37.83,23.02,1.36,0.34,0.0,156.89
20010625,36.29,22.4,1.09,0.35,0.0,136.48
20010626,35.29,20.09,0.72,0.35,0.0,148.88
20010627,35.81,21.43,1.19,0.35,0.0,161.07
20010628,36.73,21.22,0.28,0.35,0.0,148.41
20010629,37.36,22.82,0.16,0.34,0.0,148.72
20010630,37.65,23.29,0.48,0.34,0.0,147.32
20010701,37.44,23.62,0.21,0.34,0.0,137.98
20010702,32.1,20.48,0.97,0.34,0.0,137.84
20010703,32.51,18.0,0.0,0.34,0.0,160.82
20010704,33.71,18.61,0.04,0.34,0.0,162.12
20010705,35.07,20.28,0.16,0.34,0.0,152.45
