,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20020101,2.01,-3.82,0.87,0.38,0.0,15.62
20020102,1.96,-5.62,0.22,0.38,0.0,28.39
20020103,10.17,-5.72,0.0,0.38,0.0,65.1
20020104,8.4,-1.37,0.62,0.38,0.0,39.28
20020105,9.15,-2.81,0.52,0.38,0.0,65.45
20020106,11.19,-4.01,0.0,0.38,0.01,65.59
20020107,15.39,-2.95,0.0,0.38,0.02,66.53
20020108,20.66,0.36,0.0,0.38,0.04,67.17
20020109,23.09,4.08,0.0,0.38,0.05,55.8
20020110,10.23,0.55,0.01,0.38,0.0,35.5
20020111,13.26,-2.46,0.0,0.38,0.02,68.01
20020112,11.89,-2.26,0.0,0.38,0.01,68.9
20020113,15.8,0.55,0.0,0.38,0.02,68.37
20020114,11.79,-3.88,0.0,0.38,0.01,69.12
20020115,15.38,-3.58,0.0,0.38,0.01,56.57
20020116,11.49,-1.6,0.0,0.38,0.01,64.4
20020117,16.69,-3.8,0.07,0.38,0.02,68.56
20020118,13.12,-1.83,0.25,0.37,0.0,51.67
20020119,8.65,-5.7,0.0,0.37,0.0,70.26
20020120,12.14,-2.94,0.0,0.37,0.01,72.19
20020121,15.94,-3.25,0.0,0.37,0.01,73.32
20020122,19.4,0.6,0.0,0.37,0.02,74.0
20020123,17.05,-0.6,0.23,0.37,0.01,52.84
20020124,7.28,-2.38,0.84,0.37,0.0,69.25
20020125,13.48,-3.98,0.0,0.37,0.01,75.82
20020126,16.51,-3.2,0.0,0.37,0.01,75.23
20020127,18.06,-1.79,0.0,0.37,0.01,54.7
20020128,21.65,0.94,0.22,0.37,0.02,64.41
20020129,18.0,5.37,4.05,0.37,0.01,22.91
20020130,6.65,-2.38,15.03,0.39,0.0,16.35
20020131,4.3,-6.57,0.7,0.4,0.0,80.66
20020201,6.85,-6.56,0.02,0.4,0.0,77.83
