,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20080101,-8.54,-20.02,0.01,0.5,0.0,32.95
20080102,1.12,-17.52,0.59,0.5,0.0,18.74
20080103,1.2,-7.22,0.91,0.5,0.0,29.53
20080104,2.68,-3.73,0.14,0.5,0.01,33.05
20080105,1.23,-7.34,1.49,0.5,0.01,25.77
20080106,-2.5,-12.08,0.09,0.5,0.0,31.46
20080107,-5.1,-16.08,0.37,0.5,0.0,33.87
20080108,-4.97,-16.28,0.11,0.5,0.0,32.02
20080109,-2.86,-13.06,0.48,0.5,0.0,24.15
20080110,-1.96,-15.67,0.73,0.5,0.0,21.35
20080111,-0.63,-6.51,2.65,0.5,0.0,24.31
20080112,-1.96,-9.92,0.13,0.5,0.0,36.52
20080113,-2.52,-8.52,0.54,0.5,0.0,37.02
20080114,-0.27,-9.06,0.4,0.5,0.0,36.36
20080115,-3.67,-16.74,1.14,0.5,0.0,19.12
20080116,-12.66,-20.54,0.38,0.5,0.0,41.01
20080117,-6.51,-12.52,1.73,0.5,0.0,19.57
20080118,-8.78,-13.86,2.06,0.5,0.0,26.99
20080119,-2.74,-10.5,5.04,0.5,0.0,16.66
20080120,-10.24,-23.13,6.98,0.5,0.0,31.79
20080121,-17.74,-26.37,1.08,0.5,0.0,40.52
20080122,-10.49,-23.15,1.15,0.5,0.0,28.73
20080123,-6.52,-16.42,0.34,0.5,0.0,47.95
20080124,-3.46,-15.6,0.68,0.5,0.0,46.44
20080125,-3.22,-10.02,0.68,0.5,0.0,46.87
20080126,1.19,-7.94,0.41,0.5,0.0,46.34
20080127,1.55,-4.16,0.49,0.5,0.0,41.07
20080128,-4.3,-23.79,2.62,0.5,0.0,17.48
20080129,-7.44,-20.7,0.72,0.5,0.0,36.0
20080130,-7.25,-14.1,0.63,0.5,0.0,39.49
20080131,-4.95,-13.63,0.84,0.5,0.0,37.41
20080201,-4.67,-11.45,1.51,0.5,0.0,41.68
20080202,-5.1,-15.5,0.31,0.5,0.0,47.34
20080203,-5.41,-13.21,1.38,0.5,0.0,45.95
20080204,-8.48,-16.57,0.53,0.5,0.0,47.67
20080205,-5.45,-16.04,0.59,0.5,0.0,53.7
20080206,-5.64,-10.58,0.28,0.5,0.0,46.11
20080207,-1.37,-10.16,1.4,0.5,0.0,42.94
20080208,-2.44,-9.09,0.43,0.5,0.0,46.73
20080209,-1.13,-8.06,2.12,0.5,0.0,38.01
