,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20170101,21.28,5.98,1.79,0.45,0.21,69.8
20170102,19.98,7.97,10.03,0.46,0.21,71.28
20170103,12.43,-0.37,0.0,0.46,0.09,65.43
20170104,7.74,-1.63,0.0,0.46,0.02,51.22
20170105,4.41,-6.26,0.0,0.46,0.0,55.87
20170106,-3.44,-7.05,0.01,0.46,0.0,39.11
20170107,3.74,-7.01,0.0,0.45,0.0,72.12
20170108,9.32,-4.1,0.0,0.45,0.01,72.36
20170109,19.4,-1.06,0.0,0.45,0.13,70.82
20170110,22.8,7.5,0.0,0.45,0.23,66.18
20170111,24.26,8.46,0.0,0.45,0.26,71.44
20170112,22.81,9.62,0.03,0.45,0.25,32.64
20170113,13.7,4.03,1.04,0.45,0.03,32.94
20170114,6.94,3.25,4.4,0.45,0.0,19.74
20170115,16.6,6.87,21.45,0.48,0.01,18.69
20170116,17.04,4.15,0.03,0.5,0.15,75.09
20170117,8.59,3.88,9.51,0.5,0.0,24.01
20170118,12.69,3.51,1.34,0.51,0.06,30.14
20170119,20.38,4.24,0.03,0.5,0.28,77.15
20170120,21.48,6.18,0.0,0.49,0.31,72.16
20170121,19.98,6.66,0.06,0.48,0.17,49.7
20170122,16.41,5.05,0.0,0.48,0.17,74.55
20170123,21.25,3.26,0.0,0.48,0.26,79.62
20170124,25.16,8.55,0.0,0.47,0.39,67.03
20170125,12.83,0.71,0.0,0.47,0.1,53.8
20170126,11.65,-2.09,0.0,0.46,0.09,80.03
20170127,10.69,-2.45,0.19,0.46,0.07,47.27
20170128,12.35,-1.7,0.0,0.46,0.09,80.99
20170129,17.8,0.58,0.0,0.46,0.19,84.9
20170130,21.75,3.44,0.0,0.45,0.3,85.56
20170131,22.81,3.95,0.0,0.45,0.31,82.87
20170201,21.07,4.64,0.0,0.45,0.27,87.11
20170202,10.38,-0.36,0.0,0.45,0.05,86.94
20170203,8.75,-1.61,0.0,0.45,0.02,38.88
20170204,14.83,4.44,0.0,0.45,0.03,30.91
20170205,22.95,8.56,0.0,0.45,0.23,72.52
20170206,25.77,12.87,0.0,0.45,0.32,73.64
20170207,25.73,10.08,0.0,0.45,0.45,78.59
20170208,21.93,4.44,0.0,0.44,0.33,86.95
20170209,18.19,0.67,0.0,0.44,0.19,91.1
20170210,25.2,6.94,0.0,0.44,0.33,91.74
20170211,29.57,11.86,0.0,0.44,0.47,92.66
20170212,18.92,8.42,0.0,0.43,0.22,91.95
