,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20090101,3.35,-8.35,0.01,0.53,0.0,36.19
20090102,-2.45,-13.93,0.0,0.53,0.0,37.54
20090103,-5.27,-16.92,0.76,0.53,0.0,26.65
20090104,-2.27,-18.95,0.0,0.53,0.0,37.12
20090105,0.9,-13.92,0.04,0.53,0.0,41.49
20090106,2.58,-10.03,0.02,0.53,0.0,37.72
20090107,-4.6,-12.62,0.13,0.53,0.0,34.66
20090108,1.41,-11.73,0.03,0.53,0.0,38.43
20090109,-4.38,-13.43,0.11,0.53,0.0,17.55
20090110,-0.52,-14.01,0.02,0.53,0.0,26.69
20090111,2.33,-6.12,1.0,0.53,0.0,35.2
20090112,0.59,-13.72,0.56,0.53,0.0,24.95
20090113,-0.03,-13.17,0.39,0.53,0.0,19.97
20090114,-14.61,-22.07,0.01,0.53,0.0,33.93
20090115,-12.32,-23.56,0.08,0.53,0.0,40.16
20090116,2.25,-15.07,0.01,0.53,0.0,41.34
20090117,3.5,-2.8,0.0,0.53,0.0,40.45
20090118,4.26,-1.77,0.05,0.53,0.0,37.22
20090119,3.08,-3.67,0.0,0.53,0.0,47.19
20090120,7.94,-5.64,0.01,0.53,0.0,48.52
20090121,8.47,-3.48,0.0,0.53,0.0,49.17
20090122,9.72,-4.61,0.0,0.53,0.0,47.84
20090123,-5.29,-16.83,0.01,0.53,0.0,38.55
20090124,-11.36,-19.15,0.12,0.53,0.0,37.6
20090125,-12.82,-15.1,0.43,0.53,0.0,38.65
20090126,-11.92,-14.45,1.21,0.53,0.0,26.41
20090127,-5.32,-16.06,0.0,0.53,0.0,50.62
20090128,2.77,-10.71,0.85,0.53,0.0,49.19
20090129,-0.37,-7.28,0.65,0.53,0.0,43.61
20090130,6.5,-3.96,0.99,0.53,0.0,47.73
20090131,11.61,-3.02,0.0,0.53,0.0,48.83
20090201,2.82,-6.15,0.09,0.53,0.0,46.8
20090202,-1.27,-14.57,0.04,0.53,0.0,56.79
20090203,-7.45,-14.55,0.04,0.53,0.0,35.27
20090204,6.58,-13.51,0.0,0.53,0.0,52.35
20090205,11.48,-3.93,0.0,0.53,0.0,57.82
20090206,8.75,0.82,0.0,0.53,0.0,41.24
20090207,5.12,-4.37,0.01,0.53,0.0,45.86
20090208,10.66,-3.77,0.23,0.53,0.0,46.48
20090209,11.03,0.71,14.48,0.54,0.0,15.6
20090210,7.78,-2.42,2.15,0.55,0.0,53.48
20090211,5.8,-4.1,0.0,0.55,0.0,63.1
20090212,4.89,-5.31,0.0,0.55,0.0,63.59
20090213,-0.56,-6.02,0.0,0.55,0.0,38.95
20090214,0.8,-5.63,0.06,0.55,0.0,47.1
20090215,3.86,-4.56,0.03,0.54,0.0,44.76
20090216,8.76,-6.24,0.0,0.54,0.0,55.95
20090217,3.96,-4.3,0.01,0.54,0.0,44.3
20090218,-2.84,-10.21,0.04,0.54,0.0,59.01
20090219,2.94,-11.78,0.0,0.54,0.0,69.78
20090220,3.23,-9.86,0.08,0.54,0.0,32.35
20090221,-1.77,-11.36,0.0,0.53,0.0,75.2
20090222,-1.44,-12.01,0.0,0.53,0.0,74.84
20090223,6.89,-11.81,0.0,0.53,0.0,43.21
20090224,12.15,-4.58,0.0,0.53,0.01,77.27
20090225,6.32,-3.25,0.94,0.53,0.0,41.3
20090226,-3.33,-15.45,3.08,0.53,0.0,35.98
20090227,-15.82,-17.86,2.32,0.53,0.0,16.81
20090228,-3.02,-18.14,0.01,0.53,0.0,76.7
20090301,-6.46,-16.77,0.14,0.53,0.0,27.99
20090302,3.46,-12.69,0.0,0.53,0.0,62.79
20090303,13.03,-4.3,0.0,0.53,0.01,65.59
20090304,12.53,-2.2,0.01,0.54,0.01,75.17
20090305,15.73,-1.52,0.01,0.54,0.04,84.02
20090306,6.53,-5.52,0.0,0.54,0.0,64.62
20090307,3.09,-6.74,0.01,0.53,0.0,51.91
20090308,13.45,-3.9,0.07,0.53,0.02,85.41
20090309,-1.24,-9.89,0.33,0.53,0.0,22.29
20090310,-9.87,-16.63,0.55,0.53,0.0,43.92
20090311,-7.43,-18.9,0.0,0.53,0.0,74.8
20090312,2.02,-15.95,0.0,0.53,0.0,60.55
20090313,7.76,-9.57,0.0,0.53,0.01,95.8
20090314,16.43,-2.24,0.0,0.53,0.03,97.81
20090315,19.04,-1.65,0.0,0.53,0.06,95.48
20090316,21.01,0.04,0.0,0.52,0.09,98.95
20090317,13.44,0.43,0.01,0.52,0.04,81.18
20090318,13.36,-2.28,0.04,0.52,0.05,82.33
20090319,14.65,-3.63,0.0,0.52,0.04,71.34
20090320,18.6,3.12,0.0,0.52,0.07,95.84
20090321,20.54,1.0,0.0,0.52,0.1,100.64
20090322,19.51,7.94,1.55,0.52,0.03,56.66
20090323,18.23,5.78,9.87,0.52,0.03,46.29
20090324,4.84,-4.16,5.46,0.54,0.0,49.07
20090325,7.48,-4.57,0.01,0.54,0.01,102.1
20090326,-0.69,-6.17,0.02,0.54,0.0,72.16
20090327,2.77,-7.01,0.0,0.54,0.0,107.12
20090328,9.01,-5.8,0.0,0.54,0.02,103.36
20090329,10.69,-2.61,0.01,0.54,0.01,77.71
20090330,7.68,-2.29,6.92,0.54,0.0,19.3
20090331,1.13,-4.99,3.07,0.54,0.0,49.97
20090401,6.37,-6.86,0.0,0.54,0.01,90.55
20090402,9.98,-4.44,0.09,0.55,0.06,82.98
20090403,7.67,-3.68,0.49,0.55,0.0,73.38
20090404,0.96,-2.69,12.8,0.55,0.0,54.07
20090405,2.87,-7.65,0.4,0.55,0.0,53.73
20090406,3.84,-8.02,0.01,0.55,0.0,98.1
20090407,14.87,-6.45,0.0,0.55,0.08,109.09
20090408,14.59,-1.73,0.0,0.55,0.17,110.37
20090409,10.48,-1.26,0.09,0.55,0.05,94.85
20090410,6.85,-3.71,0.0,0.55,0.0,94.93
20090411,17.44,-2.49,0.54,0.54,0.16,95.43
20090412,11.39,4.2,2.4,0.54,0.01,51.79
20090413,18.8,1.66,0.08,0.54,0.31,120.73
20090414,21.83,2.37,0.01,0.54,0.33,126.95
20090415,19.22,7.18,6.8,0.54,0.16,74.23
20090416,17.98,9.23,3.97,0.55,0.09,64.73
20090417,15.52,6.6,0.67,0.55,0.08,75.93
20090418,11.95,4.87,5.58,0.55,0.04,31.48
20090419,18.84,4.41,0.02,0.55,0.35,121.2
20090420,15.25,2.33,0.0,0.55,0.23,125.48
20090421,22.06,3.26,0.0,0.54,0.47,131.55
20090422,29.44,5.99,0.0,0.54,0.72,132.35
20090423,31.55,7.9,0.01,0.53,0.85,135.7
20090424,8.84,0.43,2.37,0.52,0.01,90.84
20090425,12.76,0.23,1.66,0.53,0.14,102.23
20090426,9.79,1.87,9.39,0.54,0.02,35.8
20090427,10.76,1.17,0.02,0.55,0.13,67.84
20090428,16.24,-1.0,0.03,0.54,0.23,90.23
20090429,24.63,7.83,2.56,0.54,0.54,87.27
20090430,14.51,3.94,0.02,0.54,0.21,136.24
20090501,14.99,2.69,0.03,0.53,0.26,126.23
20090502,18.18,0.51,0.0,0.53,0.41,132.59
20090503,19.04,2.62,0.0,0.52,0.35,108.62
20090504,19.58,6.28,1.77,0.52,0.19,87.72
20090505,21.4,6.0,0.0,0.52,0.45,122.63
20090506,22.4,6.28,1.37,0.52,0.53,133.88
20090507,22.29,7.64,1.36,0.52,0.57,141.35
20090508,12.47,3.77,5.77,0.52,0.05,74.41
20090509,16.55,1.84,0.27,0.53,0.29,125.23
20090510,17.48,0.55,0.0,0.52,0.48,120.47
20090511,22.92,4.38,1.11,0.52,0.55,129.58
20090512,28.23,11.26,1.18,0.52,0.74,108.72
20090513,18.01,5.87,0.03,0.52,0.31,135.97
20090514,21.11,1.8,0.0,0.51,0.31,126.8
20090515,18.01,4.23,0.0,0.51,0.25,126.89
