,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20100101,-4.94,-17.16,1.02,0.39,0.0,23.12
20100102,1.8,-14.47,0.55,0.39,0.0,35.65
20100103,-5.83,-15.15,0.03,0.39,0.0,27.7
20100104,-8.09,-11.8,0.66,0.39,0.0,25.0
20100105,-10.27,-15.38,2.83,0.39,0.0,22.52
20100106,-15.7,-20.38,0.06,0.39,0.0,30.9
20100107,-14.15,-24.6,0.28,0.39,0.0,29.76
20100108,-4.13,-19.3,0.01,0.39,0.0,23.27
20100109,0.59,-9.26,1.91,0.39,0.0,24.12
20100110,1.53,-3.99,0.1,0.4,0.0,32.78
20100111,3.09,-6.06,0.11,0.4,0.0,23.07
20100112,4.75,-0.11,0.02,0.4,0.0,29.15
20100113,4.65,-1.68,0.01,0.41,0.0,30.56
20100114,5.07,-1.84,0.09,0.41,0.0,30.12
20100115,5.83,-2.05,0.01,0.41,0.0,26.69
20100116,4.3,-2.18,0.47,0.41,0.0,27.05
20100117,5.34,-4.49,0.02,0.41,0.0,31.84
20100118,4.74,-2.08,0.12,0.41,0.0,28.99
20100119,5.83,-2.7,0.0,0.41,0.0,31.19
20100120,4.78,-3.17,0.03,0.41,0.0,35.18
20100121,2.19,-4.99,0.08,0.41,0.0,32.28
20100122,-2.95,-6.37,1.49,0.41,0.0,19.17
20100123,-4.16,-7.13,3.58,0.41,0.01,18.51
20100124,-6.92,-12.6,0.42,0.41,0.01,33.38
20100125,-8.3,-16.44,0.12,0.4,0.0,42.56
20100126,-9.49,-16.71,0.06,0.4,0.0,33.95
20100127,-7.73,-16.95,0.0,0.4,0.0,42.87
20100128,-4.53,-17.74,0.12,0.4,0.0,28.76
20100129,-3.06,-11.52,0.1,0.4,0.0,34.77
20100130,-4.85,-12.58,0.03,0.4,0.0,32.62
20100131,-9.44,-12.79,0.5,0.4,0.0,23.57
20100201,-3.13,-13.34,0.29,0.4,0.0,41.1
20100202,0.5,-10.72,0.07,0.4,0.0,31.47
20100203,2.01,-8.5,0.1,0.4,0.0,44.07
20100204,-1.18,-8.86,0.06,0.4,0.0,40.76
20100205,-0.7,-9.27,0.12,0.4,0.0,33.8
20100206,-2.01,-9.7,0.16,0.4,0.0,30.77
20100207,-3.69,-18.58,0.11,0.4,0.0,33.09
20100208,-8.99,-21.02,0.01,0.4,0.0,54.05
20100209,-2.35,-18.04,0.01,0.4,0.0,53.41
20100210,1.08,-11.84,0.05,0.4,0.0,44.27
20100211,2.53,-9.2,0.03,0.4,0.0,42.43
20100212,1.8,-6.95,2.4,0.4,0.0,44.12
20100213,-4.86,-16.62,1.48,0.41,0.0,53.52
20100214,-2.49,-17.84,0.01,0.4,0.0,58.78
20100215,0.34,-15.56,0.39,0.4,0.0,48.8
20100216,5.58,-7.57,1.51,0.41,0.0,48.72
20100217,0.9,-10.08,2.57,0.41,0.0,58.73
20100218,1.18,-11.85,0.19,0.41,0.0,34.05
20100219,-3.42,-8.85,0.29,0.41,0.0,45.93
20100220,-4.33,-9.14,0.24,0.41,0.0,47.92
20100221,-2.3,-11.65,0.24,0.41,0.0,68.27
20100222,-0.19,-10.86,0.04,0.41,0.0,73.54
20100223,4.26,-10.25,0.02,0.41,0.0,67.92
20100224,5.78,-6.93,0.26,0.41,0.0,48.74
20100225,8.33,-3.91,0.03,0.41,0.0,71.09
20100226,8.45,-3.14,0.01,0.41,0.0,69.83
20100227,5.94,-2.66,0.03,0.41,0.0,59.75
20100228,7.63,-2.03,0.05,0.41,0.0,65.4
20100301,10.74,-2.62,0.0,0.41,0.01,61.66
20100302,13.44,-3.68,0.0,0.41,0.01,65.91
20100303,13.9,-2.72,0.0,0.41,0.01,58.41
20100304,12.82,-2.22,0.04,0.41,0.02,64.92
20100305,10.9,-2.14,0.02,0.41,0.01,57.02
20100306,12.83,-1.94,0.0,0.41,0.02,63.84
20100307,14.23,-2.47,0.0,0.4,0.02,61.34
20100308,14.13,-2.1,0.0,0.4,0.02,75.36
20100309,7.44,-3.32,0.04,0.4,0.01,62.62
20100310,6.05,-3.51,0.03,0.4,0.0,75.74
20100311,8.72,-4.98,0.0,0.4,0.01,81.62
20100312,15.59,-1.49,0.06,0.4,0.03,77.73
20100313,14.2,0.02,0.07,0.4,0.02,74.34
20100314,8.73,-3.91,0.0,0.4,0.01,86.14
20100315,14.53,-4.05,0.0,0.4,0.02,83.55
20100316,19.17,0.38,0.07,0.39,0.04,79.88
20100317,15.08,3.58,0.04,0.39,0.03,87.59
20100318,7.08,-3.21,0.54,0.39,0.0,86.26
20100319,1.56,-4.99,0.2,0.39,0.0,66.62
20100320,12.89,-4.92,0.0,0.39,0.02,88.37
20100321,17.88,0.33,0.3,0.39,0.04,80.04
20100322,8.12,0.62,3.97,0.39,0.0,69.51
20100323,8.99,-1.59,2.57,0.4,0.01,71.05
20100324,12.17,-4.41,0.15,0.41,0.03,93.29
20100325,11.38,-6.56,0.04,0.4,0.02,83.95
20100326,11.62,1.54,0.83,0.4,0.01,65.77
20100327,15.41,-1.09,0.02,0.4,0.04,97.41
20100328,17.98,-0.13,0.03,0.4,0.05,73.05
20100329,18.53,4.65,0.69,0.4,0.05,78.23
20100330,13.49,3.97,0.04,0.4,0.03,80.3
20100331,12.5,-0.23,0.0,0.4,0.03,105.41
20100401,11.38,-2.45,0.0,0.39,0.03,97.73
20100402,10.55,-2.65,0.0,0.39,0.03,103.99
20100403,10.91,0.59,0.1,0.39,0.01,94.13
20100404,10.94,-2.91,0.0,0.39,0.02,102.59
20100405,13.01,-1.7,0.02,0.39,0.04,104.78
20100406,13.27,-2.5,0.03,0.39,0.03,82.62
20100407,13.69,-0.51,0.03,0.38,0.04,113.34
20100408,18.91,0.95,0.62,0.38,0.04,72.76
20100409,8.4,-1.8,0.04,0.38,0.01,94.32
20100410,10.05,-3.91,0.0,0.38,0.02,118.66
20100411,8.57,-3.7,0.05,0.38,0.0,69.51
20100412,10.04,-0.56,1.91,0.38,0.01,33.84
20100413,8.8,0.88,8.61,0.4,0.0,24.48
20100414,5.55,0.7,4.19,0.41,0.0,54.62
20100415,12.69,-1.01,0.26,0.41,0.07,96.18
20100416,17.46,-1.72,0.09,0.41,0.12,119.89
20100417,19.81,1.8,0.03,0.41,0.14,100.33
20100418,19.73,6.94,0.21,0.4,0.14,111.28
20100419,20.91,6.23,0.12,0.4,0.21,115.27
20100420,20.55,5.69,0.0,0.4,0.17,120.02
20100421,21.29,6.12,0.0,0.39,0.18,125.25
20100422,22.42,4.98,0.08,0.39,0.22,115.72
20100423,13.37,3.68,2.27,0.39,0.04,68.56
20100424,17.73,2.26,0.3,0.39,0.09,97.87
20100425,6.97,-0.86,0.73,0.39,0.0,67.08
20100426,11.83,-3.86,0.01,0.39,0.07,120.56
20100427,19.94,-0.2,0.02,0.39,0.09,86.73
20100428,12.83,2.54,9.17,0.39,0.04,68.4
20100429,12.01,2.62,9.82,0.41,0.04,43.41
20100430,8.83,1.62,9.9,0.43,0.01,46.17
20100501,8.59,2.7,3.04,0.44,0.01,72.41
20100502,11.52,1.67,2.15,0.44,0.05,86.32
20100503,18.26,3.15,1.88,0.43,0.24,102.44
20100504,6.76,1.23,8.33,0.44,0.0,46.46
20100505,3.49,-2.88,3.53,0.44,0.0,49.76
20100506,5.61,-4.02,1.82,0.44,0.0,64.52
20100507,6.46,-2.04,2.07,0.44,0.01,95.61
20100508,12.71,-3.35,0.14,0.44,0.15,127.52
20100509,13.26,0.66,1.93,0.43,0.15,93.95
20100510,14.51,-0.37,0.07,0.43,0.26,132.45
20100511,14.49,-0.56,0.02,0.42,0.23,96.36
20100512,15.72,2.15,0.01,0.42,0.3,110.18
20100513,19.13,2.51,0.0,0.41,0.48,140.4
20100514,22.94,5.15,0.0,0.41,0.58,123.52
20100515,25.19,7.91,0.04,0.41,0.61,120.72
20100516,25.76,11.64,0.0,0.4,0.75,134.01
20100517,28.29,9.87,0.0,0.39,0.64,134.58
20100518,29.72,11.84,2.95,0.39,0.53,138.98
20100519,24.52,13.39,4.84,0.4,0.42,133.02
20100520,19.97,7.15,1.14,0.4,0.22,75.35
20100521,18.34,2.99,0.27,0.4,0.27,144.62
20100522,10.72,3.4,12.09,0.41,0.01,46.37
20100523,16.64,1.46,0.43,0.41,0.29,124.95
20100524,13.69,4.17,13.55,0.42,0.09,36.67
20100525,13.65,3.37,11.93,0.46,0.12,96.18
20100526,20.08,3.59,0.91,0.45,0.67,134.41
20100527,15.37,8.14,7.07,0.45,0.09,41.76
20100528,19.37,6.23,15.28,0.46,0.3,43.63
20100529,12.94,2.69,3.0,0.48,0.21,89.18
20100530,14.69,1.38,2.35,0.47,0.18,125.02
20100531,14.53,3.62,0.57,0.46,0.27,108.51
20100601,15.74,4.65,0.35,0.45,0.38,96.47
