,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20040101,1.37,-11.2,0.04,0.42,0.0,26.6
20040102,-3.63,-14.85,0.14,0.42,0.0,23.86
20040103,-13.7,-19.17,0.18,0.42,0.0,30.21
20040104,-17.33,-22.5,0.28,0.42,0.0,32.18
20040105,-15.33,-25.6,0.01,0.42,0.0,30.77
20040106,-8.31,-17.29,0.0,0.42,0.0,31.3
20040107,-5.52,-17.16,0.04,0.42,0.0,30.76
20040108,-4.21,-10.06,1.08,0.42,0.0,31.66
20040109,1.01,-9.33,0.07,0.42,0.0,31.88
20040110,4.24,-9.14,0.04,0.42,0.0,34.19
20040111,2.33,-4.07,0.0,0.43,0.0,24.23
20040112,4.37,-4.88,0.01,0.43,0.0,34.65
20040113,3.23,-6.7,0.02,0.43,0.0,27.09
20040114,0.38,-5.72,0.02,0.43,0.0,32.33
20040115,7.52,-4.84,0.0,0.43,0.0,38.08
20040116,5.58,-1.77,0.02,0.43,0.0,32.77
20040117,1.14,-13.49,0.03,0.43,0.0,37.88
20040118,-11.95,-17.45,0.0,0.43,0.0,38.12
20040119,-8.28,-13.83,0.14,0.43,0.0,33.34
20040120,2.73,-12.38,0.03,0.43,0.0,33.15
20040121,-0.67,-13.84,0.03,0.43,0.0,37.87
20040122,3.16,-15.13,0.09,0.43,0.0,30.96
20040123,2.06,-10.71,0.09,0.43,0.0,25.52
20040124,-10.17,-13.52,2.21,0.43,0.0,33.84
20040125,-9.82,-15.91,1.9,0.43,0.0,14.76
20040126,-15.98,-21.41,0.01,0.43,0.0,41.95
20040127,-14.13,-24.85,2.0,0.43,0.0,19.59
20040128,-21.29,-27.05,2.16,0.43,0.0,30.23
20040129,-17.68,-24.77,0.84,0.42,0.0,41.5
20040130,-15.85,-21.25,1.71,0.42,0.0,28.26
20040131,-4.84,-17.47,0.07,0.42,0.0,26.27
20040201,-6.49,-16.67,0.05,0.42,0.0,39.42
20040202,-5.7,-18.2,0.03,0.42,0.0,48.34
20040203,-8.56,-16.88,0.06,0.42,0.0,47.98
20040204,-5.85,-18.07,0.29,0.42,0.0,28.45
20040205,-6.95,-13.76,1.09,0.42,0.0,18.26
20040206,-9.57,-17.42,0.06,0.42,0.0,52.88
20040207,-3.2,-18.73,0.02,0.42,0.0,56.95
20040208,0.31,-7.52,0.63,0.42,0.0,53.75
20040209,-5.57,-11.97,0.28,0.42,0.0,47.53
20040210,4.01,-12.02,0.87,0.43,0.0,56.78
20040211,-10.14,-14.43,0.94,0.44,0.0,81.52
20040212,-1.11,-18.6,0.0,0.43,0.0,66.24
20040213,5.12,-8.04,0.02,0.44,0.0,63.15
20040214,-5.74,-14.59,0.04,0.44,0.0,62.55
20040215,-4.16,-16.83,0.0,0.44,0.0,54.05
20040216,6.52,-7.68,0.01,0.44,0.0,52.22
20040217,4.81,-6.35,0.0,0.44,0.0,40.72
20040218,10.96,-2.35,0.09,0.44,0.0,50.98
20040219,9.41,-2.43,0.02,0.44,0.0,56.1
20040220,5.34,-2.61,0.0,0.44,0.0,67.22
20040221,9.47,-2.39,0.0,0.44,0.0,67.77
20040222,4.78,-4.85,0.03,0.44,0.0,38.32
20040223,3.88,-4.59,0.01,0.44,0.0,54.36
20040224,8.01,-4.65,0.0,0.44,0.0,62.09
20040225,7.69,-4.06,0.0,0.43,0.0,60.78
20040226,11.81,-2.54,0.0,0.43,0.0,65.93
20040227,14.32,-1.94,0.0,0.43,0.0,66.31
20040228,4.16,-1.28,1.2,0.43,0.0,44.23
20040229,2.14,-2.96,4.67,0.43,0.0,20.09
20040301,-0.35,-5.69,4.65,0.43,0.0,22.26
20040302,1.62,-5.06,0.14,0.44,0.0,19.98
20040303,0.57,-6.5,1.08,0.44,0.0,36.47
