,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20170101,21.24,5.19,3.22,0.47,0.11,70.82
20170102,18.83,6.42,0.36,0.47,0.09,71.55
20170103,16.02,-0.25,0.0,0.47,0.07,65.25
20170104,10.65,-1.7,0.0,0.47,0.02,68.66
20170105,5.33,-7.42,0.0,0.47,0.0,65.95
20170106,-4.07,-8.38,0.0,0.47,0.0,56.81
20170107,3.27,-7.1,0.0,0.47,0.0,73.19
20170108,11.6,-3.51,0.0,0.47,0.01,73.59
20170109,21.33,-0.8,0.0,0.47,0.08,73.5
20170110,22.36,6.04,0.0,0.46,0.12,65.21
20170111,25.36,7.15,0.0,0.46,0.14,74.73
20170112,22.43,6.48,0.0,0.46,0.11,65.59
20170113,11.51,2.6,0.43,0.46,0.02,39.31
20170114,7.23,2.26,5.24,0.47,0.01,19.55
20170115,16.16,3.95,20.22,0.49,0.01,17.98
20170116,17.2,2.63,0.0,0.51,0.09,77.09
20170117,8.3,1.94,10.93,0.51,0.01,18.52
20170118,14.83,2.09,0.07,0.52,0.07,57.95
20170119,18.95,4.32,0.0,0.51,0.14,78.02
20170120,18.3,5.65,0.01,0.5,0.12,76.26
20170121,16.05,5.42,0.02,0.5,0.07,49.26
20170122,16.23,4.03,0.0,0.49,0.1,81.41
20170123,22.03,1.63,0.0,0.49,0.15,82.03
20170124,21.46,6.02,0.0,0.48,0.16,78.82
20170125,13.89,0.08,0.0,0.48,0.07,50.69
20170126,12.17,-3.67,0.0,0.48,0.05,81.35
20170127,8.87,-3.59,0.74,0.48,0.02,35.32
20170128,11.68,-3.56,0.0,0.48,0.04,84.51
20170129,17.15,-1.42,0.0,0.48,0.1,85.62
20170130,20.15,1.4,0.0,0.48,0.13,87.51
20170131,22.04,2.03,0.0,0.48,0.14,87.95
20170201,20.53,3.99,0.0,0.47,0.13,87.36
20170202,9.83,-1.51,0.0,0.47,0.03,87.91
20170203,8.8,-2.99,0.0,0.47,0.02,51.63
20170204,16.88,3.3,0.0,0.47,0.04,52.0
20170205,25.05,6.94,0.0,0.47,0.16,78.84
20170206,25.64,9.67,0.0,0.47,0.17,72.33
20170207,24.51,7.95,0.0,0.46,0.18,78.2
20170208,25.37,5.58,0.0,0.46,0.19,87.85
20170209,21.84,2.07,0.0,0.46,0.11,94.56
20170210,27.73,7.98,0.0,0.46,0.18,91.91
20170211,31.29,9.73,0.0,0.45,0.23,96.05
20170212,17.49,6.82,0.0,0.45,0.07,77.32
20170213,9.98,3.82,14.7,0.47,0.0,20.7
20170214,7.98,-0.16,16.77,0.5,0.01,41.27
20170215,12.53,-0.82,0.0,0.51,0.07,97.31
20170216,18.15,0.28,0.0,0.5,0.14,86.77
20170217,21.95,4.87,0.01,0.49,0.22,99.7
20170218,23.57,7.93,0.0,0.49,0.2,88.44
20170219,23.4,10.44,1.05,0.48,0.19,66.63
20170220,21.26,6.62,0.0,0.48,0.22,101.25
20170221,25.38,4.51,0.0,0.48,0.27,105.32
20170222,28.93,7.98,0.0,0.48,0.35,105.6
20170223,29.34,9.92,0.0,0.47,0.39,107.09
20170224,18.24,3.09,0.0,0.47,0.14,108.08
20170225,16.34,-0.69,0.0,0.47,0.09,108.38
20170226,22.58,4.31,0.0,0.46,0.18,92.28
20170227,25.6,8.48,0.0,0.46,0.25,105.88
20170228,23.37,10.4,0.0,0.46,0.09,63.55
20170301,16.3,3.99,0.0,0.46,0.11,112.05
20170302,18.0,1.28,0.0,0.46,0.13,102.38
20170303,17.65,2.58,0.0,0.45,0.09,91.08
20170304,16.6,5.73,0.02,0.45,0.05,45.09
20170305,26.5,10.05,0.01,0.45,0.21,108.48
20170306,26.59,12.62,0.0,0.45,0.18,92.15
20170307,19.36,5.66,0.0,0.45,0.13,117.94
20170308,25.87,4.28,0.0,0.45,0.17,108.22
20170309,27.28,15.21,0.0,0.45,0.13,82.74
20170310,25.2,12.7,0.0,0.45,0.16,80.72
20170311,25.26,6.55,0.41,0.45,0.18,104.64
20170312,17.56,4.94,0.42,0.45,0.06,54.88
20170313,19.12,7.29,0.04,0.45,0.11,97.58
20170314,26.56,4.91,0.0,0.45,0.17,117.55
20170315,25.68,7.88,0.0,0.45,0.16,102.66
20170316,30.2,11.94,0.0,0.45,0.21,114.79
20170317,32.45,12.55,0.0,0.44,0.26,120.85
20170318,28.84,12.35,0.0,0.44,0.18,113.69
20170319,31.45,14.03,0.0,0.44,0.2,124.37
20170320,33.4,14.68,0.0,0.43,0.22,125.62
20170321,34.54,15.33,0.0,0.43,0.2,117.3
20170322,30.94,14.14,0.68,0.43,0.16,125.09
20170323,27.57,15.15,0.59,0.43,0.12,110.35
20170324,25.05,9.79,0.0,0.43,0.1,129.16
20170325,25.12,6.42,0.0,0.43,0.11,133.23
20170326,26.73,11.19,0.0,0.42,0.09,118.01
20170327,26.78,7.53,0.0,0.42,0.11,133.55
20170328,29.44,12.3,18.56,0.44,0.12,92.19
20170329,18.92,8.08,0.01,0.45,0.18,120.52
20170330,27.52,6.71,0.0,0.45,0.33,136.35
20170331,30.37,10.31,0.01,0.45,0.4,136.11
20170401,26.25,9.62,2.31,0.45,0.29,130.52
20170402,10.07,6.95,26.59,0.48,0.02,45.75
20170403,27.76,6.93,0.0,0.48,0.65,137.4
20170404,25.15,6.93,0.04,0.48,0.58,137.1
20170405,20.13,4.43,0.0,0.47,0.31,140.55
20170406,25.01,5.73,0.0,0.46,0.42,134.77
20170407,26.54,9.42,0.0,0.45,0.38,136.27
20170408,32.9,12.18,0.0,0.45,0.55,139.8
20170409,33.19,14.95,0.0,0.45,0.5,137.71
20170410,26.05,13.4,0.12,0.45,0.29,122.05
20170411,27.53,12.1,0.43,0.44,0.27,120.3
20170412,23.58,15.18,9.98,0.44,0.09,80.62
20170413,25.83,15.92,12.36,0.48,0.4,106.01
20170414,26.57,15.51,0.01,0.48,0.41,104.32
20170415,28.68,16.26,0.21,0.47,0.41,110.38
20170416,25.05,16.98,2.16,0.47,0.18,114.29
20170417,28.06,15.43,0.5,0.46,0.52,140.21
20170418,30.44,12.27,0.0,0.46,0.59,139.48
20170419,32.83,14.01,0.0,0.45,0.57,141.81
20170420,32.67,16.29,0.0,0.45,0.55,145.71
20170421,33.64,12.07,0.0,0.45,0.51,146.15
20170422,21.05,7.83,0.0,0.44,0.17,118.13
20170423,23.58,5.99,0.0,0.44,0.24,148.89
20170424,33.94,9.73,0.0,0.44,0.32,137.5
20170425,33.66,14.97,0.0,0.43,0.31,132.26
20170426,22.05,12.42,0.0,0.43,0.12,152.51
20170427,33.35,11.3,0.0,0.42,0.22,148.47
20170428,32.92,15.3,0.01,0.42,0.21,119.67
20170429,21.84,6.21,0.9,0.42,0.04,102.19
20170430,21.98,4.24,0.0,0.42,0.08,154.1
20170501,30.4,8.54,0.0,0.42,0.17,154.95
20170502,33.23,13.05,0.0,0.42,0.17,146.13
