,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20090101,15.42,-2.31,0.0,0.41,0.04,54.45
20090102,15.73,-1.88,0.0,0.41,0.04,57.16
20090103,20.34,-3.26,0.0,0.41,0.08,58.0
20090104,0.3,-7.09,0.0,0.41,0.0,47.76
20090105,5.13,-5.92,0.0,0.41,0.0,58.02
20090106,6.37,-2.27,0.0,0.41,0.0,42.56
20090107,15.69,-3.13,0.0,0.41,0.03,59.27
20090108,17.72,-0.48,0.0,0.41,0.05,60.66
20090109,17.58,-1.6,0.0,0.41,0.06,59.96
20090110,5.62,-6.75,0.0,0.41,0.0,61.7
20090111,12.34,-2.24,0.0,0.41,0.02,61.19
20090112,7.16,-5.8,0.0,0.41,0.0,36.76
20090113,10.6,-6.34,0.0,0.41,0.01,61.23
20090114,12.55,-6.64,0.0,0.41,0.02,45.42
20090115,-2.45,-8.65,0.0,0.41,0.0,28.16
20090116,11.26,-6.88,0.0,0.41,0.01,63.25
20090117,13.15,0.3,0.0,0.41,0.02,64.55
20090118,16.65,0.33,0.0,0.41,0.04,60.18
20090119,17.12,2.57,0.0,0.41,0.05,66.84
20090120,12.98,-0.57,0.0,0.41,0.02,67.92
20090121,18.88,0.13,0.0,0.41,0.05,66.74
20090122,19.77,0.23,0.0,0.41,0.05,62.24
20090123,8.34,-6.02,0.0,0.41,0.0,41.8
20090124,0.99,-7.56,0.0,0.41,0.0,68.12
20090125,0.26,-6.08,0.0,0.41,0.0,58.55
20090126,-3.88,-7.83,0.54,0.41,0.0,8.68
20090127,-3.35,-10.63,0.25,0.41,0.0,21.34
20090128,9.88,-10.77,0.0,0.41,0.01,71.13
20090129,6.93,-2.59,0.01,0.41,0.0,68.47
20090130,13.75,-1.81,0.0,0.41,0.02,70.04
20090131,17.7,-0.15,0.0,0.41,0.05,74.02
20090201,9.12,-2.69,0.0,0.41,0.01,69.19
20090202,13.87,-3.52,0.0,0.4,0.02,67.26
20090203,12.44,-2.6,0.0,0.4,0.02,74.96
20090204,17.43,-4.29,0.01,0.4,0.03,74.59
20090205,22.68,1.96,0.0,0.4,0.08,77.19
20090206,24.42,2.62,0.0,0.4,0.08,68.4
20090207,20.48,3.38,0.03,0.4,0.07,71.12
20090208,16.3,8.58,2.81,0.4,0.02,27.08
20090209,17.32,5.19,3.61,0.41,0.07,80.86
20090210,19.32,1.93,0.27,0.41,0.08,74.8
20090211,13.43,2.73,0.07,0.41,0.04,81.27
20090212,12.77,1.33,0.0,0.41,0.01,51.8
20090213,11.63,-4.16,0.0,0.41,0.02,80.19
20090214,5.64,-5.49,0.0,0.41,0.01,83.68
20090215,7.16,-5.25,0.0,0.41,0.01,84.52
20090216,12.97,-2.51,0.0,0.4,0.02,81.95
20090217,22.59,3.8,0.0,0.4,0.1,87.5
20090218,14.62,0.16,0.0,0.4,0.05,84.3
20090219,14.06,-3.81,0.0,0.4,0.03,75.01
20090220,18.82,-1.49,0.0,0.4,0.06,88.52
