,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20170101,-3.48,-11.79,1.4,0.46,0.0,34.64
20170102,-1.17,-7.77,0.86,0.46,0.0,18.38
20170103,-9.49,-19.78,0.04,0.46,0.0,34.1
20170104,-15.01,-26.27,0.01,0.46,0.0,38.7
20170105,-17.78,-23.81,0.01,0.46,0.0,39.47
20170106,-12.55,-24.02,0.04,0.46,0.0,40.17
20170107,-13.06,-24.71,0.0,0.45,0.0,40.66
20170108,-7.43,-22.51,0.04,0.45,0.0,33.3
20170109,-6.42,-17.92,1.05,0.45,0.0,26.35
20170110,-8.41,-17.53,5.83,0.45,0.0,33.45
20170111,-14.02,-19.47,0.61,0.45,0.0,29.05
20170112,-13.55,-24.81,0.01,0.45,0.0,45.02
20170113,-9.24,-24.12,0.06,0.45,0.0,33.17
20170114,-4.93,-17.41,0.31,0.45,0.0,46.36
20170115,-0.22,-15.56,0.14,0.45,0.0,32.36
20170116,-0.81,-10.91,0.05,0.45,0.0,31.88
20170117,-1.98,-14.59,0.02,0.45,0.0,44.66
20170118,1.66,-7.02,0.0,0.46,0.0,47.35
20170119,1.63,-2.1,0.12,0.47,0.0,38.64
20170120,3.61,0.26,0.13,0.48,-0.0,24.84
20170121,3.48,-2.34,0.5,0.48,0.0,30.48
20170122,2.09,-3.1,0.06,0.48,0.0,17.64
20170123,-0.7,-5.22,0.03,0.48,0.0,13.67
20170124,-0.3,-5.38,2.33,0.48,0.0,16.07
20170125,-3.73,-6.91,1.5,0.48,0.0,21.28
20170126,-4.31,-12.7,0.04,0.47,0.0,28.75
20170127,-0.6,-13.35,0.01,0.47,0.0,44.77
20170128,-0.14,-5.67,0.09,0.47,0.0,33.61
20170129,2.51,-4.46,0.02,0.47,0.0,42.57
20170130,7.59,-3.51,0.03,0.47,0.0,49.06
20170131,1.19,-5.5,0.0,0.48,0.0,50.87
20170201,-6.42,-14.92,0.01,0.47,0.0,47.51
20170202,-8.31,-16.38,0.0,0.47,0.0,52.07
20170203,-4.19,-16.85,0.0,0.47,0.0,54.8
20170204,2.42,-10.25,0.01,0.47,0.0,45.78
20170205,-3.2,-11.81,0.0,0.47,0.0,56.7
20170206,0.59,-8.21,0.31,0.47,0.0,33.35
20170207,-6.51,-15.02,0.09,0.46,0.0,57.33
20170208,-9.02,-17.83,0.01,0.46,0.0,57.42
20170209,-5.2,-17.58,0.0,0.46,0.0,58.66
20170210,11.6,-6.54,0.0,0.46,0.0,60.22
20170211,5.58,-0.29,2.06,0.47,0.0,44.08
20170212,5.21,-3.35,0.0,0.47,0.0,65.39
20170213,9.26,-3.0,0.0,0.47,0.0,64.12
20170214,6.63,-4.85,0.0,0.47,0.0,67.03
20170215,7.45,-5.08,0.0,0.46,0.0,65.44
20170216,12.11,-1.01,0.0,0.46,0.01,63.55
20170217,15.92,1.34,0.0,0.46,0.02,69.21
20170218,15.55,-0.72,0.0,0.46,0.03,56.62
20170219,16.55,2.95,0.01,0.46,0.02,60.59
20170220,13.47,1.02,1.25,0.46,0.01,26.03
20170221,17.71,0.06,0.0,0.46,0.05,65.59
20170222,13.83,-1.29,0.42,0.46,0.03,59.45
20170223,0.46,-4.88,0.46,0.46,0.0,23.36
20170224,-2.96,-8.15,0.17,0.46,0.0,57.95
20170225,1.01,-10.67,0.05,0.46,0.0,63.79
20170226,1.85,-5.52,0.0,0.45,0.0,75.88
20170227,8.02,-6.41,0.02,0.45,0.0,60.78
20170228,3.65,-2.68,0.64,0.45,0.0,30.87
20170301,0.66,-5.38,0.61,0.45,0.0,55.89
20170302,-3.38,-8.99,0.12,0.45,0.0,68.3
20170303,0.9,-10.18,0.01,0.45,0.0,54.6
20170304,8.27,-6.22,0.0,0.45,0.0,73.86
20170305,15.37,0.8,0.01,0.45,0.03,75.43
20170306,21.71,-3.84,0.67,0.45,0.1,75.91
20170307,7.53,-3.13,0.13,0.45,0.0,84.02
20170308,2.37,-4.88,0.33,0.45,0.0,79.3
20170309,-2.87,-10.87,0.93,0.45,0.0,53.78
20170310,-10.03,-16.99,0.31,0.45,0.0,57.66
20170311,-6.5,-12.02,0.54,0.45,0.0,48.81
20170312,-5.74,-12.19,11.71,0.45,0.0,17.53
20170313,-6.56,-12.59,0.25,0.45,0.0,47.12
20170314,-3.29,-12.63,0.09,0.45,0.0,31.39
20170315,1.76,-11.66,0.01,0.45,0.0,40.61
20170316,6.42,-3.27,0.14,0.46,0.0,35.68
20170317,7.19,-3.35,0.01,0.47,0.0,58.95
20170318,8.89,-5.35,0.0,0.47,0.03,85.76
20170319,17.82,0.3,0.0,0.47,0.07,82.25
20170320,12.4,1.08,0.0,0.46,0.06,75.95
20170321,2.35,-6.44,0.0,0.46,0.0,92.97
20170322,6.87,-6.51,0.01,0.46,0.0,37.88
20170323,9.1,-1.35,1.0,0.46,0.0,19.42
20170324,9.48,-1.7,0.64,0.46,0.01,40.79
20170325,10.38,-1.54,0.03,0.46,0.04,37.91
20170326,7.83,0.96,0.09,0.46,0.0,47.75
20170327,14.15,0.55,0.0,0.45,0.09,97.68
20170328,13.09,2.62,0.0,0.45,0.04,91.8
20170329,11.94,1.17,0.09,0.45,0.02,70.01
20170330,9.62,1.02,0.22,0.45,0.02,39.85
20170331,12.51,1.12,0.0,0.45,0.07,109.73
20170401,16.39,2.93,0.0,0.45,0.17,105.97
20170402,16.69,2.98,0.03,0.45,0.12,66.17
20170403,12.3,5.44,1.55,0.45,0.03,38.68
20170404,15.67,2.83,0.0,0.45,0.17,112.5
20170405,9.1,1.04,0.75,0.45,0.01,82.52
20170406,11.94,-3.1,0.0,0.45,0.1,116.19
20170407,17.53,0.02,0.0,0.45,0.14,109.41
20170408,25.68,5.68,0.38,0.45,0.27,95.39
20170409,17.83,3.54,10.93,0.45,0.09,31.42
20170410,4.68,-1.01,1.97,0.46,0.0,46.05
20170411,13.55,-3.58,0.04,0.46,0.13,114.11
20170412,13.0,2.55,1.71,0.46,0.03,35.7
20170413,15.2,3.94,0.34,0.46,0.1,39.09
20170414,20.77,7.81,0.91,0.46,0.16,64.35
20170415,18.18,7.59,4.29,0.46,0.11,60.05
20170416,18.35,1.9,0.01,0.46,0.3,119.2
20170417,15.26,-1.18,0.2,0.46,0.21,129.54
20170418,13.88,5.13,6.75,0.47,0.12,66.73
20170419,8.29,2.22,12.8,0.48,0.01,26.29
20170420,12.57,2.73,0.4,0.48,0.09,49.62
20170421,16.06,0.25,0.0,0.48,0.3,119.14
20170422,19.13,2.84,0.0,0.47,0.42,135.12
20170423,19.23,3.53,0.0,0.47,0.27,112.64
20170424,17.22,4.39,0.04,0.46,0.11,86.88
20170425,6.55,0.76,3.15,0.46,0.0,36.56
20170426,4.47,-2.29,0.44,0.46,0.0,45.05
