,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20180101,-15.13,-24.94,0.0,0.48,0.0,40.5
20180102,-4.48,-19.56,0.01,0.48,0.0,26.23
20180103,-6.77,-15.17,0.01,0.48,0.0,32.89
20180104,-3.41,-12.73,0.08,0.48,0.0,42.2
20180105,-6.4,-12.85,0.0,0.48,0.0,23.55
20180106,2.41,-12.61,0.0,0.49,0.0,35.31
20180107,5.87,-1.13,0.4,0.49,0.0,37.95
20180108,5.69,-3.94,0.03,0.49,0.0,32.53
20180109,6.57,-1.6,0.0,0.49,0.0,36.29
20180110,4.51,-10.87,0.93,0.5,0.0,34.76
20180111,-10.24,-18.03,0.03,0.5,0.0,39.84
20180112,-14.85,-18.04,0.86,0.5,0.0,37.02
20180113,-9.78,-18.35,0.24,0.49,0.0,35.31
20180114,-1.65,-16.34,0.9,0.49,0.0,20.0
20180115,-16.7,-22.12,0.0,0.49,0.0,37.04
20180116,-8.33,-22.35,0.0,0.49,0.0,45.03
20180117,3.72,-14.14,0.0,0.49,0.0,46.06
20180118,7.07,-5.6,0.0,0.5,0.0,41.66
20180119,6.2,-0.51,0.0,0.5,0.0,45.87
20180120,4.08,-0.58,0.35,0.5,0.0,31.61
20180121,1.12,-2.99,5.33,0.5,0.0,12.37
20180122,0.58,-8.87,0.13,0.5,0.0,14.59
20180123,4.38,-8.95,0.0,0.5,0.0,36.65
20180124,5.53,-8.35,0.0,0.5,0.0,49.64
20180125,7.94,-3.24,0.0,0.5,0.0,44.66
20180126,5.65,-1.62,0.01,0.51,0.0,49.38
20180127,3.35,-8.79,0.2,0.5,0.0,50.48
20180128,-7.02,-12.16,0.06,0.5,0.0,47.98
20180129,-3.17,-13.68,0.01,0.5,0.0,50.26
20180130,8.78,-7.23,0.63,0.5,0.0,41.83
20180131,7.06,-10.38,0.01,0.5,0.0,45.27
20180201,-9.11,-16.9,0.0,0.5,0.0,59.84
20180202,0.89,-14.67,0.01,0.5,0.0,52.61
20180203,-0.23,-14.22,0.43,0.5,0.0,42.52
20180204,-12.39,-16.98,0.1,0.5,0.0,60.03
20180205,-7.1,-16.77,1.48,0.5,0.0,44.54
20180206,-1.88,-16.73,0.06,0.5,0.0,21.26
20180207,-7.39,-17.92,0.22,0.5,0.0,30.23
20180208,-9.43,-14.1,4.35,0.5,0.0,15.73
20180209,-12.66,-19.45,0.93,0.5,0.0,16.61
20180210,-9.21,-20.2,0.0,0.5,0.0,68.12
20180211,-1.13,-17.64,0.0,0.5,0.0,65.96
20180212,-9.88,-15.96,0.25,0.5,0.0,27.9
20180213,2.92,-12.88,0.05,0.5,0.0,69.26
20180214,9.01,-6.36,0.29,0.5,0.0,69.41
20180215,-0.9,-15.01,1.13,0.51,0.0,62.15
20180216,5.12,-16.42,0.06,0.5,0.0,68.38
20180217,2.76,-6.14,0.42,0.51,0.0,58.88
20180218,2.08,-10.48,0.34,0.51,0.0,53.34
20180219,-8.52,-13.69,5.08,0.5,0.0,32.76
20180220,-11.18,-19.36,0.9,0.5,0.0,61.17
20180221,-1.35,-19.83,0.0,0.5,0.0,73.5
20180222,-5.67,-13.56,4.07,0.5,0.0,47.46
20180223,-2.77,-12.61,0.05,0.5,0.0,79.49
20180224,-4.03,-11.25,3.13,0.5,0.0,66.7
20180225,4.06,-9.69,0.0,0.51,0.0,84.87
20180226,7.33,-6.88,0.0,0.52,0.0,84.55
20180227,6.81,-6.95,0.0,0.52,0.0,82.78
20180228,6.4,-5.74,0.0,0.52,0.0,78.77
20180301,7.84,-5.88,0.0,0.52,0.0,85.41
20180302,12.29,-2.51,0.0,0.52,0.01,82.32
20180303,11.21,-2.62,0.01,0.52,0.01,83.1
20180304,10.57,-0.03,1.27,0.52,0.0,37.24
20180305,-0.07,-4.79,8.12,0.52,0.0,49.7
20180306,0.04,-8.17,2.04,0.51,0.0,31.77
20180307,1.2,-8.72,0.0,0.51,0.0,78.84
20180308,4.48,-8.89,0.02,0.52,0.0,84.18
20180309,8.21,-3.52,0.4,0.52,0.0,85.37
20180310,3.69,-3.17,2.66,0.52,0.0,52.27
20180311,4.22,-4.49,0.02,0.52,0.0,65.24
20180312,6.19,-4.67,0.0,0.52,0.0,80.29
20180313,10.2,-5.3,0.0,0.52,0.01,92.95
20180314,17.53,-2.92,0.0,0.52,0.05,94.39
20180315,11.73,-3.71,0.82,0.52,0.01,86.13
20180316,-0.74,-4.06,11.45,0.51,0.0,15.51
20180317,3.86,-5.58,0.08,0.52,0.0,33.5
20180318,9.18,-3.52,0.52,0.52,0.01,39.18
20180319,3.12,-2.6,2.98,0.53,0.0,93.35
20180320,7.87,-4.25,0.07,0.53,0.01,52.09
20180321,13.53,-3.2,0.0,0.53,0.06,98.95
20180322,15.15,-2.79,0.66,0.52,0.06,101.54
20180323,11.57,0.8,3.56,0.52,0.01,46.3
20180324,7.1,-1.72,0.54,0.52,0.01,36.18
20180325,10.41,-1.88,0.42,0.52,0.02,44.65
20180326,7.82,-1.38,0.68,0.52,0.01,36.94
20180327,15.24,-3.12,0.0,0.52,0.09,112.94
20180328,9.06,-4.87,0.05,0.52,0.01,66.43
20180329,3.91,-5.1,0.46,0.52,0.0,55.93
20180330,12.35,-3.97,0.15,0.52,0.02,94.01
20180331,2.46,-6.73,0.09,0.52,0.0,106.52
20180401,4.14,-6.12,0.0,0.52,0.0,104.57
20180402,8.42,-3.07,1.89,0.51,0.01,101.7
20180403,-2.58,-7.58,1.06,0.51,0.0,76.73
20180404,9.08,-7.44,0.0,0.51,0.01,96.23
20180405,7.14,-3.36,0.09,0.51,0.0,102.05
20180406,-3.34,-9.46,0.07,0.51,0.0,103.62
20180407,4.92,-6.63,0.15,0.51,0.0,118.93
20180408,3.8,-4.13,3.43,0.51,0.0,37.23
20180409,5.11,-3.52,0.11,0.52,0.0,54.23
20180410,17.69,-1.49,0.0,0.52,0.09,112.5
20180411,19.08,1.14,0.05,0.51,0.06,79.95
20180412,14.76,2.09,0.07,0.51,0.04,79.16
20180413,1.99,-5.18,19.87,0.51,0.0,17.81
20180414,0.52,-11.27,2.97,0.52,0.0,45.61
20180415,3.05,-12.0,0.11,0.52,0.0,116.66
20180416,5.43,-7.11,0.1,0.53,0.01,131.88
20180417,9.43,-3.85,3.7,0.54,0.03,112.51
20180418,7.96,-1.38,5.43,0.55,0.01,101.98
20180419,14.44,-3.64,0.0,0.55,0.16,115.23
20180420,17.5,-0.61,0.61,0.54,0.12,116.09
20180421,13.82,2.33,0.21,0.54,0.1,70.49
20180422,17.77,1.48,0.0,0.53,0.25,130.3
20180423,21.65,2.74,0.06,0.53,0.4,121.08
20180424,12.05,2.44,1.77,0.52,0.04,23.55
20180425,19.4,-1.17,0.0,0.52,0.31,132.88
20180426,18.66,5.96,0.0,0.52,0.29,137.96
20180427,19.34,3.18,0.0,0.52,0.32,140.4
