,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20200101,7.99,-6.67,0.0,0.45,0.0,41.67
20200102,6.55,-3.48,0.0,0.45,0.0,44.58
20200103,4.9,-2.58,0.0,0.45,0.0,42.34
20200104,10.9,-3.3,0.0,0.45,0.0,44.46
20200105,7.02,-2.52,0.0,0.45,0.0,47.68
20200106,8.73,-4.11,0.0,0.45,0.0,50.64
20200107,12.3,-3.2,0.0,0.44,0.01,51.31
20200108,6.82,-4.39,0.0,0.44,0.0,41.76
20200109,10.51,-0.66,0.0,0.44,0.01,45.85
20200110,0.41,-9.33,0.05,0.44,0.0,23.36
20200111,-0.34,-9.74,0.0,0.43,0.0,51.7
20200112,1.57,-5.68,0.0,0.43,0.0,34.32
20200113,1.08,-6.31,0.0,0.43,0.0,33.43
20200114,4.7,-7.14,0.0,0.43,0.0,48.65
20200115,1.9,-8.96,0.0,0.43,0.0,52.34
20200116,-5.09,-10.85,0.89,0.43,0.0,37.79
20200117,6.32,-6.02,3.12,0.43,0.0,13.5
20200118,3.68,-5.35,0.0,0.43,0.0,51.84
20200119,0.83,-7.86,0.0,0.43,0.0,52.86
20200120,-1.78,-10.17,0.0,0.43,0.0,50.52
20200121,4.31,-10.62,2.7,0.43,0.0,39.86
20200122,8.53,-0.45,1.98,0.44,0.0,42.13
20200123,4.77,-4.13,0.65,0.44,0.0,33.38
20200124,4.76,-4.3,0.03,0.44,0.0,50.72
20200125,8.23,-3.62,0.0,0.44,0.0,49.57
20200126,11.23,-1.24,0.0,0.44,0.01,58.66
20200127,5.21,-2.41,1.02,0.44,0.0,32.05
20200128,4.07,-2.63,1.35,0.44,0.0,26.81
20200129,5.75,-3.35,0.19,0.44,0.0,45.31
20200130,9.33,-2.58,0.07,0.44,0.01,53.01
20200131,6.47,-3.46,0.0,0.44,0.0,65.6
20200201,17.44,-1.31,0.0,0.44,0.04,55.59
20200202,21.53,1.2,0.0,0.43,0.07,65.42
20200203,1.76,-5.39,0.0,0.43,0.0,25.42
20200204,-3.24,-5.62,0.13,0.43,0.0,40.01
20200205,-0.62,-6.34,0.01,0.43,0.0,66.73
20200206,5.37,-7.41,0.0,0.43,0.0,67.26
20200207,2.74,-3.02,0.0,0.43,0.0,51.27
20200208,10.34,-4.45,0.0,0.43,0.01,72.2
20200209,3.03,-3.6,0.0,0.43,0.0,61.8
20200210,6.98,-3.89,0.0,0.43,0.0,57.48
20200211,5.65,-3.78,0.0,0.42,0.0,73.73
20200212,6.62,-9.95,0.01,0.42,0.0,36.71
20200213,-7.94,-11.97,0.11,0.42,0.0,57.4
20200214,5.76,-10.83,0.0,0.42,0.0,66.8
20200215,8.79,-2.69,0.0,0.42,0.01,68.62
20200216,11.39,-1.95,0.0,0.42,0.01,59.2
20200217,9.69,-2.73,0.0,0.42,0.01,72.93
20200218,6.11,-3.3,0.0,0.42,0.0,72.06
20200219,0.1,-7.11,1.32,0.42,0.0,18.8
20200220,1.9,-8.57,0.02,0.42,0.0,71.64
20200221,10.52,-6.53,0.0,0.42,0.01,82.32
20200222,16.55,-2.07,0.0,0.42,0.04,78.35
20200223,12.8,0.19,3.83,0.42,0.02,36.7
