,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20110101,7.69,-4.77,0.0,0.41,0.01,61.1
20110102,10.08,-5.76,0.0,0.4,0.01,50.61
20110103,14.58,-0.77,0.0,0.4,0.02,43.98
20110104,13.86,3.87,0.0,0.4,0.04,46.73
20110105,15.98,1.32,0.0,0.4,0.06,68.73
20110106,15.9,-0.53,0.0,0.4,0.06,61.06
20110107,19.87,2.3,0.0,0.39,0.08,59.95
20110108,14.55,-0.24,2.87,0.39,0.05,65.12
20110109,4.92,0.3,17.13,0.41,0.0,41.94
20110110,5.37,-4.6,0.33,0.42,0.0,26.55
20110111,1.88,-8.24,0.0,0.42,0.0,73.78
20110112,0.39,-5.7,0.0,0.41,0.0,31.15
20110113,8.51,-3.64,0.0,0.41,0.0,38.65
20110114,9.8,-3.15,0.13,0.41,0.0,27.44
20110115,12.9,4.02,0.32,0.41,0.02,30.52
20110116,11.91,3.66,0.22,0.41,0.03,38.7
20110117,19.75,1.45,0.01,0.41,0.08,67.31
20110118,14.56,2.8,0.0,0.41,0.06,76.77
20110119,19.11,1.01,0.0,0.41,0.09,66.98
20110120,8.56,-4.6,0.01,0.41,0.0,43.94
20110121,12.23,-5.6,0.0,0.41,0.03,74.8
20110122,17.3,-1.95,0.0,0.4,0.08,80.29
20110123,9.3,0.52,0.0,0.4,0.01,64.24
20110124,15.32,-2.45,0.0,0.4,0.07,79.07
20110125,10.4,0.72,0.03,0.4,0.03,59.77
20110126,13.44,-2.66,0.0,0.4,0.03,60.09
20110127,17.12,-1.2,0.0,0.4,0.08,80.41
20110128,21.56,1.9,0.0,0.39,0.13,84.68
20110129,23.9,3.35,0.04,0.39,0.13,78.1
20110130,17.33,2.88,0.18,0.39,0.08,84.62
20110131,22.07,-0.25,6.41,0.39,0.09,68.44
20110201,-1.54,-12.01,7.3,0.4,0.0,49.76
20110202,-5.63,-12.6,0.01,0.4,0.0,39.19
20110203,-4.22,-10.81,0.06,0.4,0.0,35.7
20110204,0.77,-8.88,0.73,0.4,0.0,74.46
20110205,12.32,-5.49,0.0,0.4,0.02,85.48
20110206,10.14,-2.19,1.79,0.41,0.02,70.38
20110207,9.71,-3.49,0.0,0.41,0.03,91.3
20110208,16.33,-2.56,0.19,0.41,0.08,89.98
20110209,5.32,-10.52,0.53,0.41,0.0,78.75
20110210,4.45,-7.51,0.0,0.41,0.01,91.72
20110211,13.02,-4.86,0.0,0.41,0.06,95.2
20110212,17.38,-2.4,0.0,0.41,0.11,95.47
20110213,23.06,-0.7,0.0,0.4,0.17,95.43
