,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20180101,-6.42,-14.52,0.0,0.45,0.0,60.05
20180102,-4.44,-10.06,0.0,0.45,0.0,26.77
20180103,4.86,-9.29,0.0,0.45,0.0,61.87
20180104,5.75,-3.95,0.0,0.45,0.0,58.61
20180105,9.19,-3.07,0.0,0.45,0.01,61.52
20180106,8.65,-3.75,0.0,0.44,0.0,52.99
20180107,8.9,1.08,2.19,0.45,-0.0,18.4
20180108,12.4,-1.56,0.03,0.45,0.05,61.49
20180109,13.66,0.13,0.06,0.45,0.03,44.34
20180110,15.62,3.93,0.28,0.45,0.06,48.8
20180111,7.23,-6.92,0.01,0.45,0.0,46.42
20180112,0.92,-7.79,0.0,0.45,0.0,61.88
20180113,1.15,-6.77,0.0,0.45,0.0,62.03
20180114,8.0,-4.54,0.0,0.44,0.0,60.98
20180115,1.26,-9.13,0.0,0.44,0.0,37.98
20180116,-6.36,-14.12,0.0,0.44,0.0,65.58
20180117,1.48,-13.2,0.0,0.44,0.0,66.34
20180118,8.32,-7.52,0.0,0.44,0.0,66.93
20180119,11.64,-2.9,0.0,0.44,0.02,63.05
20180120,17.25,4.39,0.0,0.44,0.08,67.48
20180121,17.87,2.95,0.0,0.44,0.1,63.22
20180122,9.31,-0.76,0.0,0.44,0.01,56.13
20180123,10.94,-3.13,0.0,0.44,0.04,69.98
20180124,13.87,-2.92,0.0,0.44,0.08,70.63
20180125,15.82,-1.27,0.21,0.43,0.11,70.82
20180126,16.63,5.01,0.15,0.43,0.06,52.74
20180127,13.86,0.4,0.0,0.43,0.09,72.46
20180128,15.27,-2.24,0.0,0.43,0.12,73.09
20180129,6.3,-5.25,0.0,0.43,0.0,73.93
20180130,14.91,-3.22,0.0,0.43,0.06,67.7
20180131,17.3,3.62,0.0,0.43,0.15,69.79
20180201,9.72,-1.49,0.0,0.43,0.02,65.76
20180202,8.01,-3.78,0.0,0.42,0.01,69.84
20180203,12.53,-0.99,0.0,0.42,0.04,69.48
20180204,2.87,-7.63,0.0,0.42,0.0,70.88
20180205,7.83,-7.77,0.0,0.42,0.0,56.99
20180206,1.55,-6.34,0.0,0.42,0.0,45.67
20180207,4.71,-5.16,0.0,0.42,0.0,81.5
20180208,12.43,-2.77,0.0,0.42,0.04,82.05
20180209,13.37,-4.02,0.0,0.42,0.09,76.21
20180210,-0.69,-7.17,0.0,0.42,0.0,38.13
20180211,2.01,-6.21,0.0,0.42,0.0,64.99
20180212,6.4,-6.28,0.0,0.42,0.0,79.86
20180213,10.22,-2.6,0.0,0.42,0.01,51.48
20180214,21.28,2.44,0.0,0.42,0.17,68.34
