,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20110101,-9.9,-23.62,0.23,0.48,0.0,26.89
20110102,-7.19,-11.17,1.04,0.48,0.0,26.39
20110103,-5.62,-13.2,0.76,0.48,0.0,25.41
20110104,-5.27,-12.43,0.27,0.48,0.0,26.31
20110105,-1.51,-5.93,0.56,0.48,0.0,28.54
20110106,2.12,-1.81,0.7,0.49,0.0,27.28
20110107,1.06,-5.34,2.52,0.5,0.0,18.93
20110108,0.86,-12.6,1.31,0.5,0.0,27.05
20110109,-12.87,-19.99,0.21,0.5,0.0,27.19
20110110,-19.03,-21.52,0.4,0.5,0.0,25.53
20110111,-13.55,-22.42,0.03,0.49,0.0,34.49
20110112,-0.45,-17.93,0.43,0.49,0.0,19.74
20110113,0.65,-3.61,0.8,0.49,0.0,21.45
20110114,1.32,-4.02,0.83,0.49,0.0,21.09
20110115,1.44,-8.83,0.27,0.5,0.0,20.56
20110116,3.5,-3.89,1.69,0.51,0.0,21.69
20110117,2.27,-4.75,4.62,0.52,0.0,27.38
20110118,0.34,-10.02,1.28,0.52,0.01,23.73
20110119,-3.34,-13.79,0.2,0.51,0.0,36.82
20110120,-3.1,-14.38,0.37,0.51,0.01,23.85
20110121,1.38,-4.97,2.02,0.51,0.01,34.58
20110122,0.98,-6.04,3.75,0.51,0.01,31.02
20110123,2.28,-6.15,1.24,0.51,0.01,19.79
20110124,1.08,-9.73,0.3,0.51,0.01,40.46
20110125,3.44,-3.47,0.5,0.51,0.0,35.74
20110126,3.3,-4.2,0.0,0.51,0.01,31.06
20110127,6.09,-0.33,0.02,0.51,0.01,35.35
20110128,6.37,-1.21,0.02,0.51,0.01,38.31
20110129,1.63,-9.9,1.73,0.51,0.01,21.59
20110130,-10.71,-21.85,2.61,0.51,0.01,28.31
20110131,-17.19,-24.12,0.09,0.51,0.0,48.56
20110201,-12.38,-23.98,0.01,0.5,0.0,49.01
20110202,-0.42,-19.76,0.14,0.5,0.0,46.77
20110203,2.44,-8.04,0.22,0.5,0.01,36.84
20110204,4.9,-2.68,0.46,0.51,0.01,35.65
20110205,0.14,-4.53,3.42,0.51,0.01,22.83
20110206,-4.88,-11.88,1.24,0.51,0.01,19.3
20110207,-11.3,-16.85,6.59,0.5,0.01,31.12
20110208,-9.91,-21.89,0.06,0.5,0.0,51.47
20110209,-5.21,-23.51,0.01,0.5,0.0,53.94
20110210,-1.1,-8.52,0.1,0.5,0.01,36.77
20110211,2.58,-6.5,0.15,0.5,0.0,50.18
20110212,6.21,1.11,0.03,0.51,0.01,49.91
20110213,3.48,-3.64,0.0,0.51,0.01,58.61
20110214,7.04,-2.42,0.0,0.51,0.01,25.04
20110215,9.01,-0.86,0.0,0.51,0.02,59.06
20110216,9.51,-2.74,0.82,0.51,0.01,55.04
20110217,-0.57,-7.73,2.16,0.5,0.02,51.87
20110218,-5.33,-13.29,2.11,0.5,0.01,42.17
20110219,-10.41,-18.22,0.48,0.5,0.01,47.49
20110220,-13.95,-19.17,2.94,0.5,0.0,47.73
20110221,-2.11,-17.53,0.18,0.5,0.0,59.19
20110222,-0.42,-11.05,0.47,0.5,0.0,56.73
20110223,-11.46,-18.22,0.59,0.5,0.0,47.55
20110224,-17.92,-22.07,0.76,0.5,0.0,61.48
20110225,-12.41,-24.81,0.11,0.5,0.0,56.83
20110226,-6.17,-22.99,0.38,0.5,0.01,53.86
20110227,-2.8,-13.35,0.19,0.5,0.01,74.19
20110228,2.15,-7.38,0.16,0.5,0.01,72.33
20110301,-4.04,-16.91,0.78,0.5,0.01,43.44
20110302,5.26,-13.01,0.03,0.5,0.0,49.64
20110303,2.2,-7.6,0.15,0.5,0.0,56.26
20110304,0.43,-9.79,0.23,0.5,0.0,68.19
20110305,1.82,-9.04,0.79,0.5,0.0,60.38
