,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20120101,12.76,0.69,0.0,0.41,0.06,64.55
20120102,10.08,-2.67,0.0,0.41,0.03,66.26
20120103,16.49,-2.63,0.0,0.41,0.08,63.7
20120104,16.74,2.05,0.0,0.41,0.09,61.1
20120105,18.65,-0.08,0.0,0.41,0.12,66.65
20120106,20.94,1.53,0.0,0.41,0.14,66.78
20120107,14.69,2.29,0.0,0.4,0.07,63.72
20120108,9.87,1.56,0.01,0.4,0.0,38.05
20120109,10.32,0.77,3.24,0.41,0.01,12.41
20120110,10.07,1.03,19.64,0.43,0.01,27.58
20120111,13.51,-0.45,0.0,0.44,0.05,66.77
20120112,5.69,-6.0,0.0,0.44,0.0,69.55
20120113,12.71,-3.27,0.0,0.44,0.04,69.79
20120114,14.33,-3.2,0.0,0.43,0.07,70.15
20120115,18.38,-1.63,0.0,0.43,0.1,61.56
20120116,22.52,9.55,0.0,0.43,0.15,50.1
20120117,12.93,-2.63,0.0,0.42,0.0,72.54
20120118,13.74,-4.56,0.0,0.42,0.05,68.3
20120119,18.03,1.29,0.0,0.42,0.14,73.25
20120120,22.0,1.26,0.0,0.41,0.18,73.92
20120121,8.32,-3.42,0.0,0.41,0.02,73.16
20120122,21.15,1.26,0.0,0.41,0.22,66.09
20120123,15.9,2.19,0.0,0.41,0.13,74.84
20120124,13.27,3.58,31.96,0.42,0.02,38.42
20120125,9.26,4.39,4.11,0.48,0.0,17.98
20120126,15.78,-0.22,0.05,0.48,0.14,76.88
20120127,20.35,3.18,0.06,0.47,0.24,73.41
20120128,9.4,-0.51,0.0,0.46,0.03,68.98
20120129,16.38,-2.52,0.0,0.45,0.14,76.8
20120130,20.29,2.18,0.0,0.45,0.2,76.77
20120131,20.89,6.93,0.0,0.45,0.28,75.19
20120201,19.5,3.56,0.0,0.44,0.24,78.79
20120202,18.55,3.06,0.23,0.44,0.09,50.37
20120203,23.33,5.53,2.83,0.44,0.2,43.84
20120204,12.45,2.26,0.0,0.44,0.06,61.53
20120205,10.48,-0.54,0.0,0.43,0.05,65.03
20120206,12.5,-1.72,0.0,0.43,0.12,72.52
20120207,14.31,0.43,0.08,0.43,0.12,50.23
20120208,7.74,-2.87,0.01,0.42,0.05,57.31
20120209,12.86,-1.15,3.36,0.43,0.03,40.78
20120210,11.02,-2.43,0.01,0.43,0.05,83.63
20120211,2.29,-5.32,0.07,0.43,0.0,86.1
20120212,5.32,-5.35,2.09,0.43,0.0,46.02
20120213,15.39,-0.55,5.63,0.44,0.04,52.02
20120214,16.15,1.66,0.24,0.44,0.09,77.89
20120215,20.18,4.99,0.66,0.44,0.31,90.57
20120216,13.76,2.12,0.1,0.43,0.12,58.53
20120217,12.03,3.78,1.32,0.43,0.04,46.5
20120218,9.95,2.73,5.94,0.44,0.0,17.3
20120219,13.26,-0.39,0.01,0.45,0.13,57.0
20120220,19.79,4.69,0.1,0.44,0.24,87.48
20120221,21.63,-0.75,0.0,0.44,0.32,91.91
20120222,23.89,2.54,0.0,0.43,0.41,97.44
20120223,21.7,8.26,0.0,0.42,0.44,96.79
20120224,14.01,1.78,0.0,0.42,0.18,100.84
20120225,18.36,-1.02,0.0,0.42,0.27,102.55
20120226,20.57,2.41,0.0,0.41,0.26,96.77
20120227,17.52,7.3,0.01,0.41,0.09,29.62
20120228,27.31,9.57,0.11,0.41,0.36,49.59
20120229,22.23,4.59,0.0,0.41,0.42,101.82
20120301,26.55,3.87,0.0,0.41,0.51,98.8
20120302,17.4,6.55,0.0,0.41,0.25,103.24
20120303,14.98,2.48,0.0,0.4,0.2,94.34
20120304,22.9,0.82,0.0,0.4,0.38,108.36
20120305,25.08,5.25,0.0,0.4,0.45,101.27
20120306,22.39,8.76,0.0,0.4,0.2,90.16
20120307,26.46,13.8,0.4,0.4,0.34,80.43
20120308,17.53,4.62,5.89,0.41,0.0,27.3
20120309,13.45,2.99,0.02,0.41,0.11,71.02
20120310,11.1,4.21,33.14,0.42,0.02,18.86
20120311,19.27,6.94,3.3,0.48,0.41,90.93
20120312,27.19,5.06,0.0,0.47,0.92,113.89
20120313,26.68,9.0,0.0,0.45,0.78,94.81
20120314,26.58,14.64,0.0,0.45,0.73,52.46
20120315,27.63,16.2,0.0,0.45,0.83,78.41
20120316,25.42,16.08,0.06,0.44,0.47,77.43
20120317,24.98,16.84,0.01,0.43,0.49,52.39
20120318,24.23,18.01,0.99,0.43,0.32,64.98
20120319,22.36,11.19,23.58,0.45,0.27,31.02
20120320,19.07,6.64,13.06,0.49,0.6,93.04
20120321,17.26,5.97,2.15,0.48,0.49,88.74
20120322,14.57,3.99,5.23,0.48,0.15,68.8
20120323,22.46,5.58,0.0,0.48,0.98,123.52
20120324,26.85,8.71,0.0,0.47,1.13,124.29
20120325,28.52,11.1,0.0,0.46,1.22,123.82
20120326,27.2,12.08,0.0,0.45,1.12,120.58
20120327,25.11,15.9,0.0,0.45,0.67,85.32
20120328,26.8,15.61,0.01,0.44,0.76,95.85
20120329,27.9,13.08,0.0,0.43,1.15,108.52
20120330,29.51,15.21,0.01,0.43,1.28,114.02
20120331,30.51,15.23,0.0,0.42,1.3,124.3
20120401,33.18,13.92,0.0,0.41,1.48,117.41
20120402,27.13,18.3,17.18,0.42,0.49,123.72
20120403,21.66,11.12,18.33,0.46,0.34,53.94
20120404,21.65,7.97,0.02,0.47,0.94,124.82
20120405,23.15,7.79,0.03,0.46,1.05,134.73
20120406,25.89,9.67,0.0,0.45,1.15,131.14
20120407,26.64,14.75,0.53,0.45,0.79,83.08
20120408,20.81,12.73,0.47,0.44,0.5,50.94
20120409,25.44,12.36,6.21,0.44,0.79,97.55
20120410,27.59,15.71,0.03,0.45,1.25,122.02
20120411,28.77,13.72,0.0,0.44,1.55,128.59
20120412,27.08,15.97,0.0,0.43,0.83,77.13
20120413,28.75,18.9,1.09,0.42,1.08,97.64
20120414,29.76,20.48,5.53,0.42,1.01,83.98
20120415,25.25,13.14,1.93,0.43,1.36,117.69
20120416,23.51,9.35,0.0,0.42,1.13,133.42
20120417,26.0,9.87,0.01,0.41,1.33,142.44
20120418,29.21,12.06,0.0,0.41,1.37,141.43
20120419,32.07,14.3,1.81,0.41,1.29,135.8
20120420,21.51,9.97,1.66,0.41,0.66,125.66
20120421,27.48,7.74,0.0,0.4,1.13,145.53
20120422,26.03,11.81,0.0,0.4,1.03,146.73
20120423,25.14,8.37,0.0,0.39,1.0,144.19
20120424,33.12,11.82,0.0,0.39,1.32,146.13
20120425,38.38,18.23,0.0,0.38,1.55,142.67
20120426,31.84,17.02,0.0,0.38,0.79,108.12
20120427,34.64,18.59,0.0,0.38,1.14,148.57
20120428,33.84,17.8,0.17,0.37,0.84,137.55
20120429,29.39,19.37,0.29,0.37,0.36,71.27
