,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20160101,4.39,-8.62,0.01,0.48,0.0,51.75
20160102,6.19,-7.51,0.0,0.48,0.0,53.85
20160103,4.26,-6.04,0.0,0.48,0.0,54.09
20160104,0.88,-6.67,0.0,0.48,0.0,45.15
20160105,2.91,-7.13,0.89,0.48,0.0,43.12
20160106,2.87,-0.67,0.79,0.48,0.0,13.59
20160107,2.85,-0.03,9.8,0.48,0.0,13.22
20160108,2.76,-2.85,0.5,0.49,0.0,19.68
20160109,-2.34,-12.63,0.06,0.49,0.0,33.59
20160110,-0.39,-15.02,0.0,0.48,0.0,53.85
20160111,5.68,-4.91,0.0,0.48,0.0,51.87
20160112,1.99,-4.37,0.0,0.48,0.0,55.84
20160113,9.8,-5.1,0.0,0.48,0.0,56.53
20160114,11.48,-1.2,0.0,0.48,0.01,56.72
20160115,4.55,-3.1,0.0,0.48,0.0,55.73
20160116,3.11,-4.08,0.0,0.48,0.0,47.15
20160117,-4.42,-11.15,0.0,0.48,0.0,24.8
20160118,-0.29,-10.15,0.0,0.48,0.0,51.2
20160119,-0.32,-5.7,0.11,0.48,0.0,19.08
20160120,-0.6,-6.25,3.25,0.48,0.0,20.79
20160121,-0.2,-5.49,1.28,0.48,0.0,18.12
20160122,-1.35,-6.13,0.08,0.48,0.0,18.85
20160123,3.42,-6.5,0.05,0.48,0.0,29.0
20160124,4.84,-1.97,0.01,0.48,0.0,42.52
20160125,3.33,-2.88,0.02,0.48,0.0,25.3
20160126,5.65,-4.78,0.0,0.48,0.0,64.17
20160127,9.12,-4.41,0.0,0.48,0.0,60.39
20160128,12.16,-0.31,0.0,0.48,0.02,62.51
20160129,15.07,-0.93,0.0,0.48,0.05,63.47
20160130,12.76,-0.77,0.0,0.48,0.02,49.39
20160131,10.7,0.28,0.02,0.48,0.02,51.56
20160201,8.46,-1.19,7.28,0.48,0.0,37.8
20160202,1.81,-3.52,6.06,0.48,0.0,17.98
20160203,1.23,-6.45,0.0,0.48,0.0,65.81
20160204,4.86,-8.39,0.0,0.48,0.0,70.39
20160205,5.8,-3.45,0.01,0.48,0.0,53.48
20160206,8.65,-4.56,0.0,0.48,0.01,70.94
20160207,10.0,-1.6,0.0,0.48,0.02,59.4
20160208,4.62,-2.63,0.0,0.48,0.0,72.45
20160209,3.49,-3.5,0.0,0.48,0.0,46.4
