,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20050101,18.64,7.48,0.01,0.45,0.08,26.07
20050102,10.42,1.45,1.83,0.45,0.0,14.22
20050103,3.24,-1.86,6.36,0.46,0.0,15.88
20050104,0.28,-6.5,23.92,0.47,0.0,5.7
20050105,-7.24,-18.75,19.63,0.48,0.0,29.84
20050106,-6.05,-20.85,0.0,0.47,0.0,45.41
20050107,-1.57,-10.95,0.03,0.47,0.0,23.92
20050108,0.89,-13.16,2.77,0.48,0.0,29.84
20050109,3.44,-1.72,0.02,0.49,0.0,37.19
20050110,0.44,-4.21,3.4,0.5,0.0,14.25
20050111,-0.82,-5.45,0.01,0.5,0.0,15.26
20050112,9.16,-4.59,0.14,0.51,0.01,19.2
20050113,4.14,-9.54,0.02,0.52,0.0,59.59
20050114,-4.96,-13.7,0.01,0.51,0.0,33.55
20050115,-3.74,-12.86,0.0,0.51,0.0,30.14
20050116,-3.81,-12.77,0.0,0.5,0.0,50.09
20050117,-0.99,-10.23,0.0,0.49,0.0,40.51
20050118,8.08,-7.66,0.0,0.49,0.0,52.7
20050119,13.71,-0.17,0.07,0.5,0.03,52.21
20050120,19.2,1.45,0.03,0.49,0.1,61.46
20050121,17.16,0.55,0.0,0.49,0.05,48.8
20050122,4.14,-6.64,0.0,0.49,0.0,65.05
20050123,6.69,-7.45,0.0,0.48,0.0,61.73
20050124,15.14,-2.61,0.0,0.48,0.06,62.77
20050125,17.81,1.89,0.0,0.48,0.12,60.15
20050126,11.97,0.03,0.0,0.48,0.07,65.55
20050127,4.31,-1.06,1.24,0.48,0.0,25.47
20050128,1.37,-2.76,8.31,0.48,0.0,17.79
20050129,7.57,-3.14,1.6,0.49,0.02,56.02
20050130,1.63,-2.89,6.2,0.5,0.0,15.33
20050131,5.15,-3.17,0.8,0.5,0.0,28.32
20050201,4.5,-2.42,0.34,0.51,0.0,20.99
20050202,7.65,-2.43,0.01,0.5,0.02,59.98
20050203,13.91,-2.99,0.0,0.5,0.1,69.72
20050204,16.04,-2.2,0.0,0.5,0.15,74.55
20050205,14.89,-1.02,1.97,0.49,0.13,59.44
20050206,10.51,1.44,10.4,0.52,0.0,14.66
20050207,4.56,-3.58,0.12,0.52,0.0,31.37
20050208,1.96,-6.44,1.75,0.51,0.0,20.86
20050209,8.47,-6.43,0.0,0.51,0.01,77.27
20050210,13.4,-2.78,0.31,0.51,0.07,74.12
20050211,13.9,-1.98,0.0,0.5,0.09,75.38
20050212,13.16,5.27,3.74,0.5,0.02,27.21
20050213,18.94,5.4,0.25,0.5,0.33,79.81
20050214,21.42,3.06,0.0,0.5,0.3,75.54
20050215,13.9,2.44,0.0,0.49,0.14,80.85
20050216,5.75,-0.04,0.0,0.49,0.0,39.01
20050217,11.69,-3.52,0.0,0.49,0.11,82.8
20050218,12.14,-1.59,3.85,0.49,0.05,56.24
20050219,17.02,4.36,0.49,0.5,0.09,25.55
20050220,19.91,6.78,1.66,0.49,0.41,82.59
20050221,15.55,3.4,0.08,0.49,0.23,46.52
20050222,7.11,3.72,2.21,0.49,0.0,29.33
20050223,6.67,0.37,7.37,0.51,0.0,21.95
20050224,11.77,-1.02,0.0,0.51,0.13,90.58
20050225,15.6,-2.21,0.01,0.5,0.21,87.16
20050226,14.38,3.45,0.3,0.5,0.16,72.78
20050227,10.92,0.63,0.41,0.5,0.05,40.98
20050228,10.62,-4.52,0.05,0.5,0.07,85.92
20050301,8.72,-4.84,0.0,0.49,0.06,89.53
20050302,17.03,-1.97,0.01,0.49,0.25,91.32
20050303,19.54,1.89,0.0,0.49,0.48,97.17
20050304,20.97,5.76,0.0,0.48,0.56,99.73
20050305,17.94,2.35,0.0,0.48,0.39,93.2
20050306,20.61,3.29,0.0,0.48,0.44,87.37
20050307,15.61,0.93,0.16,0.48,0.27,82.51
20050308,16.01,0.47,0.03,0.48,0.21,73.45
20050309,11.58,2.23,0.0,0.48,0.18,91.16
20050310,17.06,1.56,0.0,0.47,0.4,94.29
20050311,19.17,0.36,0.0,0.47,0.43,101.18
20050312,27.3,4.65,0.0,0.47,0.91,107.94
20050313,11.85,0.76,0.0,0.46,0.15,80.79
20050314,11.05,0.83,0.07,0.46,0.15,76.29
20050315,5.84,1.41,1.57,0.46,0.0,55.52
20050316,13.47,0.62,0.04,0.47,0.34,110.11
20050317,16.91,-2.34,0.0,0.46,0.37,105.41
20050318,16.98,0.85,0.03,0.46,0.44,105.8
