,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20030101,1.62,-6.1,0.16,0.4,0.01,15.99
20030102,3.44,-2.45,0.16,0.4,0.01,13.8
20030103,4.06,-2.75,0.43,0.4,0.01,19.78
20030104,4.59,-3.79,0.52,0.41,0.0,13.08
20030105,6.05,-2.38,0.39,0.41,0.01,22.77
20030106,6.19,-2.98,0.0,0.41,0.01,24.23
20030107,6.9,-1.77,0.28,0.41,0.01,21.49
20030108,3.83,-5.6,0.01,0.41,0.01,29.68
20030109,-5.89,-11.96,0.0,0.41,0.0,30.16
20030110,-4.73,-13.16,0.0,0.41,0.0,31.42
20030111,3.2,-11.86,0.12,0.4,0.0,27.66
20030112,1.63,-5.32,0.79,0.4,0.0,13.77
20030113,0.51,-6.62,0.07,0.4,0.0,28.62
20030114,-4.7,-9.21,0.86,0.4,0.0,18.12
20030115,1.12,-9.74,0.03,0.4,0.0,24.24
20030116,1.56,-6.88,0.06,0.4,0.0,26.99
20030117,2.87,-7.15,0.0,0.4,0.01,31.77
20030118,3.87,-7.02,0.1,0.4,0.01,29.27
20030119,3.05,-2.13,0.12,0.4,0.01,15.74
20030120,0.19,-10.0,1.22,0.4,0.01,17.62
20030121,-10.52,-17.37,1.16,0.4,0.0,10.46
20030122,-13.39,-18.17,1.97,0.4,0.0,16.77
20030123,3.8,-13.85,2.1,0.4,0.0,17.95
20030124,3.24,-5.58,0.26,0.41,0.0,14.82
20030125,-5.95,-17.41,2.31,0.41,0.01,15.39
20030126,6.45,-7.97,2.08,0.41,0.0,22.48
20030127,6.15,-0.35,0.25,0.41,0.0,19.59
20030128,3.05,-5.68,0.65,0.41,0.01,29.11
20030129,5.97,-5.02,0.64,0.41,0.01,30.41
20030130,6.73,-0.13,0.1,0.41,0.01,34.91
20030131,6.76,0.01,4.06,0.41,0.0,15.41
20030201,5.65,-2.36,0.5,0.41,0.0,26.2
20030202,3.89,-4.19,0.88,0.41,0.01,37.18
20030203,0.58,-3.84,1.71,0.41,0.01,23.23
20030204,-0.36,-3.81,0.96,0.41,0.01,22.75
20030205,-2.94,-8.06,2.61,0.41,0.01,18.34
20030206,-0.42,-9.8,0.43,0.41,0.0,41.08
20030207,0.83,-6.09,0.83,0.41,0.01,22.52
20030208,-3.39,-6.12,2.57,0.41,0.0,27.82
20030209,0.39,-3.84,0.6,0.41,0.01,35.51
20030210,2.41,-6.03,0.71,0.41,0.01,33.91
20030211,3.51,-6.19,0.05,0.41,0.01,43.89
20030212,6.46,-6.62,0.0,0.41,0.0,53.91
20030213,5.1,-3.41,0.07,0.41,0.0,51.23
20030214,-1.8,-7.7,0.35,0.41,0.01,38.56
20030215,5.31,-8.21,0.09,0.41,0.0,41.2
20030216,5.66,-3.78,1.15,0.41,0.0,28.63
20030217,3.82,-1.26,0.36,0.41,0.01,31.98
20030218,4.55,-3.69,0.01,0.41,0.01,55.99
20030219,4.48,-2.75,0.06,0.41,0.01,32.78
20030220,4.51,-3.29,1.27,0.41,0.01,26.29
20030221,-0.99,-13.48,3.44,0.41,0.01,22.4
20030222,-9.05,-19.66,1.62,0.41,0.0,29.98
20030223,-14.47,-21.67,0.33,0.41,0.0,59.53
20030224,-1.45,-21.63,0.0,0.41,0.0,59.66
20030225,2.41,-14.67,0.49,0.41,0.0,54.93
20030226,3.6,-10.6,0.07,0.41,0.0,52.4
20030227,-2.74,-10.6,0.18,0.41,0.0,51.09
20030228,3.21,-10.36,0.46,0.41,0.0,44.87
20030301,-1.56,-11.27,1.21,0.41,0.01,42.14
20030302,1.45,-6.9,2.3,0.41,0.0,34.8
20030303,-3.73,-13.96,1.75,0.41,0.0,29.86
20030304,-7.59,-13.53,0.71,0.41,0.0,41.14
20030305,3.65,-13.16,3.44,0.41,0.0,25.36
20030306,-13.99,-18.49,6.54,0.41,0.0,21.75
20030307,-18.08,-23.18,3.95,0.41,0.0,31.09
20030308,-18.5,-25.09,1.9,0.41,0.0,34.87
20030309,-11.2,-24.0,3.6,0.41,0.0,19.73
20030310,3.93,-10.02,0.23,0.42,0.0,41.7
20030311,4.04,-10.91,3.28,0.44,0.0,33.39
20030312,6.94,-1.89,1.33,0.45,0.0,56.05
20030313,14.59,0.08,0.0,0.45,0.03,75.52
20030314,16.71,0.45,0.25,0.45,0.05,55.91
20030315,16.58,-1.61,0.09,0.44,0.05,51.36
20030316,7.58,-1.33,1.89,0.44,0.0,51.56
20030317,9.94,-2.1,0.02,0.43,0.02,73.58
20030318,8.24,-1.83,0.03,0.43,0.01,76.82
20030319,10.87,-2.09,0.0,0.42,0.04,92.09
20030320,14.06,-1.79,0.02,0.42,0.05,84.44
20030321,10.31,-1.42,0.02,0.42,0.01,54.76
20030322,14.33,1.63,1.14,0.41,0.03,60.71
20030323,6.11,-1.73,0.78,0.41,0.01,76.95
