,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20160101,5.75,0.18,0.02,0.57,0.0,28.68
20160102,9.38,0.51,0.0,0.56,0.03,21.91
20160103,12.53,-2.29,0.0,0.56,0.07,70.35
20160104,9.85,-3.18,0.0,0.55,0.04,70.04
20160105,10.15,-0.99,0.01,0.55,0.01,21.34
20160106,13.4,3.62,0.43,0.55,0.02,18.45
20160107,17.41,3.73,0.02,0.55,0.15,72.89
20160108,13.31,2.55,0.74,0.55,0.03,56.87
20160109,6.28,-3.42,0.24,0.55,0.0,48.36
20160110,7.18,-4.95,0.0,0.55,0.01,66.23
20160111,11.12,-0.15,0.0,0.55,0.05,69.24
20160112,15.15,-2.65,0.0,0.55,0.11,74.97
20160113,17.07,-0.63,0.0,0.54,0.12,72.07
20160114,17.44,4.36,0.0,0.54,0.13,74.06
20160115,16.32,0.3,0.0,0.54,0.13,74.94
20160116,8.81,-1.19,0.08,0.54,0.01,71.31
20160117,13.38,-0.85,0.0,0.53,0.03,63.12
20160118,10.3,-2.12,0.0,0.53,0.03,56.8
20160119,19.64,3.51,0.0,0.53,0.12,59.82
20160120,16.83,-0.52,0.0,0.53,0.03,55.09
20160121,13.12,0.72,0.0,0.53,0.06,77.9
20160122,11.66,-2.03,0.0,0.53,0.04,79.12
20160123,16.98,-2.26,0.0,0.53,0.1,79.84
20160124,20.45,1.73,0.0,0.53,0.14,76.09
20160125,16.87,3.62,0.0,0.52,0.13,79.04
20160126,5.23,-0.96,0.57,0.52,0.0,22.8
20160127,13.08,-2.74,0.0,0.52,0.08,78.84
20160128,19.29,-0.42,0.0,0.52,0.16,83.61
20160129,22.11,3.59,0.0,0.52,0.19,83.54
20160130,24.72,4.12,0.0,0.52,0.24,84.82
20160131,22.89,7.67,0.0,0.52,0.2,79.84
20160201,24.33,3.96,0.0,0.52,0.21,86.02
20160202,14.36,1.48,0.0,0.52,0.07,87.34
20160203,9.31,-2.44,0.0,0.52,0.03,86.25
20160204,12.48,-3.61,0.0,0.52,0.06,85.38
20160205,14.44,-1.18,0.0,0.52,0.05,86.47
20160206,14.02,-1.28,0.0,0.51,0.07,90.98
20160207,19.73,-0.26,0.0,0.51,0.12,90.2
20160208,13.28,-0.13,0.01,0.51,0.06,88.81
20160209,19.24,-0.01,0.0,0.51,0.13,89.87
20160210,23.32,3.69,0.0,0.51,0.18,92.63
20160211,22.24,4.72,0.0,0.51,0.16,93.4
20160212,22.65,5.51,0.02,0.51,0.17,91.77
20160213,24.33,4.33,0.0,0.5,0.14,92.62
20160214,18.72,7.1,0.0,0.5,0.1,75.48
20160215,20.23,3.35,0.0,0.5,0.13,94.2
20160216,20.92,5.11,0.0,0.5,0.12,97.43
20160217,24.73,4.38,0.0,0.5,0.16,97.15
20160218,27.0,9.56,0.0,0.5,0.19,96.5
20160219,27.96,10.26,0.0,0.5,0.17,84.59
20160220,24.43,12.66,0.0,0.5,0.08,61.35
20160221,16.94,8.83,0.42,0.5,0.03,28.61
20160222,17.28,8.11,9.67,0.5,0.07,60.14
20160223,9.98,3.28,4.44,0.52,0.02,39.57
20160224,16.34,1.32,0.0,0.52,0.16,106.37
20160225,14.76,0.35,0.0,0.52,0.13,106.48
20160226,18.18,-0.95,0.0,0.52,0.16,102.3
20160227,22.58,2.32,0.0,0.52,0.23,104.74
20160228,24.24,9.39,0.0,0.52,0.3,106.52
20160229,26.33,8.9,0.0,0.51,0.3,104.33
20160301,19.35,6.92,0.0,0.51,0.17,110.81
20160302,27.63,4.98,0.0,0.51,0.27,109.15
20160303,22.31,8.13,0.0,0.5,0.21,112.78
20160304,25.23,5.68,0.0,0.5,0.22,95.43
20160305,25.55,6.84,0.01,0.5,0.21,87.84
20160306,26.32,12.66,0.01,0.5,0.16,54.48
20160307,25.68,13.96,2.2,0.5,0.12,68.39
20160308,23.77,12.61,13.08,0.52,0.21,76.57
20160309,17.05,10.14,10.23,0.54,0.09,32.13
20160310,16.11,9.75,2.08,0.54,0.08,47.7
20160311,14.22,8.51,18.39,0.55,0.02,24.9
20160312,22.76,9.69,0.48,0.57,0.5,78.7
20160313,26.4,8.69,0.0,0.56,0.75,120.3
20160314,28.9,9.48,0.0,0.55,0.86,118.23
20160315,26.06,9.94,0.0,0.54,0.72,122.63
20160316,26.9,6.89,0.0,0.53,0.58,120.84
20160317,25.34,9.65,0.0,0.52,0.43,94.5
20160318,22.22,3.41,0.0,0.52,0.26,68.97
20160319,14.21,0.87,0.0,0.52,0.15,117.67
20160320,15.73,-0.34,0.0,0.52,0.26,123.41
20160321,21.69,2.08,0.0,0.52,0.3,126.64
20160322,28.75,7.14,0.0,0.51,0.48,123.86
20160323,29.0,9.68,0.01,0.51,0.57,122.0
20160324,19.08,4.15,0.0,0.5,0.21,128.55
20160325,24.66,3.95,0.0,0.5,0.29,128.34
20160326,26.61,6.86,0.0,0.5,0.35,124.23
20160327,19.18,3.92,0.0,0.49,0.16,129.0
20160328,25.34,3.57,0.0,0.49,0.24,128.11
20160329,28.98,11.76,0.01,0.49,0.3,96.82
20160330,30.83,15.22,0.24,0.49,0.37,117.48
20160331,24.22,10.05,0.01,0.48,0.27,132.18
20160401,11.2,4.34,2.67,0.49,0.02,55.48
20160402,21.03,1.96,0.0,0.49,0.23,121.16
20160403,25.16,5.69,0.01,0.48,0.28,137.23
20160404,30.3,8.18,0.0,0.48,0.38,129.46
20160405,29.99,12.03,0.0,0.48,0.34,135.61
20160406,25.33,10.18,0.0,0.48,0.23,139.76
20160407,30.94,9.3,0.0,0.48,0.28,125.93
20160408,23.18,11.99,0.02,0.48,0.1,74.95
20160409,25.51,11.62,13.22,0.5,0.23,54.23
20160410,30.67,14.44,1.03,0.5,0.52,113.7
20160411,28.79,12.98,0.51,0.5,0.57,138.84
20160412,18.89,10.6,18.46,0.51,0.11,41.84
20160413,23.04,11.71,0.33,0.53,0.68,100.78
20160414,26.87,10.54,0.0,0.52,0.88,136.42
20160415,26.59,11.92,0.0,0.52,0.58,116.16
20160416,27.98,14.12,14.86,0.52,0.55,92.7
20160417,18.51,10.79,28.59,0.58,0.26,77.63
20160418,19.65,11.08,2.91,0.58,0.34,53.23
20160419,24.36,10.83,12.87,0.58,0.61,62.99
20160420,23.06,12.97,7.83,0.59,0.59,113.62
20160421,23.52,12.28,7.09,0.59,0.72,130.97
20160422,25.73,10.0,0.0,0.59,1.43,146.58
20160423,25.69,11.07,0.0,0.57,0.87,130.55
20160424,30.69,14.55,0.0,0.55,1.43,137.08
20160425,32.55,14.31,0.0,0.55,1.6,148.77
20160426,32.1,13.79,3.45,0.54,1.37,137.03
20160427,28.76,9.62,0.08,0.53,1.13,151.09
20160428,29.67,9.73,0.0,0.52,0.89,144.1
20160429,30.9,14.01,0.01,0.52,1.14,135.71
20160430,26.38,9.48,0.0,0.51,0.72,152.36
20160501,19.25,10.01,8.17,0.52,0.24,75.88
20160502,21.49,6.8,3.1,0.52,0.5,104.74
20160503,25.94,7.12,0.51,0.52,0.91,153.28
20160504,28.58,10.08,0.31,0.52,0.96,145.51
20160505,30.53,12.38,0.0,0.51,0.98,141.22
20160506,31.19,13.69,0.0,0.5,0.8,151.86
20160507,32.29,14.91,0.0,0.49,0.69,126.8
